"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"신월",1,,경상북도 영천시 금호읍 신월리 118,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월",1,,경상북도 영천시 금호읍 신월리 111,35.93754396,128.9044173,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월",1,,경상북도 영천시 금호읍 신월리 117,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월",1,,경상북도 영천시 금호읍 신월리 산41,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월",1,,경상북도 영천시 금호읍 신월리 129,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월",1,,경상북도 영천시 금호읍 신월리 130-2,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월",1,,경상북도 영천시 금호읍 신월리 169-1,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월",1,,경상북도 영천시 금호읍 원제리 185-2,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉등사입구좌측",1,,경상북도 영천시 금호읍 신월리 185,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉등사",1,,경상북도 영천시 금호읍 신월리 16-2,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉등사",1,,경상북도 영천시 금호읍 신월리 17,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉등사",1,,경상북도 영천시 금호읍 신월리 8-2,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉등사 입구",1,,경상북도 영천시 금호읍 신월리 20-2,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉등사 입구",1,,경상북도 영천시 금호읍 신월리 21-3,35.94794552,128.9060826,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"새마을입구",1,,경상북도 영천시 금호읍 신월리 91,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"새마을입구",1,,경상북도 영천시 금호읍 신월리 91-20,35.94309252,128.9044269,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"영광폐차장앞",1,,경상북도 영천시 금호읍 신월리 91-20,35.94309252,128.9044269,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월숲길14-1",1,,경상북도 영천시 금호읍 신월리 91-20,35.94309252,128.9044269,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월숲길23 앞",1,,경상북도 영천시 금호읍 신월리 94,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 96-1,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"동해산업앞",1,,경상북도 영천시 금호읍 신월리 95,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"동해산업앞",1,,경상북도 영천시 금호읍 신월리 95,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"동해산업앞",1,,경상북도 영천시 금호읍 신월리 131-1,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"성광상회앞",1,,경상북도 영천시 금호읍 신월리 100-1,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"성광상회앞",1,,경상북도 영천시 금호읍 신월리 102-1,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 600,35.93711203,128.9049652,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 109,35.93738857,128.9047321,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 109,35.93738857,128.9047321,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 598,35.93710373,128.9044151,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"동회관앞",1,,경상북도 영천시 금호읍 신월리 594-1,35.93635294,128.9039892,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"동회관앞",1,,경상북도 영천시 금호읍 신월리 519-8,35.93581771,128.9026421,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"동회관앞",1,,경상북도 영천시 금호읍 신월리 481,35.93590069,128.9014318,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 467,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 468,35.93524956,128.9023015,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 464-1,35.93489434,128.9028936,2011,전용주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 526-5,35.93484873,128.903315,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 462-3,35.93456608,128.9021939,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 453,35.93389512,128.9022517,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 535-1,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 462-2,,,2011,전용주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 689-4,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 710-2,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 667,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"노인정",1,,경상북도 영천시 금호읍 신월리 526-3,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 570,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 572,35.93428697,128.9046735,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 684-17,35.93404997,128.9047877,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"경상북도 영천시 금호읍 신월리",1,,경상북도 영천시 금호읍 신월리 684-10,35.93418925,128.9056355,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월리",1,,경상북도 영천시 금호읍 신월리 684,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"신월리",1,,경상북도 영천시 금호읍 신월리 492,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉죽리",1,,경상북도 영천시 금호읍 봉죽리 295-2,35.93578859,128.9107243,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉죽리",1,,경상북도 영천시 금호읍 봉죽리 403,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉죽리",1,,경상북도 영천시 금호읍 봉죽리 391,35.93656442,128.9110191,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉죽리",1,,경상북도 영천시 금호읍 봉죽리 372-2,35.93614051,128.9118639,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉죽리",1,,경상북도 영천시 금호읍 봉죽리 378,35.93666435,128.9117884,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
"봉죽리",1,,경상북도 영천시 금호읍 봉죽리 산54,,,2011,한전주,054-339-7026,영천시 금호읍,2021-06-18
