"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"경상북도 청송군 청송읍 청운리 953-1",1,,경상북도 청송군 청송읍 청운리 953-1,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 청운리 960-28",1,,경상북도 청송군 청송읍 청운리 960-28,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 청운리 953-6",1,,경상북도 청송군 청송읍 청운리 953-6,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 덕리 259-4",1,,경상북도 청송군 청송읍 덕리 259-4,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 덕리 256-15",1,,경상북도 청송군 청송읍 덕리 256-15,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 덕리 468-9",1,,경상북도 청송군 청송읍 덕리 468-9,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 덕리 488-4",1,,경상북도 청송군 청송읍 덕리 488-4,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 덕리 463-5",1,,경상북도 청송군 청송읍 덕리 463-5,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 부곡리 462",1,,경상북도 청송군 청송읍 부곡리 462,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 부곡리 553-1",1,,경상북도 청송군 청송읍 부곡리 553-1,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 부곡리 287-3",1,,경상북도 청송군 청송읍 부곡리 287-3,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 부곡길 16-11",1,경상북도 청송군 청송읍 부곡길 16-11,,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 월외리 307-2",1,,경상북도 청송군 청송읍 월외리 307-2,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 금곡1길 31",1,경상북도 청송군 청송읍 금곡1길 31,,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 덕리 362-6",1,,경상북도 청송군 청송읍 덕리 362-6,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 월막리 426-10",1,,경상북도 청송군 청송읍 월막리 426-10,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 의료원길 23",1,경상북도 청송군 청송읍 의료원길 23,,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 금곡리 1056-20",1,,경상북도 청송군 청송읍 금곡리 1056-20,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 금곡리 1056-20",1,,경상북도 청송군 청송읍 금곡리 1056-20,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
"경상북도 청송군 청송읍 월외리 82",1,,경상북도 청송군 청송읍 월외리 82,,,,,054-873-2346,경상북도 청송군 청송읍사무소,2021-09-24
