"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"양림동",419,,광주광역시 남구 양림동 201-46,35.14050648,126.9164232,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"방림동",541,,광주광역시 남구 방림동 338,35.13435106,126.9182638,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"봉선동",584,,광주광역시 남구 봉선동 115,35.1234434,126.9137328,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"사직동",560,,광주광역시 남구 사직동 147-11,39.626221,130.489021,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"월산동",2350,,광주광역시 남구 월산동 31-2,35.14760899,126.9026121,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"주월동",1677,,광주광역시 남구 주월동 493-13,35.13193226,126.8933304,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"진월동",527,,광주광역시 남구 진월동 974-174,42.626221,133.489021,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"백운동",695,,광주광역시 남구 백운동 73-3,35.13831256,126.9039007,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"송하동",280,,광주광역시 남구 송하동 370-2,35.11153785,126.8771117,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"노대동",94,,광주광역시 남구 노대동 865,35.10513241,126.9045799,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"임암동",139,,광주광역시 남구 임암동 985,46.626221,137.489021,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"덕남동",41,,광주광역시 남구 덕남동 382,35.0921381,126.8903973,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"양과동",285,,광주광역시 남구 양과동 1290,35.08429468,126.8679857,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"행암동",98,,광주광역시 남구 행암동 554,35.1026758,126.8853872,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"원산동",218,,광주광역시 남구 원산동 309-1,35.10344394,126.8567614,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"이장동",179,,광주광역시 남구 이장동 702-9,35.08880226,126.8572229,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"압촌동",139,,광주광역시 남구 압촌동 503,52.626221,143.489021,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"칠석동",228,,광주광역시 남구 칠석동 619-1,35.06974381,126.8375167,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"석정동",245,,광주광역시 남구 석정동 145-3,35.08790812,126.8164798,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"지석동",173,,광주광역시 남구 지석동 213,35.08133849,126.8335819,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"도금동",76,,광주광역시 남구 도금동 248,35.07683366,126.8424447,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"월성동",183,,광주광역시 남구 월성동 197-1,35.06738831,126.805144,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"구소동",181,,광주광역시 남구 구소동 440,35.05446467,126.8088925,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"대지동",197,,광주광역시 남구 대지동 393-1,35.07586627,126.8232489,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"신장동",150,,광주광역시 남구 신장동 339,35.0554701,126.8185324,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"화장동",198,,광주광역시 남구 화장동 806-1,35.07469645,126.802209,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"승촌동",244,,광주광역시 남구 승촌동 795,35.05851457,126.7839845,2020,,062-607-3832,광주광역시 남구청,2022-06-09
"양촌동",153,,광주광역시 남구 양촌동 72-1,35.06000376,126.7967316,2020,,062-607-3832,광주광역시 남구청,2022-06-09
