"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"광산동001",1,광주광역시 동구 문화전당로35번길 16-6,광주광역시 동구 광산동 100-23,35.1457499471,126.9175765551,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동002",1,광주광역시 동구 문화전당로35번길 16-6,광주광역시 동구 광산동 100-23,35.1457499471,126.9175765551,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동003",1,광주광역시 동구 문화전당로35번길 12-3,광주광역시 동구 광산동 100-19,35.14567566,126.917778,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동004",1,광주광역시 동구 문화전당로35번길 12,광주광역시 동구 광산동 100-20,35.14550018,126.9177927436,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동005",1,광주광역시 동구 문화전당로35번길 8,광주광역시 동구 광산동 100,35.14566803,126.9182281,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동006",1,광주광역시 동구 문화전당로35번길 8-7,광주광역시 동구 광산동 100-7,35.14594269,126.9179906237,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동007",1,광주광역시 동구 서석로 40,광주광역시 동구 광산동 79-4,35.1463265756,126.9180069,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동008",1,광주광역시 동구 문화전당로 41,광주광역시 동구 광산동 73-1,35.14612198,126.9186172,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동009",1,광주광역시 동구 문화전당로 37-2,광주광역시 동구 광산동 100-42,35.1458657929,126.9186745892,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동010",1,광주광역시 동구 백서로125번길 45,광주광역시 동구 광산동 91,35.14551163,126.9167709,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동011",1,광주광역시 동구 문화전당로35번길 13,광주광역시 동구 광산동 60-2,35.1453042779,126.9176561252,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동012",1,광주광역시 동구 문화전당로35번길 13,광주광역시 동구 광산동 62,35.1453042779,126.9176561252,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"광산동013",1,광주광역시 동구 문화전당로35번길 1,광주광역시 동구 광산동 56-1,35.14558411,126.9188323362,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
"궁동001",1,광주광역시 동구 중앙로196번길 23-1,광주광역시 동구 궁동 80,35.1492980283,126.9180536514,,한전주,062-608-2894,광주광역시 동구청,2022-06-23
