"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대명10동0001",1,대구광역시 남구 두류공원로 17-1,대구광역시 남구 대명10동 808-8,35.8399181623,128.574985,2017,건축물,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0002",1,대구광역시 남구 두류공원로 17-1,대구광역시 남구 대명10동 808-8,35.839948,128.5749429406,2017,건축물,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0003",1,대구광역시 남구 두류공원로5길 7-1,대구광역시 남구 대명10동 808-15,35.840132,128.574516,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0004",1,대구광역시 남구 대명로 153,대구광역시 남구 대명10동 808-3,35.839696,128.5744643589,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0005",1,대구광역시 남구 대명로 153,대구광역시 남구 대명10동 808-3,35.8396141689,128.5744643589,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0006",1,대구광역시 남구 현충로29길 16-1,대구광역시 남구 대명10동 1721-21,35.8460202187,128.5789855984,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0007",1,대구광역시 남구 대명로 121,대구광역시 남구 대명10동 1636-19,35.839604,128.5708409156,2017,,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0008",1,대구광역시 남구 두류공원로5길 6-17,대구광역시 남구 대명10동 1642-25,35.8406682003,128.5735665990,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0009",1,대구광역시 남구 두류공원로5길 6-19,대구광역시 남구 대명10동 1642-23,35.8407974567,128.5733577649,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0010",1,대구광역시 남구 두류공원로5길 6-25,대구광역시 남구 대명10동 1642-20,35.841091,128.5730242854,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0011",1,대구광역시 남구 두류공원로5길 6-29,대구광역시 남구 대명10동 1642-18,35.8411799719,128.5727882629,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0012",1,대구광역시 남구 두류공원로9길 8-2,대구광역시 남구 대명10동 1644-5,35.8412870786,128.5725366004,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0013",1,대구광역시 남구 두류공원로9길 15,대구광역시 남구 대명10동 1641-2,35.840965,128.572532,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0014",1,대구광역시 남구 두류공원로5길 42-13,대구광역시 남구 대명10동 1641-8,35.840642,128.572682,2017,건축물,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0015",1,대구광역시 남구 두류공원로5길 16-57,대구광역시 남구 대명10동 1641-5,35.840657,128.5728604747,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0016",1,대구광역시 남구 두류공원로5길 16-41,대구광역시 남구 대명10동 1639-4,35.8403662348,128.573312,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0017",1,대구광역시 남구 두류공원로5길 16-23,대구광역시 남구 대명10동 1639-2,35.840254,128.573496,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
"대명10동0018",1,대구광역시 남구 두류공원로5길 24,대구광역시 남구 대명10동 1639-39,35.840076,128.573771,2015,한전주,053-664-2882,대구광역시 남구청,2022-08-04
