"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"감삼동001",1,대구광역시 달서구 당산로 187,대구광역시 달서구 감삼동 105-2,35.8533002853,128.5483398589,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동002",1,대구광역시 달서구 당산로 187,대구광역시 달서구 감삼동 108-1,35.8533002853,128.5483398589,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동003",1,대구광역시 달서구 당산로 187,대구광역시 달서구 감삼동 105-2,35.8533002853,128.5483398589,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동004",1,대구광역시 달서구 감삼북길 7,대구광역시 달서구 감삼동 107-1,35.85303629,128.5481858,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동005",1,대구광역시 달서구 감삼북1길 9,대구광역시 달서구 감삼동 107-2,35.8527490846,128.5483302468,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동006",1,대구광역시 달서구 감삼북1길 13,대구광역시 달서구 감삼동 107-5,35.85252174,128.5483594,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동007",1,대구광역시 달서구 감삼북1길 15,대구광역시 달서구 감삼동 107-8,35.85241394,128.5482812,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동008",1,대구광역시 달서구 감삼북1길 21,대구광역시 달서구 감삼동 107-7,35.8522073,128.5481358,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동009",1,대구광역시 달서구 당산로 167-6,대구광역시 달서구 감삼동 107-13,35.85201863,128.5480017,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동010",1,대구광역시 달서구 감삼북1길 29,대구광역시 달서구 감삼동 109-1,35.85187488,128.547901,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동011",1,대구광역시 달서구 감삼북1길 31,대구광역시 달서구 감삼동 109-12,35.85176708,128.5478228,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동012",1,대구광역시 달서구 감삼북1길 41,대구광역시 달서구 감삼동 109-5,35.8513537,128.5475542,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동013",1,대구광역시 달서구 감삼북1길 45,대구광역시 달서구 감삼동 109-6,35.85122787,128.5474759,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동014",1,대구광역시 달서구 감삼북1길 53,대구광역시 달서구 감삼동 109-7,35.85102113,128.5473527,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동015",1,대구광역시 달서구 당산로 155,대구광역시 달서구 감삼동 109-8,35.85093905,128.5475624,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동016",1,대구광역시 달서구 당산로 155-3,대구광역시 달서구 감삼동 120-1,35.8507640124,128.5472892518,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동017",1,대구광역시 달서구 감삼북1길 55,대구광역시 달서구 감삼동 120-1,35.8508236,128.5471852,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동018",1,대구광역시 달서구 감삼북1길 62,대구광역시 달서구 감삼동 119-4,35.85069873,128.5468965,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동019",1,대구광역시 달서구 감삼북1길 63,대구광역시 달서구 감삼동 120-10,35.85053594,128.5470172,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동020",1,대구광역시 달서구 감삼북1길 65,대구광역시 달서구 감삼동 120-9,35.85044616,128.5469391,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동021",1,대구광역시 달서구 달구벌대로332길 83,대구광역시 달서구 감삼동 122-1,35.85033942,128.5466283,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동022",1,대구광역시 달서구 달구벌대로332길 83,대구광역시 달서구 감삼동 122-1,35.85033942,128.5466283,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동023",1,대구광역시 달서구 감삼북1길 82,대구광역시 달서구 감삼동 122-9,35.84991702,128.5463597,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동024",1,대구광역시 달서구 감삼길 155,대구광역시 달서구 감삼동 121-8,35.84970041,128.5464247,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동025",1,대구광역시 달서구 당산로 137,대구광역시 달서구 감삼동 210-7,35.84946572,128.5465006,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동026",1,대구광역시 달서구 당산로 135,대구광역시 달서구 감삼동 210-6,35.84935887,128.546212,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동027",1,대구광역시 달서구 감삼길 154-11,대구광역시 달서구 감삼동 210-12,35.84915218,128.5460777,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동028",1,대구광역시 달서구 당산로 131,대구광역시 달서구 감삼동 210-4,35.84900711,128.5462649,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동029",1,대구광역시 달서구 감삼길 146-8,대구광역시 달서구 감삼동 197-8,35.84937987,128.5455589,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동030",1,대구광역시 달서구 감삼길 146-3,대구광역시 달서구 감삼동 209-5,35.84936945,128.5459029974,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동031",1,대구광역시 달서구 당산로 144,대구광역시 달서구 감삼동 195-23,35.84950978,128.5447406,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동032",1,대구광역시 달서구 감삼길 136,대구광역시 달서구 감삼동 196-7,35.84954362,128.5452279,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동033",1,대구광역시 달서구 감삼길 142,대구광역시 달서구 감삼동 197-4,35.84955102,128.5455823,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동034",1,대구광역시 달서구 달구벌대로332길 89,대구광역시 달서구 감삼동 122-3,35.85013338,128.5463502,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동035",1,대구광역시 달서구 달구벌대로332길 83,대구광역시 달서구 감삼동 122-1,35.85033942,128.5466283,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동036",1,대구광역시 달서구 달구벌대로332길 77,대구광역시 달서구 감삼동 119-3,35.8506031727,128.5467751,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동037",1,대구광역시 달서구 달구벌대로332길 65,대구광역시 달서구 감삼동 110-7,35.85106786,128.5469876,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동038",1,대구광역시 달서구 달구벌대로332길 57,대구광역시 달서구 감삼동 110-6,35.8514389238,128.5472372815,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동039",1,대구광역시 달서구 감삼북1길 46,대구광역시 달서구 감삼동 110-19,35.85138165,128.5473551,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동040",1,대구광역시 달서구 달구벌대로332길 56-1,대구광역시 달서구 감삼동 113-29,35.85157294,128.5469136,,건축물,053-667-2875,대구광역시 달서구청,2022-09-13
"감삼동041",1,대구광역시 달서구 달구벌대로332길 53,대구광역시 달서구 감삼동 110-5,35.85153517,128.5472898,,한전주,053-667-2875,대구광역시 달서구청,2022-09-13
