"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"논공읍1278",1,,대구광역시 달성군 논공읍 위천리 486-4,35.7562384499,128.3930027903,,,053-668-5496,대구광역시 달성군,2022-06-08
"가창01 0001",1,,대구광역시 달성군 가창면 정대리 524-2,35.7526301944,128.5594639657,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0003",1,,대구광역시 달성군 가창면 정대리 650-1,35.75048853,128.5573390956,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0004",1,,대구광역시 달성군 가창면 정대리 산120-4,35.75425994,128.5668104392,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0005",1,,대구광역시 달성군 가창면 정대리 654-1,35.7494844123,128.5564808607,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0006",1,,대구광역시 달성군 가창면 정대리 615-2,35.7518340884,128.5578416739,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0010",1,,대구광역시 달성군 가창면 정대리 727-3,35.74931739,128.5568738770,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0011",1,,대구광역시 달성군 가창면 정대리 512-8,35.7524938294,128.5643927435,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0012",1,,대구광역시 달성군 가창면 정대리 260-5,35.7563737686,128.5669589970,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0013",1,,대구광역시 달성군 가창면 정대리 483-2,35.75319936,128.5657720045,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0014",1,,대구광역시 달성군 가창면 정대리 726-3,35.7482639,128.5569672981,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0015",1,,대구광역시 달성군 가창면 정대리 511-3,35.75264833,128.5647033,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0016",1,,대구광역시 달성군 가창면 정대리 산 151-3,35.7522922764,128.5615359659,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0017",1,,대구광역시 달성군 가창면 정대리 272-11,35.7554212,128.5670926,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0018",1,,대구광역시 달성군 가창면 정대리 747-3,35.7462299853,128.5555951306,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0019",1,,대구광역시 달성군 가창면 정대리 955,35.7523501779,128.5624966076,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0021",1,,대구광역시 달성군 가창면 정대리 272-3,35.75485349,128.5668569678,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0023",1,,대구광역시 달성군 가창면 정대리 512-14,35.7525192,128.5635523106,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0024",1,,대구광역시 달성군 가창면 정대리 산120-3,35.7540386173,128.5666894,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0025",1,,대구광역시 달성군 가창면 정대리 648,35.7511325594,128.5574431213,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0026",1,,대구광역시 달성군 가창면 정대리 748-3,35.7475200541,128.5563181461,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0027",1,,대구광역시 달성군 가창면 정대리 263,35.75606834,128.5673955,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0029",1,,대구광역시 달성군 가창면 정대리 729-1,35.74893152,128.5568752427,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0030",1,,대구광역시 달성군 가창면 정대리 729-1,35.7489745416,128.5568752427,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0033",1,,대구광역시 달성군 가창면 정대리 475-2,35.7534908502,128.5664557264,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0034",1,,대구광역시 달성군 가창면 정대리 746-3,35.7470628555,128.5559781,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0036",1,,대구광역시 달성군 가창면 정대리 515-1,35.7523320121,128.5630628518,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0037",1,,대구광역시 달성군 가창면 정대리 748-8,35.7473313285,128.5561350583,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0038",1,,대구광역시 달성군 가창면 정대리 산 152-2,35.7525611771,128.5607909005,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0802",1,,대구광역시 달성군 가창면 정대리 746-4,35.7462850765,128.5558734136,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0803",1,,대구광역시 달성군 가창면 정대리 723-5,35.747719,128.556819,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0818",1,,대구광역시 달성군 가창면 정대리 649-6,35.750125,128.5568526969,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0819",1,,대구광역시 달성군 가창면 정대리 650,35.7510251277,128.557774,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0829",1,,대구광역시 달성군 가창면 정대리 613-8,35.7523590656,128.5584588653,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0830",1,,대구광역시 달성군 가창면 정대리 524-2,35.7526301944,128.5594639657,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0831",1,,대구광역시 달성군 가창면 정대리 524-1,35.75267171,128.5599833602,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0832",1,,대구광역시 달성군 가창면 정대리 520,35.7526274846,128.5612953,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0882",1,,대구광역시 달성군 가창면 정대리 272-7,35.755076,128.5669180944,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창01 0883",1,,대구광역시 달성군 가창면 정대리 262-4,35.75571291,128.5671641484,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1657",1,,대구광역시 달성군 가창면 정대리 462-1,35.7464718550,128.5672892053,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1658",1,,대구광역시 달성군 가창면 단산리 224,35.7634618894,128.6639984684,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1659",1,,대구광역시 달성군 가창면 단산리 219-1,35.763047,128.6645218972,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1660",1,,대구광역시 달성군 가창면 단산리 217,35.7626463358,128.6649412117,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1661",1,,대구광역시 달성군 가창면 단산리 211,35.7614666818,128.665182,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1662",1,,대구광역시 달성군 가창면 단산리 208,35.7612061511,128.6655303837,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1663",1,,대구광역시 달성군 가창면 단산리 134,35.7598694551,128.6663403805,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1664",1,,대구광역시 달성군 가창면 단산리 168,35.7589513271,128.6663484802,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창1665",1,,대구광역시 달성군 가창면 단산리 168,35.7589513271,128.6663484802,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0001",1,,대구광역시 달성군 가창면 우록리 1174,35.724691,128.6185301456,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0002",1,,대구광역시 달성군 가창면 우록리 1172-2,35.7250533417,128.6183384243,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0003",1,,대구광역시 달성군 가창면 우록리 1163,35.7253839626,128.619284,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0004",1,,대구광역시 달성군 가창면 우록리 1156,35.7255218411,128.6202947294,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0005",1,,대구광역시 달성군 가창면 우록리 1154-1,35.725841,128.6208143309,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0006",1,,대구광역시 달성군 가창면 우록리 1124,35.7264379790,128.6214943761,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0007",1,,대구광역시 달성군 가창면 우록리 1132-1,35.726437,128.621959,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0008",1,,대구광역시 달성군 가창면 우록리 1083,35.7279458594,128.6222275699,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0009",1,,대구광역시 달성군 가창면 우록리 1101,35.727556,128.6219873547,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0010",1,,대구광역시 달성군 가창면 우록리 1096,35.7269622779,128.6219771492,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0011",1,,대구광역시 달성군 가창면 우록리 1092-3,35.7271610639,128.622635,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0012",1,,대구광역시 달성군 가창면 우록리 1092,35.7271867243,128.6228622274,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0013",1,,대구광역시 달성군 가창면 우록리 1035-4,35.726783,128.622848,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0014",1,,대구광역시 달성군 가창면 우록리 1036-2,35.7266386211,128.6224987328,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0015",1,,대구광역시 달성군 가창면 우록리 1037,35.727259,128.6232127592,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0016",1,,대구광역시 달성군 가창면 우록리 1042,35.7276382349,128.6233556609,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0017",1,,대구광역시 달성군 가창면 우록리 1046,35.7282845057,128.6235681978,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0018",1,,대구광역시 달성군 가창면 우록리 1057-5,35.7291339806,128.6237549049,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0019",1,,대구광역시 달성군 가창면 우록리 1057-3,35.729246,128.623828,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0020",1,,대구광역시 달성군 가창면 우록리 1058-1,35.7295305162,128.6241816070,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0021",1,,대구광역시 달성군 가창면 우록리 953,35.7304114956,128.6248983477,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0022",1,,대구광역시 달성군 가창면 우록리 949-4,35.7309321957,128.6252086779,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0023",1,,대구광역시 달성군 가창면 우록리 930,35.7314349385,128.6257238425,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0024",1,,대구광역시 달성군 가창면 우록리 888,35.732145,128.625856,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0025",1,,대구광역시 달성군 가창면 우록리 885-2,35.732664,128.626185,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0026",1,,대구광역시 달성군 가창면 우록리 877-3,35.733608,128.6266652739,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0027",1,,대구광역시 달성군 가창면 우록리 870-2,35.734014,128.6268076629,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0028",1,,대구광역시 달성군 가창면 우록리 871,35.734484,128.627331,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0029",1,,대구광역시 달성군 가창면 우록리 874,35.7349029330,128.6257955645,,,053-668-5591,대구광역시 달성군,2022-06-08
"가창면0030",1,,대구광역시 달성군 가창면 우록리 1012-1,35.7271064427,128.6237162105,,,053-668-5591,대구광역시 달성군,2022-06-08
