보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
20통로박스,1,,대구광역시 동구 율암동 352-1,35.87768169,128.7079584,,,053-662-2266,대구광역시 동구청,2022-05-20
각산1-1,1,,대구광역시 동구 각산동 1061-1,35.88232311,128.7166036,,,053-662-2266,대구광역시 동구청,2022-05-20
각산1-2,1,,대구광역시 동구 각산동 1061-1,35.88234738,128.7163246,,,053-662-2266,대구광역시 동구청,2022-05-20
각산1-3,1,,대구광역시 동구 각산동 1061-1,35.8823735,128.7160732,,,053-662-2266,대구광역시 동구청,2022-05-20
각산1-4,1,,대구광역시 동구 각산동 1061-1,35.88241349,128.7157972,,,053-662-2266,대구광역시 동구청,2022-05-20
각산1-5,1,,대구광역시 동구 각산동 1061-1,35.88245932,128.7154273,,,053-662-2266,대구광역시 동구청,2022-05-20
각산1-6,1,,대구광역시 동구 각산동 1061-1,35.88248832,128.7151317,,,053-662-2266,대구광역시 동구청,2022-05-20
각산1-7,1,,대구광역시 동구 각산동 1175,35.88251907,128.7148722,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0001,1,대구광역시 동구 지경길 41,대구광역시 동구 능성동 16,35.966553,128.7440837,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0002,1,,대구광역시 동구 능성동 산19,35.97497891,128.7379613,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0003,1,대구광역시 동구 지경길 35-2,대구광역시 동구 능성동 21,35.96630033,128.7437983,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0004,1,대구광역시 동구 지경길 29,대구광역시 동구 능성동 27,35.96565484,128.7440363,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0005,1,대구광역시 동구 지경길 21,대구광역시 동구 능성동 42,35.96504919,128.7436405,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0006,1,,대구광역시 동구 능성동 48,35.96476312,128.7432352,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0007,1,대구광역시 동구 지경길 15,대구광역시 동구 능성동 49,35.96457201,128.7432399,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0008,1,,대구광역시 동구 능성동 48,35.96469411,128.7433334,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0009,1,,대구광역시 동구 능성동 51-2,35.96382349,128.7434052,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0010,1,,대구광역시 동구 능성동 53-2,35.963562,128.7430448,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0011,1,대구광역시 동구 지경길 1-6,대구광역시 동구 능성동 54-3,35.96368265,128.7426794,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0012,1,,대구광역시 동구 능성동 산55,35.9709369,128.7400498,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0013,1,대구광역시 동구 지경길 1-11,대구광역시 동구 능성동 71-3,35.96388399,128.74197,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0014,1,,대구광역시 동구 능성동 75,35.96381823,128.7415341,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0015,1,,대구광역시 동구 능성동 660-13,35.96373941,128.7414392,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0016,1,,대구광역시 동구 능성동 149-1,35.96381262,128.7399334,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0017,1,,대구광역시 동구 능성동 150-1,35.96410719,128.7402502,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0018,1,대구광역시 동구 능성길 17,대구광역시 동구 능성동 153-1,35.96472946,128.7398426,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0019,1,대구광역시 동구 능성길 18,대구광역시 동구 능성동 152,35.96482688,128.7400842,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0020,1,대구광역시 동구 능성길 26,대구광역시 동구 능성동 151-1,35.96523579,128.7402218,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0021,1,대구광역시 동구 능성길 33,대구광역시 동구 능성동 168,35.96584185,128.739938,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0022,1,대구광역시 동구 능성길 43,대구광역시 동구 능성동 201,35.96619666,128.7413203,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0023,1,대구광역시 동구 능성길 41-1,대구광역시 동구 능성동 194,35.96631473,128.7408839,,,053-662-2266,대구광역시 동구청,2022-05-20
공산동-0024,1,대구광역시 동구 능성길 35-2,대구광역시 동구 능성동 174,35.96638795,128.7403091,,,053-662-2266,대구광역시 동구청,2022-05-20
