"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"거동~대동001",1,,대구광역시 북구 학정동  917-1,35.945815,128.554907,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동002",1,,대구광역시 북구 학정동  917-1,35.945695,128.554816,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동003",1,,대구광역시 북구 학정동  917-1,35.945520,128.554675,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동004",1,,대구광역시 북구 학정동  887-1,35.945332,128.554582,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동005",1,,대구광역시 북구 동천동  838-5,35.945146,128.554491,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동006",1,,대구광역시 북구 동천동  838-5,35.944960,128.554415,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동007",1,,대구광역시 북구 동천동  862,35.944783,128.554353,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동008",1,,대구광역시 북구 동천동  862,35.944572,128.554287,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동009",1,,대구광역시 북구 동천동  263-1,35.944347,128.554259,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동010",1,,대구광역시 북구 동천동  263-1,35.944115,128.554250,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동011",1,,대구광역시 북구 동천동  264-1,35.943898,128.554279,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동012",1,,대구광역시 북구 동천동  264-2,35.943708,128.554320,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동013",1,,대구광역시 북구 동천동  264-2,35.943551,128.554379,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동014",1,,대구광역시 북구 동천동  972-4,35.943513,128.554601,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동015",1,,대구광역시 북구 동천동  264-2,35.943394,128.554465,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동016",1,,대구광역시 북구 동천동  862-3,35.943270,128.554547,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동017",1,,대구광역시 북구 동천동  266-2,35.943209,128.554606,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동018",1,,대구광역시 북구 동천동  838-5,35.943051,128.554770,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동019",1,,대구광역시 북구 동천동  838-5,35.942919,128.554984,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동020",1,,대구광역시 북구 동천동  838-5,35.942811,128.555230,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동021",1,,대구광역시 북구 동천동  838-5,35.942715,128.555482,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동022",1,,대구광역시 북구 동천동  838-5,35.942628,128.555710,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동023",1,,대구광역시 북구 동천동  838-5,35.942542,128.555944,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동024",1,,대구광역시 북구 동천동  838-5,35.942376,128.556281,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동025",1,,대구광역시 북구 동천동  838-5,35.942231,128.556507,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동026",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  957,35.942406,128.556407,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동027",1,,대구광역시 북구 동천동  838-5,35.942059,128.556752,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동028",1,,대구광역시 북구 동천동  838-5,35.941881,128.556917,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동029",1,,대구광역시 북구 동천동  838-5,35.941702,128.557094,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동030",1,,대구광역시 북구 동천동  838-5,35.941555,128.557243,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동031",1,,대구광역시 북구 동천동  838-5,35.941386,128.557374,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동032",1,,대구광역시 북구 동천동  838-5,35.941155,128.557521,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동033",1,,대구광역시 북구 동천동  838-5,35.940973,128.557614,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동034",1,,대구광역시 북구 동천동  838-5,35.940785,128.557702,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동035",1,,대구광역시 북구 동천동  838-5,35.940585,128.557752,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동036",1,,대구광역시 북구 동천동  963-14,35.940721,128.557925,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동037",1,,대구광역시 북구 동천동  838-5,35.940379,128.557759,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동038",1,,대구광역시 북구 동천동  838-5,35.940168,128.557745,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동039",1,,대구광역시 북구 동천동  838-5,35.939921,128.557722,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동040",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  850-5,35.939704,128.557689,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동041",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  854-1,35.939506,128.557639,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동042",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  364-1,35.939426,128.557757,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동043",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  364-1,35.939369,128.557605,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동044",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  364-1,35.939074,128.557674,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동045",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  364-1,35.938846,128.557556,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동046",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  564-1,35.938645,128.557430,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동047",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  561,35.938437,128.557286,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동048",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  559-1,35.938244,128.557152,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동049",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  573-1,35.938082,128.557001,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동050",1,,대구광역시 북구 동천동  957-5,35.937929,128.556991,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
"거동~대동051",1,대구광역시 북구 팔거천동로 147,대구광역시 북구 동천동  850-5,35.937968,128.556728,1905,,053-665-2920,대구광역시 북구 건설과,2022-08-02
