"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"비산1동 728-23",1,,대구광역시 서구 비산1동 728-23,35.882577,128.567294,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 566-1",1,,대구광역시 서구 비산1동 566-1,35.880477,128.568381,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 565-2",1,,대구광역시 서구 비산1동 565-2,35.880339,128.568591,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 713-6",1,,대구광역시 서구 비산1동 713-6,35.881715,128.569367,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 565-13",1,,대구광역시 서구 비산1동 565-13,35.880228,128.568588,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 566-5",1,,대구광역시 서구 비산1동 566-5,35.880216,128.568221,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 710-6",1,,대구광역시 서구 비산1동 710-6,35.881839,128.568186,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 563-22",1,,대구광역시 서구 비산1동 563-22,35.880072,128.568361,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 563-13",1,,대구광역시 서구 비산1동 563-13,35.879997,128.568544,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 563-2",1,,대구광역시 서구 비산1동 563-2,35.880118,128.568653,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 562-2",1,,대구광역시 서구 비산1동 562-2,35.880193,128.568754,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 561-7",1,,대구광역시 서구 비산1동 561-7,35.880166,128.569625,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 561-25",1,,대구광역시 서구 비산1동 561-25,35.880157,128.569582,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 559-3",1,,대구광역시 서구 비산1동 559-3,35.880247,128.569802,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 559-5",1,,대구광역시 서구 비산1동 559-5,35.880177,128.569995,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 559-2",1,,대구광역시 서구 비산1동 559-2,35.880246,128.569936,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 559-6",1,,대구광역시 서구 비산1동 559-6,35.880256,128.569985,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 790-47",1,,대구광역시 서구 비산1동 790-47,35.880917,128.564245,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 554-3",1,,대구광역시 서구 비산1동 554-3,35.879811,128.570534,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 826-10",1,,대구광역시 서구 비산1동 826-10,35.881291,128.559602,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 46-25",1,,대구광역시 서구 비산1동 46-25,35.882851,128.572241,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 49-1",1,,대구광역시 서구 비산1동 49-1,35.882524,128.571835,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 49-4",1,,대구광역시 서구 비산1동 49-4,35.882322,128.571942,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 48-1",1,,대구광역시 서구 비산1동 48-1,35.882911,128.571944,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 608",1,,대구광역시 서구 비산1동 608,35.882237,128.571276,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 52-16",1,,대구광역시 서구 비산1동 52-16,35.881913,128.571574,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 51-11",1,,대구광역시 서구 비산1동 51-11,35.882004,128.571507,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 53-4",1,,대구광역시 서구 비산1동 53-4,35.882011,128.571994,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 628",1,,대구광역시 서구 비산1동 628,35.882782,128.570899,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 625",1,,대구광역시 서구 비산1동 625,35.882921,128.570963,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 625-1",1,,대구광역시 서구 비산1동 625-1,35.882997,128.571015,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 716-28",1,,대구광역시 서구 비산1동 716-28,35.880749,128.568666,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 613-7",1,,대구광역시 서구 비산1동 613-7,35.882884,128.571664,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 589-15",1,,대구광역시 서구 비산1동 589-15,35.881936,128.571097,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 619",1,,대구광역시 서구 비산1동 619,35.882563,128.571246,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 603",1,,대구광역시 서구 비산1동 603,35.882483,128.571171,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 631",1,,대구광역시 서구 비산1동 631,35.882309,128.571202,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 629",1,,대구광역시 서구 비산1동 629,35.882288,128.570866,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 2100-42",1,,대구광역시 서구 비산1동 2100-42,35.882566,128.570761,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 669",1,,대구광역시 서구 비산1동 669,35.883599,128.571784,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 616-2",1,,대구광역시 서구 비산1동 616-2,35.883331,128.571441,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 802-10",1,,대구광역시 서구 비산1동 802-10,35.882941,128.571341,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동  768-30",1,,대구광역시 서구 비산1동 768-30,35.881717,128.561563,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 51-14",1,,대구광역시 서구 비산1동 51-14,35.882345,128.565261,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 770-16",1,,대구광역시 서구 비산1동 770-16,35.882367,128.571682,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 688-1",1,,대구광역시 서구 비산1동 688-1,35.881733,128.566098,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 826-1",1,,대구광역시 서구 비산1동 826-1,35.883651,128.570169,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 626-1",1,,대구광역시 서구 비산1동 626-1,35.883173,128.570794,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 626-1",1,,대구광역시 서구 비산1동 626-1,35.883173,128.570794,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 599-1",1,,대구광역시 서구 비산1동 599-1,35.882039,128.570924,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 645-2",1,,대구광역시 서구 비산1동 645-2,35.882561,128.570061,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 645-23",1,,대구광역시 서구 비산1동 645-23,35.882871,128.570131,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 645-1",1,,대구광역시 서구 비산1동 645-1,35.883129,128.570065,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 740-9",1,,대구광역시 서구 비산1동 740-9,35.883885,128.566938,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 691-2",1,,대구광역시 서구 비산1동 691-2,35.883249,128.569819,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 694-2",1,,대구광역시 서구 비산1동 694-2,35.883919,128.569597,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 563-15",1,,대구광역시 서구 비산1동 563-15,35.879719,128.568548,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 693-3",1,,대구광역시 서구 비산1동 693-3,35.883741,128.569231,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 693-4",1,,대구광역시 서구 비산1동 693-4,35.883681,128.569574,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 693-13",1,,대구광역시 서구 비산1동 693-13,35.883553,128.569281,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 693-6",1,,대구광역시 서구 비산1동 693-6,35.883496,128.569546,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 760-20",1,,대구광역시 서구 비산1동 760-20,35.882335,128.563803,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 688-15",1,,대구광역시 서구 비산1동 688-15,35.883391,128.569975,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 691-4",1,,대구광역시 서구 비산1동 691-4,35.883277,128.569661,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 692-5",1,,대구광역시 서구 비산1동 692-5,35.882953,128.569674,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 645-24",1,,대구광역시 서구 비산1동 645-24,35.882562,128.569899,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 692-16",1,,대구광역시 서구 비산1동 692-16,35.882683,128.569461,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 692-8",1,,대구광역시 서구 비산1동 692-8,35.882845,128.569558,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 699-1",1,,대구광역시 서구 비산1동 699-1,35.883698,128.569097,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 750-1",1,,대구광역시 서구 비산1동 750-1,35.883785,128.566356,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 704-1",1,,대구광역시 서구 비산1동 704-1,35.882154,128.568994,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 816-15",1,,대구광역시 서구 비산1동 816-15,35.881207,128.559871,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 697-15",1,,대구광역시 서구 비산1동 697-15,35.883976,128.567923,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 697-6",1,,대구광역시 서구 비산1동 697-6,35.884004,128.567727,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 698-49",1,,대구광역시 서구 비산1동 698-49,35.883631,128.568088,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 698-50",1,,대구광역시 서구 비산1동 698-50,35.883534,128.568105,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 698-50",1,,대구광역시 서구 비산1동 698-50,35.883534,128.568105,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 698-56",1,,대구광역시 서구 비산1동 698-56,35.883761,128.568376,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 698-66",1,,대구광역시 서구 비산1동 698-66,35.883936,128.568613,,,053-663-2885,대구광역시 서구청,2021-10-25
"비산1동 750-20",1,,대구광역시 서구 비산1동 750-20,35.883681,128.565998,,,053-663-2885,대구광역시 서구청,2021-10-25
