"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
510-0001,1,,대구광역시 수성구 범어1동 881-3,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0002,1,,대구광역시 수성구 범어1동 804-20,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0003,1,,대구광역시 수성구 범어1동 804-42,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0004,1,,대구광역시 수성구 범어1동 804-46,,,2013,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0005,1,,대구광역시 수성구 범어1동 798-12,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0006,1,,대구광역시 수성구 범어1동 807-121,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0007,1,,대구광역시 수성구 범어1동 807-88,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0008,1,,대구광역시 수성구 범어1동 651-5,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0009,1,,대구광역시 수성구 범어1동 807-118,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0010,1,,대구광역시 수성구 범어1동 814-58,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0012,1,,대구광역시 수성구 범어1동 811-10,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0015,1,,대구광역시 수성구 범어1동 810-7,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0017,1,,대구광역시 수성구 범어1동 812-2,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0018,1,,대구광역시 수성구 범어1동 682-32,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0019,1,,대구광역시 수성구 범어1동 811-12,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0020,1,,대구광역시 수성구 범어1동 812-8,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0023,1,,대구광역시 수성구 범어1동 807-108,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0024,1,,대구광역시 수성구 범어1동 882-15,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0026,1,,대구광역시 수성구 범어1동 807-116,,,,건축물,053-666-2913,대구광역시 수성구청,2022-07-09
510-0027,1,,대구광역시 수성구 범어1동 807-93,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0028,1,,대구광역시 수성구 범어1동 807-91,,,,건축물,053-666-2913,대구광역시 수성구청,2022-07-09
510-0032,1,,대구광역시 수성구 범어1동 800-40,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0033,1,,대구광역시 수성구 범어1동 800-35,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0034,1,,대구광역시 수성구 범어1동 775-71,,,2012,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0035,1,,대구광역시 수성구 범어1동 775-10,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0036,1,,대구광역시 수성구 범어1동 779-9,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0037,1,,대구광역시 수성구 범어1동 775-12,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0040,1,,대구광역시 수성구 범어1동 779-30,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0041,1,,대구광역시 수성구 범어1동 595-37,,,2012,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0042,1,,대구광역시 수성구 범어1동 595-33,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0043,1,,대구광역시 수성구 범어1동 594-11,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0044,1,,대구광역시 수성구 범어1동 594-6,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0045,1,,대구광역시 수성구 범어1동 785-9,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0046,1,,대구광역시 수성구 범어1동 779-28,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0047,1,,대구광역시 수성구 범어1동 786-7,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0048,1,,대구광역시 수성구 범어1동 785-30,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0049,1,,대구광역시 수성구 범어1동 787-6,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0050,1,,대구광역시 수성구 범어1동 588-15,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0051,1,,대구광역시 수성구 범어1동 785-17,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0052,1,,대구광역시 수성구 범어1동 588-3,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0053,1,,대구광역시 수성구 범어1동 784,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0055,1,,대구광역시 수성구 범어1동 785-20,,,2019,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0055,1,,대구광역시 수성구 범어1동 785-39,,,2018,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0056,1,,대구광역시 수성구 범어1동 780-2,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0056,1,,대구광역시 수성구 범어1동 785-39,,,2018,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0057,1,,대구광역시 수성구 범어1동 588-10,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0058,1,,대구광역시 수성구 범어1동 588-31,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0059,1,,대구광역시 수성구 범어1동 588-12,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0060,1,,대구광역시 수성구 범어1동 564-2,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0061,1,,대구광역시 수성구 범어1동 588-1,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0062,1,,대구광역시 수성구 범어1동 587-10,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0064,1,,대구광역시 수성구 범어1동 792-20,,,,건축물,053-666-2913,대구광역시 수성구청,2022-07-09
510-0065,1,,대구광역시 수성구 범어1동 791-4,,,,건축물,053-666-2913,대구광역시 수성구청,2022-07-09
510-0066,1,,대구광역시 수성구 범어1동 791-1,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
510-0067,1,,대구광역시 수성구 범어1동 562-5,,,,한전주,053-666-2913,대구광역시 수성구청,2022-07-09
