"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"남산1동001",1,대구광역시 중구 중앙대로 354-9,대구광역시 중구 남산동 910-59,35.8647123817,128.5939178,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동002",1,대구광역시 중구 중앙대로 354-5,대구광역시 중구 남산동 911-17,35.86484909,128.5940572228,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동003",1,대구광역시 중구 중앙대로 354-17,대구광역시 중구 남산동 911-11,35.8646504369,128.5943624865,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동004",1,,대구광역시 중구 남산동 910-51,35.86449051,128.5943298,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동005",1,대구광역시 중구 명륜로 23길 101,대구광역시 중구 남산동 911-5,35.8644371,128.5946351645,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동006",1,,대구광역시 중구 남산동 912-1,35.8643057198,128.5943820686,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동007",1,대구광역시 중구 명륜로 23길 93-3,대구광역시 중구 남산동 912-21,35.86407089,128.5943906727,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동008",1,대구광역시 중구 명륜로 23길 97,대구광역시 중구 남산동 912-24,35.86425018,128.5946155476,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동009",1,대구광역시 중구 명륜로 23길 37,대구광역시 중구 남산동 918-5,35.86165619,128.5955736459,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동010",1,대구광역시 중구 명륜로 23길 105,대구광역시 중구 남산동 911-23,35.8647006946,128.5945205866,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동011",1,,대구광역시 중구 남산동 913-25,35.8633802578,128.5950791002,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동012",1,,대구광역시 중구 남산동 913-25,35.8633802578,128.5950791002,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동013",1,대구광역시 중구 명륜로 23길 81,대구광역시 중구 남산동 913-25,35.8636168677,128.594986,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동014",1,대구광역시 중구 명륜로 23길 81,대구광역시 중구 남산동 913-5,35.8636168677,128.5949022828,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동015",1,대구광역시 중구 명륜로 23길 81-10,대구광역시 중구 남산동 913-11,35.8637315623,128.5945644934,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동016",1,대구광역시 중구 명륜로 23길 81-10,대구광역시 중구 남산동 913-12,35.8637315623,128.5945129,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동017",1,대구광역시 중구 명륜로 23길 81-18,대구광역시 중구 남산동 913-10,35.86352921,128.5945587,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동018",1,대구광역시 중구 명륜로 23길 81-20,대구광역시 중구 남산동 913-17,35.8635744613,128.5943298,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동019",1,대구광역시 중구 명륜로 21길 63,대구광역시 중구 남산동 676-1,35.86322021,128.5941687377,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동020",1,대구광역시 중구 명륜로 21길 69,대구광역시 중구 남산동 675-1,35.86348343,128.5940399,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동021",1,대구광역시 중구 명륜로 21길 71,대구광역시 중구 남산동 922-7,35.86357117,128.5938938471,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동022",1,대구광역시 중구 명륜로 21길 75-3,대구광역시 중구 남산동 674-7,35.8636945714,128.5936579589,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동023",1,대구광역시 중구 명륜로 21길 80,대구광역시 중구 남산동 922-7,35.8639351319,128.5937237,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동024",1,대구광역시 중구 중앙대로 344-9,대구광역시 중구 남산동 674-28,35.86334229,128.5938428368,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동025",1,대구광역시 중구 중앙대로 344-3,대구광역시 중구 남산동 674-9,35.86351776,128.5936279,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동026",1,대구광역시 중구 중앙대로 68길 5-5,대구광역시 중구 남산동 674-25,35.86313629,128.5939483167,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동027",1,대구광역시 중구 중앙대로 68길 3,대구광역시 중구 남산동 673-14,35.86307907,128.5936584,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동028",1,대구광역시 중구 중앙대로 338-3,대구광역시 중구 남산동 673-8,35.8632431,128.5936279,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동029",1,대구광역시 중구 중앙대로 68길 11,대구광역시 중구 남산동 676-8,35.86306763,128.5939941,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동030",1,대구광역시 중구 중앙대로 68길 5-10,대구광역시 중구 남산동 676-8,35.86312485,128.5942391995,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동031",1,,대구광역시 중구 남산동 676-35,35.86289978,128.5943635126,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동032",2,,대구광역시 중구 남산동 676-35,35.86282349,128.5943635126,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동033",1,대구광역시 중구 명륜로 21길 45,대구광역시 중구 남산동 677-76,35.8626097647,128.5946432017,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동034",1,대구광역시 중구 명륜로 21길 46,대구광역시 중구 남산동 916-19,35.86261368,128.5948029,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동035",1,대구광역시 중구 명륜로 21길 45,대구광역시 중구 남산동 677-76,35.8626097647,128.5946808,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동036",1,대구광역시 중구 명륜로 21길 43-5,대구광역시 중구 남산동 677-17,35.8625130445,128.5943873090,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동037",1,대구광역시 중구 명륜로 21길 43-11,대구광역시 중구 남산동 677-105,35.86252975,128.5942126254,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동038",1,대구광역시 중구 명륜로 21길 43-17,대구광역시 중구 남산동 677-20,35.8625578034,128.5939616629,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동039",2,대구광역시 중구 중앙대로 66길 7-13,대구광역시 중구 남산동 672-61,35.86258698,128.5936267342,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동040",1,대구광역시 중구 중앙대로 66길 7-5,대구광역시 중구 남산동 672-55,35.8622831462,128.5935940507,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동041",1,대구광역시 중구 중앙대로 334-5,대구광역시 중구 남산동 672-26,35.86241913,128.5936222012,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동042",1,대구광역시 중구 중앙대로 68길 2-3,대구광역시 중구 남산동 672-10,35.8626976,128.5935829450,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동043",1,,대구광역시 중구 남산동 672-10,35.8626011387,128.5936803323,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동044",1,대구광역시 중구 중앙대로 68길 10,대구광역시 중구 남산동 677-7,35.86287689,128.5940176740,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동045",1,대구광역시 중구 중앙대로 68길 16,대구광역시 중구 남산동 676-17,35.86286163,128.594223,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동046",1,,대구광역시 중구 남산동 915-23,35.86288834,128.5949110240,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동047",1,대구광역시 중구 명륜로 21길 54,대구광역시 중구 남산동 915-28,35.8630100890,128.5946198,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동048",1,대구광역시 중구 명륜로 21길 54-4,대구광역시 중구 남산동 914-21,35.86315536,128.5947113,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동049",1,대구광역시 중구 명륜로 23길 71,대구광역시 중구 남산동 915-15,35.8630943430,128.595047,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동050",1,대구광역시 중구 명륜로 23길 75,대구광역시 중구 남산동 914-5,35.8633141855,128.5950235280,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동051",1,대구광역시 중구 명륜로 23길 63,대구광역시 중구 남산동 916-1,35.8627730756,128.5951233,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동052",1,대구광역시 중구 명륜로 23길 71,대구광역시 중구 남산동 915-15,35.86304474,128.5950682750,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동053",1,,대구광역시 중구 남산동 918-12,35.86188889,128.595459,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동054",1,대구광역시 중구 명륜로 23길 47,대구광역시 중구 남산동 917-23,35.86206436,128.5953405809,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동055",1,,대구광역시 중구 남산동 910-80,35.8629983416,128.5945197396,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동056",1,대구광역시 중구 명륜로 21길 42,대구광역시 중구 남산동 677-30,35.86242294,128.5948907899,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동057",1,대구광역시 중구 명륜로 23길 37,대구광역시 중구 남산동 918-5,35.86164474,128.5955736459,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동058",1,대구광역시 중구 중앙대로 66길 41-4,대구광역시 중구 남산동 918-12,35.86186981,128.5954522110,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동059",1,,대구광역시 중구 남산동 677-181,35.86171341,128.5949793329,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동060",1,대구광역시 중구 명륜로 21길 27,대구광역시 중구 남산동 677-92,35.86180878,128.5949604856,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동061",2,대구광역시 중구 명륜로 21길 33-1,대구광역시 중구 남산동 677-144,35.86209869,128.5948639,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동062",1,대구광역시 중구 명륜로 21길 41,대구광역시 중구 남산동 677-15,35.86240768,128.5947876,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동063",1,대구광역시 중구 명륜로 21길 33-7,대구광역시 중구 남산동 677-57,35.86217499,128.5944293539,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동064",1,대구광역시 중구 명륜로 21길33-15,대구광역시 중구 남산동 677-61,35.86225891,128.5939331,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동065",1,대구광역시 중구 명륜로 97-27,대구광역시 중구 남산동 685-20,35.86125565,128.5952911,,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동066",1,대구광역시 중구 중앙대로 66길7-3,대구광역시 중구 남산동 659-4,35.8622079661,128.5935687441,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동067",1,대구광역시 중구 중앙대로 66길7-2,대구광역시 중구 남산동 659-4,35.8620276713,128.5937570938,2020,한전주,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동068",1,대구광역시 중구 중앙대로 330-3,대구광역시 중구 남산동 671-42,35.86222458,128.5935215454,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
"남산1동069",1,,대구광역시 중구 남산동 671-44,35.8622913873,128.5934143,2020,건축물,053-661-2653,대구광역시 중구청(건설과),2022-06-15
