"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가양동001",1,,대전광역시 동구 가양동 360-36,36.336248,127.442308,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동002",1,,대전광역시 동구 가양동 302-74,36.336388,127.4420916469,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동003",1,,대전광역시 동구 가양동 561-19,36.3378019859,127.4392691947,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동004",1,,대전광역시 동구 가양동 359-6,36.3369092115,127.442386,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동005",1,,대전광역시 동구 가양동 359-5,36.3371422944,127.442619,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동006",1,,대전광역시 동구 가양동 359-24,36.3372160276,127.442706,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동007",1,,대전광역시 동구 가양동 359-11,36.337457,127.4429676937,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동008",1,,대전광역시 동구 가양동 357-10,36.3375330238,127.443317,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동009",1,,대전광역시 동구 가양동 357-10,36.3375330238,127.4433109704,,전용주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동010",1,,대전광역시 동구 가양동 571-13,36.337814,127.4423477765,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동011",1,,대전광역시 동구 가양동 572-17,36.3381518079,127.4419625867,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동012",1,,대전광역시 동구 가양동 358-2,36.338124,127.443686,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동013",1,,대전광역시 동구 가양동 356-9,36.3381404765,127.444056,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동014",1,,대전광역시 동구 가양동 355-7,36.3384125239,127.4438576256,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동015",1,,대전광역시 동구 가양동 356-1,36.338709,127.4445562186,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동016",1,,대전광역시 동구 가양동 355-25,36.3385687736,127.4438128437,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동017",1,,대전광역시 동구 가양동 355-4,36.3386975677,127.4435900214,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동018",1,,대전광역시 동구 가양동 355-2,36.3388758636,127.4433353995,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동019",1,,대전광역시 동구 가양동 353-26,36.339056,127.4431048998,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동020",1,,대전광역시 동구 가양동 353-17,36.3393233785,127.4432161892,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동021",1,,대전광역시 동구 가양동 355-20,36.3386193621,127.443326,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동022",1,,대전광역시 동구 가양동 355-17,36.3385180277,127.443507,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동023",1,,대전광역시 동구 가양동 570-6,36.3381589596,127.4428059295,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동024",1,,대전광역시 동구 가양동 358-29,36.3379753616,127.4429838870,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동025",1,,대전광역시 동구 가양동 571-11,36.3376466771,127.442405,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동026",1,,대전광역시 동구 가양동 359-16,36.3371530597,127.4422728306,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동027",1,,대전광역시 동구 가양동 359-6,36.3369092115,127.4423189016,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동028",1,,대전광역시 동구 가양동 429-10,36.3482979133,127.4429447679,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동029",1,,대전광역시 동구 가양동 358-24,36.337708,127.4429291575,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동030",1,,대전광역시 동구 가양동 570-19,36.337925,127.442588,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동031",1,,대전광역시 동구 가양동 571-1,36.3379448763,127.442234,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동032",1,,대전광역시 동구 가양동 162-12,36.3473017511,127.4509192435,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동033",1,,대전광역시 동구 가양동 561-19,36.3378019859,127.4392691947,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동034",1,,대전광역시 동구 가양동 571-6,36.3377051571,127.4420677728,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동035",1,,대전광역시 동구 가양동 570-27,36.3381959879,127.4425166471,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동036",1,,대전광역시 동구 가양동 570-14,36.3383223844,127.4427216442,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동037",1,,대전광역시 동구 가양동 568-5,36.338608,127.4426260748,,전용주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동038",1,,대전광역시 동구 가양동 568-3,36.338735,127.4427648644,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동039",1,,대전광역시 동구 가양동 568-10,36.3388775676,127.442677,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동040",1,,대전광역시 동구 가양동 568-39,36.339089,127.442369,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동041",1,,대전광역시 동구 가양동 353-9,36.3391899089,127.442425,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동042",1,,대전광역시 동구 가양동 353-15,36.3393875102,127.4431032713,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동043",1,,대전광역시 동구 가양동 568-1,36.339085,127.4422438464,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동044",1,,대전광역시 동구 가양동 569-1,36.3386725074,127.4419380160,,전용주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동045",1,,대전광역시 동구 가양동 568-8,36.3388875255,127.442323,,전용주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동046",1,,대전광역시 동구 가양동 568-1,36.3390796983,127.4422438464,,전용주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동047",1,,대전광역시 동구 가양동 574-33,36.3391065035,127.441889,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
"가양동048",1,,대전광역시 동구 가양동 569-2,36.338686,127.4422087825,,한전주,042-271-4871,대전광역시 동구청,2022-10-25
