"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가수원동001",1,대전광역시 서구 계백로1158번길 3,대전광역시 서구 가수원동 763-2,36.30435774,127.3520275,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동002",1,대전광역시 서구 계백로1158번길 11,대전광역시 서구 가수원동 765-10,36.30421984,127.3521856,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동003",1,대전광역시 서구 벌곡로1379번길 21,대전광역시 서구 가수원동 768-1,36.30403669,127.3524102,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동004",1,대전광역시 서구 벌곡로1379번길 16,대전광역시 서구 가수원동 765-8,36.30425494,127.3532713,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동005",1,대전광역시 서구 계백로 1166-18,대전광역시 서구 가수원동 767-2,36.30417349,127.3526223,,전용주,042-288-3950,042-288-2114,2022-06-27
"가수원동006",1,대전광역시 서구 벌곡로1379번길 5,대전광역시 서구 가수원동 766-1,36.30415029,127.3528505,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동007",1,대전광역시 서구 벌곡로1379번길 6,대전광역시 서구 가수원동 764-7,36.30435256,127.3530184,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동008",1,대전광역시 서구 계백로 1166-7,대전광역시 서구 가수원동 764-10,36.3045758,127.3529526,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동009",1,대전광역시 서구 계백로 1166-3,대전광역시 서구 가수원동 764-11,36.30473819,127.3528921,,전용주,042-288-3950,042-288-2114,2022-06-27
"가수원동010",1,대전광역시 서구 계백로1158번길 7-11,대전광역시 서구 가수원동 763-5,36.30451611,127.3525668,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동011",1,대전광역시 서구 계백로1158번길 7-5,대전광역시 서구 가수원동 763-3,36.30446066,127.3522687,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동012",1,대전광역시 서구 벌곡로1379번길 33,대전광역시 서구 가수원동 769-1,36.30397216,127.3521371,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동013",1,대전광역시 서구 계백로1158번길 19,대전광역시 서구 가수원동 768-16,36.30390858,127.3523038,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동014",1,대전광역시 서구 계백로1158번길 21,대전광역시 서구 가수원동 768-15,36.3036808,127.3523835,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동015",1,대전광역시 서구 계백로1158번길 23,대전광역시 서구 가수원동 768-14,36.30357033,127.3524109,,건축물,042-288-3950,042-288-2114,2022-06-27
"가수원동016",1,대전광역시 서구 계백로1158번길 29,대전광역시 서구 가수원동 768-12,36.30336056,127.3524934,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동017",1,대전광역시 서구 계백로1158번길 31,대전광역시 서구 가수원동 768-11,36.30326134,127.3525236,,건축물,042-288-3950,042-288-2114,2022-06-27
"가수원동018",1,대전광역시 서구 벌곡로 1359,대전광역시 서구 가수원동 732-7,36.30307404,127.3526257,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동019",1,대전광역시 서구 벌곡로 1359,대전광역시 서구 가수원동 732-6,36.3031834,127.3529769,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동020",1,,대전광역시 서구 가수원동 767-11,36.30344944,127.3529113,,건축물,042-288-3950,042-288-2114,2022-06-27
"가수원동021",1,,대전광역시 서구 가수원동 767-6,36.30358029,127.3528507,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동022",1,,대전광역시 서구 가수원동 767-6,36.30388726,127.352661,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동023",1,대전광역시 서구 계백로 1166-19,대전광역시 서구 가수원동 766-16,36.30410671,127.3531147,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동024",1,대전광역시 서구 계백로 1166-27,대전광역시 서구 가수원동 766-13,36.30378643,127.3532357,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동025",1,대전광역시 서구 계백로 1166-29,대전광역시 서구 가수원동 766-12,36.30353404,127.3532541,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동026",1,대전광역시 서구 계백로 1166-34,대전광역시 서구 가수원동 767-9,36.30328587,127.3533727,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동027",1,대전광역시 서구 벌곡로 1369-4,대전광역시 서구 가수원동 766-9,36.30335479,127.3536819,,전용주,042-288-3950,042-288-2114,2022-06-27
"가수원동028",1,대전광역시 서구 벌곡로 1369-22,대전광역시 서구 가수원동 768-10,36.30302006,127.3525949,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동029",1,대전광역시 서구 벌곡로 1359,대전광역시 서구 가수원동 459,36.30280805,127.3526746,,한전주,042-288-3950,042-288-2114,2022-06-27
"가수원동030",1,대전광역시 서구 벌곡로 1359,대전광역시 서구 가수원동 459,36.30250582,127.3527874,,한전주,042-288-3950,042-288-2114,2022-06-27
