"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"갑동001",1,,대전광역시 유성구 갑동 389-14,36.3609718297,127.2949373820,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동002",1,"대전광역시 유성구 현충원로 213, (갑동)",대전광역시 유성구 갑동 433-53,36.3603898959,127.2945630476,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동003",1,"대전광역시 유성구 현충원로 213, (갑동)",대전광역시 유성구 갑동 433-53,36.3603898959,127.2945630476,,,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동004",1,"대전광역시 유성구 현충원로 213, (갑동)",대전광역시 유성구 갑동 433-53,36.3603898959,127.2945630476,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동005",1,"대전광역시 유성구 현충원로 203, (갑동)",대전광역시 유성구 갑동 391-5,36.3605894166,127.2938675460,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동006",1,"대전광역시 유성구 갑동로8번길 75, (갑동)",대전광역시 유성구 갑동 389-15,36.3612471437,127.2933708602,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동007",1,"대전광역시 유성구 갑동로8번길 65, (갑동)",대전광역시 유성구 갑동 389-6,36.3611851704,127.2928820543,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동008",1,"대전광역시 유성구 갑동로8번길 49, (갑동)",대전광역시 유성구 갑동 388-3,36.3614359630,127.2923687926,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동009",1,"대전광역시 유성구 갑동로 32, (갑동)",대전광역시 유성구 갑동 388-42,36.3615849447,127.2907367153,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동010",1,,대전광역시 유성구 갑동 433-12,36.3614301843,127.2904445896,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동011",1,"대전광역시 유성구 갑동로 20, (갑동)",대전광역시 유성구 갑동 388-55,36.3616197565,127.2896126184,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동012",1,"대전광역시 유성구 갑동로 21-11, (갑동)",대전광역시 유성구 갑동 387-90,36.36212969,127.2896412259,,,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동013",1,"대전광역시 유성구 갑동로 14, (갑동)",대전광역시 유성구 갑동 388-9,36.3616298243,127.2893255266,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동014",1,"대전광역시 유성구 갑동로 15-11, (갑동)",대전광역시 유성구 갑동 327-9,36.3624711502,127.2891814537,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
"갑동015",1,"대전광역시 유성구 갑동로15번길 2-9, (갑동)",대전광역시 유성구 갑동 401-5,36.3619656562,127.2885579693,,한전주,042-601-2506,대전광역시 유성구청,2022-06-15
