"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가덕도동102",1,,부산광역시 강서구 눌차동 562-3,35.06726351,128.8375375157,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동103",2,,부산광역시 강서구 눌차동 산 84-6,35.06783334,128.8372629358,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동104",1,,부산광역시 강서구 눌차동 560-2,35.067429,128.8384818,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동105",1,,부산광역시 강서구 눌차동 554-1,35.06739786,128.8391918944,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동106",1,,부산광역시 강서구 눌차동 554-1,35.06739786,128.8391918944,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동107",1,,부산광역시 강서구 눌차동 554-1,35.06739786,128.8391918944,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동108",1,,부산광역시 강서구 눌차동 562-15,35.0673219,128.8383272,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동109",1,,부산광역시 강서구 눌차동 554-21,35.06722865,128.8387757,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동110",1,,부산광역시 강서구 눌차동 554-31,35.0672149464,128.8393109334,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동111",1,,부산광역시 강서구 눌차동 554-27,35.06699883,128.8394203,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동112",1,,부산광역시 강서구 눌차동 554-27,35.06699883,128.8394203,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동113",1,,부산광역시 강서구 눌차동 510,35.06732754,128.8401144,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동114",1,,부산광역시 강서구 눌차동 841-2,35.06672876,128.8406674,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동115",1,,부산광역시 강서구 눌차동 496,35.06784691,128.8406131,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동116",1,,부산광역시 강서구 눌차동 522,35.06818224,128.8403534,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동117",1,,부산광역시 강서구 눌차동 504-1,35.06726323,128.8402891,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동118",1,,부산광역시 강서구 눌차동 490,35.06736751,128.8408494,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동119",1,,부산광역시 강서구 눌차동 484-8,35.0668482481,128.8404455327,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동120",1,,부산광역시 강서구 눌차동 484-8,35.0668482481,128.8404455327,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동121",1,,부산광역시 강서구 눌차동 481-12,35.0661704197,128.8404429,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동122",1,,부산광역시 강서구 눌차동 468-4,35.06553109,128.8404906,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동123",1,,부산광역시 강서구 눌차동 841-2,35.06672876,128.8406674,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동124",1,,부산광역시 강서구 눌차동 841-2,35.06672876,128.8406674,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동125",1,,부산광역시 강서구 눌차동 218-20,35.06457979,128.8411825,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동126",1,,부산광역시 강서구 눌차동 218-4,35.06477811,128.8424783,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동127",1,,부산광역시 강서구 눌차동 218-4,35.06477811,128.8424783,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동128",1,,부산광역시 강서구 눌차동 212-4,35.06454597,128.8421579,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동129",1,,부산광역시 강서구 눌차동 212-22,35.06422186,128.8420998,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동130",1,,부산광역시 강서구 눌차동 212-7,35.06452672,128.8423331,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동131",1,,부산광역시 강서구 눌차동 223,35.06511383,128.8421638,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동132",1,,부산광역시 강서구 눌차동 212-1,35.0647779569,128.8424751041,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동133",1,,부산광역시 강서구 눌차동 211-1,35.06494968,128.8424362,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동134",1,,부산광역시 강서구 눌차동 245,35.06506365,128.8428978,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동135",1,,부산광역시 강서구 눌차동 843,35.0651989085,128.8428724226,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동136",1,,부산광역시 강서구 눌차동 354,35.06495984,128.8435655,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동137",1,,부산광역시 강서구 눌차동 350,35.0654022,128.8434714,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동138",1,,부산광역시 강서구 눌차동 212-11,35.0644221963,128.8424848,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동139",1,,부산광역시 강서구 눌차동 226-1,35.06459334,128.8433177191,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동140",1,,부산광역시 강서구 눌차동 226-29,35.06442957,128.8432794865,,,051-970-4671,부산광역시 강서구청,2022-08-31
"가덕도동141",1,,부산광역시 강서구 눌차동 190-2,35.06444202,128.8441413,,,051-970-4671,부산광역시 강서구청,2022-08-31
