"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"구서동001",1,부산광역시 금정구 체육공원로 19 (구서동),부산광역시 금정구 구서동 490-16,35.2462790144,129.0952994900,2021,건축물,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동002",1,부산광역시 금정구 체육공원로19번길 7 (구서동),부산광역시 금정구 구서동 489-5,35.2464447003,129.0949840939,2021,전용주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동003",1,부산광역시 금정구 체육공원로19번길 12 (구서동),부산광역시 금정구 구서동 490-18,35.2464680745,129.0952474542,2021,건축물,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동004",1,부산광역시 금정구 체육공원로19번길 19 (구서동),부산광역시 금정구 구서동 489-21,35.2468829713,129.0952832880,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동005",1,부산광역시 금정구 체육공원로29번길 13 (구서동),부산광역시 금정구 구서동 489-1,35.2470554530,129.0954548088,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동006",1,부산광역시 금정구 체육공원로29번길 7 (구서동),부산광역시 금정구 구서동 490-22,35.2469064828,129.0956635332,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동007",1,부산광역시 금정구 체육공원로 25 (구서동),부산광역시 금정구 구서동 490-2,35.2466286489,129.0956485818,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동008",1,부산광역시 금정구 체육공원로29번길 14 (구서동),부산광역시 금정구 구서동 487-7,35.2471934286,129.0955686496,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동009",1,부산광역시 금정구 체육공원로29번길 24 (구서동),부산광역시 금정구 구서동 487-12,35.2473903988,129.0955073705,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동010",1,부산광역시 금정구 체육공원로29번길 20 (구서동),부산광역시 금정구 구서동 487-15,35.2473023130,129.0954110714,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동011",1,부산광역시 금정구 체육공원로29번길 33 (구서동),부산광역시 금정구 구서동 488-2,35.2478873110,129.0955321354,2021,전용주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동012",1,부산광역시 금정구 체육공원로29번길 46 (구서동),부산광역시 금정구 구서동 484-11,35.2481102345,129.0961002020,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동013",1,부산광역시 금정구 체육공원로29번길 41 (구서동),부산광역시 금정구 구서동 483-4,35.2482283825,129.0957980772,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동014",1,부산광역시 금정구 체육공원로29번길 55 (구서동),부산광역시 금정구 구서동 483-2,35.2486682271,129.0962715483,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동015",1,부산광역시 금정구 체육공원로29번길 57 (구서동),부산광역시 금정구 구서동 483-1,35.2487920392,129.0963862366,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동016",1,부산광역시 금정구 체육공원로19번길 49 (구서동),부산광역시 금정구 구서동 484-7,35.2479838589,129.0962530462,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동017",1,부산광역시 금정구 체육공원로19번길 43 (구서동),부산광역시 금정구 구서동 487-4,35.2477427718,129.0960728346,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동018",1,부산광역시 금정구 체육공원로 39-3 (구서동),부산광역시 금정구 구서동 486-6,35.2475073575,129.0965688990,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동019",1,부산광역시 금정구 체육공원로19번길 35 (구서동),부산광역시 금정구 구서동 487-17,35.2474731964,129.0958360867,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동020",1,부산광역시 금정구 체육공원로19번길 32 (구서동),부산광역시 금정구 구서동 486-47,35.2471638242,129.0958730506,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동021",1,부산광역시 금정구 체육공원로 39-8 (구서동),부산광역시 금정구 구서동 485-6,35.2478205554,129.0964255909,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동022",1,부산광역시 금정구 체육공원로19번길 49 (구서동),부산광역시 금정구 구서동 484-7,35.2479838589,129.0962530462,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동023",1,부산광역시 금정구 체육공원로19번길 55 (구서동),부산광역시 금정구 구서동 484-3,35.2482551860,129.0965134602,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동024",1,부산광역시 금정구 체육공원로 61 (구서동),부산광역시 금정구 구서동 997-10,35.2492957652,129.0975722168,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동025",1,부산광역시 금정구 체육공원로44번길 9 (구서동),부산광역시 금정구 구서동 75-6,35.2475601686,129.0983409375,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동026",1,부산광역시 금정구 체육공원로44번길 13 (구서동),부산광역시 금정구 구서동 74,35.2475601686,129.0983409375,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동027",1,,부산광역시 금정구 구서동 74-5,35.2475601686,129.0983409375,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동028",1,부산광역시 금정구 체육공원로44번길 13 (구서동),부산광역시 금정구 구서동 74-8,35.2475601686,129.0983409375,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동029",1,부산광역시 금정구 체육공원로44번길 13 (구서동),부산광역시 금정구 구서동 74-7,35.2475601686,129.0983409375,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동030",1,부산광역시 금정구 체육공원로44번길 49 (구서동),부산광역시 금정구 구서동 산 57-22,35.2483321640,129.0985547246,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동031",1,부산광역시 금정구 체육공원로 43-3 (구서동),부산광역시 금정구 구서동 485-17,35.2479334082,129.0968814125,2021,건축물,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동032",1,부산광역시 금정구 체육공원로 49 (구서동),부산광역시 금정구 구서동 76-5,35.2483046072,129.0973118148,2021,건축물,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동033",1,,부산광역시 금정구 구서동 산57-1,35.2542710444,129.0999468423,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동034",1,부산광역시 금정구 체육공원로101번길 40 (구서동),부산광역시 금정구 구서동 56-2,35.2542710444,129.0999468423,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동035",1,부산광역시 금정구 체육공원로101번길 47 (구서동),부산광역시 금정구 구서동 127,35.2543222201,129.0992620903,2021,건축물,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동036",1,부산광역시 금정구 체육공원로101번길 42 (구서동),부산광역시 금정구 구서동 118,35.2540753701,129.0996997738,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
"구서동037",1,부산광역시 금정구 중앙대로 1840 (구서동),부산광역시 금정구 구서동 80-1,35.2507171231,129.0926980091,2021,한전주,051-519-4671,금정구청 도시안전과,2021-06-07
