"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"기장읍1037",1,,부산광역시 기장군 기장읍 죽성리 543-5,35.2390587,129.2417133,2021,전용주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1669",1,,부산광역시 기장군 기장읍 교리 332-1,35.2537374880,129.2151635,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1670",1,,부산광역시 기장군 기장읍 내리 449-1,35.2162504990,129.2005719120,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1671",1,,부산광역시 기장군 기장읍 내리 797,35.2019569926,129.2069107591,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1672",1,,부산광역시 기장군 기장읍 동부리 386-13,35.2508727509,129.2134871833,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1673",1,,부산광역시 기장군 기장읍 대변리 267-2,35.2231617132,129.2316072533,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1674",1,,부산광역시 기장군 기장읍 교리 324-5,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1679",1,,부산광역시 기장군 기장읍 죽성리 30-42,,,,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1681",1,,부산광역시 기장군 기장읍 청강리 268-1,35.2377051,129.2166843430,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1684",1,,부산광역시 기장군 기장읍 내리 701-43,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1685",1,,부산광역시 기장군 기장읍 대라리 171,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1686",1,,부산광역시 기장군 기장읍 대라리 174-4,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1687",1,,부산광역시 기장군 기장읍 청강리 775-3,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1688",1,,부산광역시 기장군 기장읍 청강리 775-3,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1689",1,,부산광역시 기장군 기장읍 청강리 432-6,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1690",1,,부산광역시 기장군 기장읍 청강리 432-6,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1693",1,,부산광역시 기장군 기장읍 대라리 176-14,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1694",1,,부산광역시 기장군 기장읍 만화리 43,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1695",1,,부산광역시 기장군 기장읍 동부리 115-1,35.2477563637,129.2131440616,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1696",1,,부산광역시 기장군 기장읍 대라리 142-6,35.2396634525,129.2156813119,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1697",1,,부산광역시 기장군 기장읍 청강리 427-3,35.2207044,129.2118031680,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1698",1,,부산광역시 기장군 기장읍 동부리 155-8,35.2473438819,129.2166603,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1699",1,,부산광역시 기장군 기장읍 동부리 155-10,35.2473131255,129.2161059,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1700",1,,부산광역시 기장군 기장읍 대라리 168-13,35.2372096,129.2151487,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1701",1,,부산광역시 기장군 기장읍 대라리 168-8,35.2374994957,129.2151501460,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1702",1,,부산광역시 기장군 기장읍 내리 333,35.2080060974,129.2065623881,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1703",1,,부산광역시 기장군 기장읍 교리 343-1,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1704",1,,부산광역시 기장군 기장읍 교리 343-1,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1705",1,,부산광역시 기장군 기장읍 교리 192,35.2519051875,129.2128234268,,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1708",0,,부산광역시 기장군 기장읍 대라리 884,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1709",1,,부산광역시 기장군 기장읍 대변리 370,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1710",0,,부산광역시 기장군 기장읍 내리 345-8,,,2019,전용주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1711",1,,부산광역시 기장군 기장읍 만화리 산 120-23,35.2533194316,129.1949986626,2018,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1712",1,,부산광역시 기장군 기장읍 만화리 산 120-23,35.2533194316,129.1949986626,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1713",1,,부산광역시 기장군 기장읍 교리 251-9,,,2019,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1715",1,,부산광역시 기장군 기장읍 교리 94,35.2572158,129.2136085542,2021,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1716",0,,부산광역시 기장군 기장읍 대라리 363-1,35.2396402,129.2112353797,2022,전용주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1717",1,,부산광역시 기장군 기장읍 청강리 820,35.2253789774,129.2129192,2022,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1718",1,,부산광역시 기장군 기장읍 대라리 176-10,35.2361811872,129.2126419639,2022,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1719",1,,부산광역시 기장군 기장읍 대라리 166-16,35.237103,129.2134555039,2022,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1720",1,,부산광역시 기장군 기장읍 대변리 599,35.2229434392,129.2385789023,2022,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1721",1,,부산광역시 기장군 기장읍 동부리 181-1,35.2442153,129.2132056,2022,전용주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1723",1,,부산광역시 기장군 기장읍 동부리 235-1,35.2450724,129.2128140335,2022,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1724",1,,부산광역시 기장군 기장읍 청강리 809,35.2255191917,129.2137927093,2022,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
"기장읍1726",1,,부산광역시 기장군 기장읍 시랑리 417,35.1891439795,129.2210084061,2022,한전주,051-709-4684,부산광역시 기장군청,2022-11-25
