"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"초량동0001",1,부산광역시 동구 중앙대로196번길 10,부산광역시 동구 초량동 1204-1,35.11435318,129.04016110,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0002",1,부산광역시 동구 중앙대로196번길 6-3,부산광역시 동구 초량동 1204-3,35.11415100,129.04006960,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0003",1,부산광역시 동구 중앙대로196번길 6-5,부산광역시 동구 초량동 1204-4,35.11386108,129.03994750,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0004",1,부산광역시 동구 중앙대로196번길 6-7,부산광역시 동구 초량동 1204-7,35.11365128,129.03984070,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0005",1,부산광역시 동구 중앙대로196번길 6-13,부산광역시 동구 초량동 1204-10,35.11334229,129.03970340,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0006",1,부산광역시 동구 중앙대로180번길 7,부산광역시 동구 초량동 1204-12,35.11320496,129.03968810,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0007",1,부산광역시 동구 중앙대로180번길 13,부산광역시 동구 초량동 1203-10,35.11306000,129.04020690,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0008",1,부산광역시 동구 중앙대로196번길 12-9,부산광역시 동구 초량동 1203-17,35.11361313,129.04042050,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0009",1,부산광역시 동구 중앙대로196번길 12,부산광역시 동구 초량동 1203-15,35.11415100,129.04067990,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0010",1,부산광역시 동구 중앙대로180번길 12-7,부산광역시 동구 초량동 1213-4,35.11255264,129.03996280,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0011",1,부산광역시 동구 중앙대로180번길 12-13,부산광역시 동구 초량동 1213-22,35.11209488,129.03974910,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0012",1,부산광역시 동구 대영로 265,부산광역시 동구 초량동 1213-18,35.11173248,129.03959660,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0013",1,부산광역시 동구 중앙대로180번길 16-14,부산광역시 동구 초량동 1213-16,35.11175537,129.04003910,2011,전용주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0014",1,부산광역시 동구 중앙대로180번길 16-10,부산광역시 동구 초량동 1213-9,35.11213303,129.04019170,2011,전용주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0015",1,부산광역시 동구 대영로 261,부산광역시 동구 초량동 1212-11,35.11177826,129.03933720,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0016",1,부산광역시 동구 중앙대로 166,부산광역시 동구 초량동 1211-10,35.11184311,129.03909300,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0017",1,부산광역시 동구 중앙대로180번길 6-15,부산광역시 동구 초량동 1212-9,35.11202621,129.03910830,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0018",1,부산광역시 동구 중앙대로180번길 6-13,부산광역시 동구 초량동 1212-8,35.11228561,129.03923030,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0019",1,부산광역시 동구 중앙대로180번길 6-11,부산광역시 동구 초량동 1212-5,35.11247253,129.03930660,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
"초량동0020",1,부산광역시 동구 중앙대로180번길 6-9,부산광역시 동구 초량동 1212-4,35.11264801,129.03938290,2011,한전주,051-440-4674,부산광역시 동구,2022-06-07
