"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"구만덕로172",1,,부산광역시 동래구 온천동 산 182-7,35.21153641,129.0563630176,,,051-550-4671,부산광역시 동래구청,2022-05-31
"구만덕로285-36(1)",1,,부산광역시 동래구 온천동 산 108-1,35.2166699703,129.0664172049,,,051-550-4671,부산광역시 동래구청,2022-05-31
"구만덕로285-36(2)",1,,부산광역시 동래구 온천동 산 72-1,35.2163997294,129.0653294981,,,051-550-4671,부산광역시 동래구청,2022-05-31
"구만덕로285-36(3)",1,,부산광역시 동래구 온천동 산 72-1,35.2163997294,129.0653294981,,,051-550-4671,부산광역시 동래구청,2022-05-31
"구만덕로285-36(4)",1,,부산광역시 동래구 온천동 산 72-1,35.2163997294,129.0653965,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길22",1,,부산광역시 동래구 온천동 1754-6,35.2199768519,129.0828889651,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길71",1,,부산광역시 동래구 온천동 148-12,35.2220726,129.082962,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길74",1,,부산광역시 동래구 온천동 148-32,35.2221756,129.0834045,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길77(1)",1,,부산광역시 동래구 온천동 147-51,35.2221892897,129.0831820826,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길77(2)",1,,부산광역시 동래구 온천동 147-51,35.2221892897,129.0831820826,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길77(3)",1,,부산광역시 동래구 온천동 147-7,35.2223272189,129.0830688,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길81",1,,부산광역시 동래구 온천동 147-56,35.22249603,129.083374,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길86",1,,부산광역시 동래구 온천동 147-53,35.22271347,129.0835959288,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로20번길87",1,,부산광역시 동래구 온천동 147-60,35.2223238775,129.0833795781,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로33번길9",1,,부산광역시 동래구 온천동 189-82,35.21840668,129.0811005,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로33번길21",1,,부산광역시 동래구 온천동 189-72,35.21801376,129.0811950299,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로34-7",1,,부산광역시 동래구 온천동 210-11,35.21938723,129.0806430027,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로34-9",1,,부산광역시 동래구 온천동 135-11,35.2184347189,129.0815939078,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로34-12",1,,부산광역시 동래구 온천동 210-7,35.21943665,129.0808865011,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로37(1)",1,,부산광역시 동래구 온천동 189-134,35.2184340743,129.0806069846,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로37(2)",1,,부산광역시 동래구 온천동 189-134,35.2184340743,129.0806069846,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로37(3)",1,,부산광역시 동래구 온천동 189-134,35.2184340743,129.0806069846,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강공원로54번길30",1,,부산광역시 동래구 온천동 230-1,35.21973038,129.0792563046,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로6-1",1,,부산광역시 동래구 온천동 850-5,35.21229553,129.0720825,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로6-7",1,,부산광역시 동래구 온천동 850-17,35.2119876006,129.0717348433,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로6-14",1,,부산광역시 동래구 온천동 850-44,35.21179962,129.0714685260,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로6-18",1,,부산광역시 동래구 온천동 850-45,35.2116397138,129.0714569,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번가길7-1",1,,부산광역시 동래구 온천동 90-21,35.21156373,129.0720593,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번가길11",1,,부산광역시 동래구 온천동 791-12,35.2117199530,129.0721404596,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번가길19(1)",1,,부산광역시 동래구 온천동 784-37,35.2117387588,129.0723516789,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번가길19(2)",1,,부산광역시 동래구 온천동 784-34,35.2117992599,129.0726624,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번길11",1,,부산광역시 동래구 온천동 849-2,35.2118276113,129.071991,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번길13",1,,부산광역시 동래구 온천동 849-3,35.2115072404,129.0718079,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번길89",1,,부산광역시 동래구 온천동 1406-48,35.2087696792,129.0704041,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번길93",1,,부산광역시 동래구 온천동 1402-6,35.2085372127,129.0702791808,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번길97",1,,부산광역시 동래구 온천동 1777-18,35.2085089988,129.0703679976,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번길101",1,,부산광역시 동래구 온천동 1404-3,35.2083151485,129.0707092,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로8번길113-4",1,,부산광역시 동래구 온천동 1404-2,35.2082502449,129.0706653122,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로10번길6-5",1,,부산광역시 동래구 온천동 784-5,35.21214954,129.072582,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로10번길6-7",1,,부산광역시 동래구 온천동 784-2,35.2121552658,129.0724335,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로10번길10",1,,부산광역시 동래구 온천동 784-3,35.2122179599,129.0726318,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로10번길16",1,,부산광역시 동래구 온천동 784-36,35.21205139,129.0726581774,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로13번길24(1)",1,,부산광역시 동래구 온천동 393-10,35.2135702841,129.0723355145,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로13번길24(2)",1,,부산광역시 동래구 온천동 390-2,35.2130071100,129.0715293002,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로15",1,,부산광역시 동래구 온천동 786-6,35.2127365034,129.0728514959,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로20번길93",1,,부산광역시 동래구 온천동 146-2,35.2230335077,129.0834320865,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로25번길6",1,,부산광역시 동래구 온천동 407-34,35.2133902952,129.0739416654,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로25번길13",1,,부산광역시 동래구 온천동 399-6,35.2136601151,129.0734674742,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로25번길19",1,,부산광역시 동래구 온천동 401-3,35.21387863,129.0735016,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로25번길26",1,,부산광역시 동래구 온천동 397-26,35.2141705240,129.0735571027,,,051-550-4671,부산광역시 동래구청,2022-05-31
"금강로25번길27",1,,부산광역시 동래구 온천동 403-16,35.21423721,129.0731427341,,,051-550-4671,부산광역시 동래구청,2022-05-31
