보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
가야1동-000,1,부산광역시 부산진구 가야대로679번길166,,,,2017,전용주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-001,1,부산광역시 부산진구 가야대로 677호 옆 골목,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-002,1,부산광역시 부산진구 가야대로 679번길 15호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-003,1,부산광역시 부산진구 가야대로 679번길 21호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-007,1,부산광역시 부산진구 가야대로679번길46옆건축물,,,,2019,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-009,1,부산광역시 부산진구 가야대로 679번길 55호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-010,1,부산광역시 부산진구 가야대로 679번길 57호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-011,1,부산광역시 부산진구 가야대로 673번길 51호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-012,1,부산광역시 부산진구 가야대로 673번길 45호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-013,1,부산광역시 부산진구 가야대로 673번길 41호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-021,1,부산광역시 부산진구 가야대로 673번길 8호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-022,1,부산광역시 부산진구 가야대로 679번길 37호 앞 축대,,,,2014,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-032,1,부산광역시 부산진구 가야대로 673번길 51-3호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-033,1,부산광역시 부산진구 가야대로 653-7호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-034,1,부산광역시 부산진구 가야대로 653-13호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-035,1,부산광역시 부산진구 가야대로 657-7호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-036,1,부산광역시 부산진구 가야대로 673번길 62호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-037,1,부산광역시 부산진구 가야대로 673번길 57호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-038,1,부산광역시 부산진구 가야대로 647-1호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-039,1,부산광역시 부산진구 가야대로 673번길 61호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-040,1,부산광역시 부산진구 가야대로 629호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-041,1,부산광역시 부산진구 가야대로 625호 뒤,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-042,1,부산광역시 부산진구 가야대로 679번길 121-1호,,,,2000,전용주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-043,1,부산광역시 부산진구 가야대로 679번길 125호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-044,1,부산광역시 부산진구 가야대로 668번길 6-1호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-045,1,부산광역시 부산진구 가야대로 664번길 8호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-046,1,부산광역시 부산진구 가야대로 664번길 12호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-047,1,부산광역시 부산진구 가야대로 664번길 18호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-048,1,부산광역시 부산진구 가야대로 668번길 18호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-049,1,부산광역시 부산진구 가야대로 668번길 18호 옆 가야제일교회 주차장,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-050,1,부산광역시 부산진구 가야대로 668번길 18호 옆 가야제일교회 주차장 앞,,,,2000,전용주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-051,1,부산광역시 부산진구 가야대로 656호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-052,1,부산광역시 부산진구 엄광로 305번길 16호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-053,1,부산광역시 부산진구 엄광로 305번길 12호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-054,1,부산광역시 부산진구 가야대로 614번길 82호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-055,1,부산광역시 부산진구 가야대로 614번길 76-1호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-056,1,부산광역시 부산진구 엄광로 305번길 5-1호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-057,1,부산광역시 부산진구 엄광로 305번길 3-1호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-058,1,부산광역시 부산진구 엄광로 305번길 4호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-059,1,부산광역시 부산진구 엄광로 305번길 7호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-060,1,부산광역시 부산진구 엄광로 305번길 14-4호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-061,1,부산광역시 부산진구 엄광로 309-7호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-062,1,부산광역시 부산진구 엄광로 313-3호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-063,1,부산광역시 부산진구 가야대로 664번길 24-8호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-064,1,부산광역시 부산진구 가야대로 664번길 24-6호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-065,1,부산광역시 부산진구 가야대로 664번길 26호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-066,1,부산광역시 부산진구 가야대로 664번길 22호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-067,1,부산광역시 부산진구 가야대로 664번길 29호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-068,1,부산광역시 부산진구 가야대로 664번길 31호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-069,1,부산광역시 부산진구 엄광로 317호 오른쪽 옆 가남초등학교,,,,2000,전용주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-070,1,부산광역시 부산진구 가야대로 668번길 45호 앞,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-071,1,부산광역시 부산진구 가야대로 668번길 42호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-072,1,부산광역시 부산진구 가야대로 668번길 38-5호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-073,1,부산광역시 부산진구 가야대로 664번길 31-6호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-074,1,부산광역시 부산진구 가야대로 668번길 34호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-075,1,부산광역시 부산진구 가야대로 668번길 16호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-076,1,부산광역시 부산진구 엄광로 318-7호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-077,1,부산광역시 부산진구 엄광로 312-5호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-078,1,부산광역시 부산진구 엄광로 312번길 8,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-079,1,부산광역시 부산진구 엄광로 312번길 6-3호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-080,1,부산광역시 부산진구 엄광로 306번길 11호,,,,2000,전용주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-081,1,부산광역시 부산진구 엄광로 312번길 13호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-082,1,부산광역시 부산진구 엄광로 312번길 23호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-083,1,부산광역시 부산진구 엄광로 312번길 25호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-084,1,부산광역시 부산진구 엄광로 306번길 6호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-085,1,부산광역시 부산진구 엄광로 304-6호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-086,1,부산광역시 부산진구 엄광로 303호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-087,1,부산광역시 부산진구 가야대로 614번길 62-10호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-088,1,부산광역시 부산진구 가야대로 614번길 66호,,,,2000,건축물,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-089,1,부산광역시 부산진구 가야대로 614번길 64호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
가야1동-090,1,부산광역시 부산진구 가야대로 614번길 58호,,,,2000,한전주,051-605-4671,부산광역시 부산진구,2022-05-30
