"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"덕포2동-201",1,,부산광역시 사상구 덕포2동 415-1,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-202",1,,부산광역시 사상구 덕포2동 419-8,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-203",1,,부산광역시 사상구 덕포2동 417-6장,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-204",1,,부산광역시 사상구 덕포2동 384-3장,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-205",1,,부산광역시 사상구 덕포2동 384-7대,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-206",1,,부산광역시 사상구 덕포2동 365-6장,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-207",1,,부산광역시 사상구 덕포2동 364-1,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-208",1,,부산광역시 사상구 덕포2동 389-3장,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-209",1,,부산광역시 사상구 덕포2동 417-16장,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-210",1,,부산광역시 사상구 덕포2동 417-23,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-211",1,,부산광역시 사상구 덕포2동 417-16장,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-212",1,,부산광역시 사상구 덕포2동 418-22,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-213",1,,부산광역시 사상구 덕포2동 424-1,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-214",1,,부산광역시 사상구 덕포2동 353-14,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-215",1,,부산광역시 사상구 덕포2동 254-4,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-216",1,,부산광역시 사상구 덕포2동 254-3대,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-217",1,,부산광역시 사상구 덕포2동 253-9대,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-218",1,,부산광역시 사상구 덕포2동 762,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-219",1,,부산광역시 사상구 덕포2동 364-19,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-220",1,,부산광역시 사상구 덕포2동 364-11,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-221",1,,부산광역시 사상구 덕포2동 356-1,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-222",1,,부산광역시 사상구 덕포2동 413-16대,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-223",1,,부산광역시 사상구 덕포2동 412-2대,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-224",1,,부산광역시 사상구 덕포2동 419-8대,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-225",1,,부산광역시 사상구 덕포2동 419-5,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-226",1,,부산광역시 사상구 덕포2동 416-26,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-227",1,,부산광역시 사상구 덕포2동 419-7장,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-228",1,,부산광역시 사상구 덕포2동 419-5대,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-229",1,,부산광역시 사상구 덕포2동 419-3대,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-230",1,,부산광역시 사상구 덕포2동 419-29,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
"덕포2동-231",1,,부산광역시 사상구 덕포2동 24-47,,,,,051-310-4675,부산광역시 사상구청,2022-12-20
