"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"감천동001",1,부산광역시 사하구 사하로125번길 8,부산광역시 사하구 감천동 830-17,35.092659,128.9926823907,2021,건축물,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동002",1,부산광역시 사하구 사하로125번길 6-3,부산광역시 사하구 감천동 830-7,35.0924904562,128.9924745488,2021,건축물,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동003",1,부산광역시 사하구 사하로125번길 6-1,부산광역시 사하구 감천동 830-15,35.0925572917,128.9926190415,2021,전용주,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동004",1,부산광역시 사하구 사하로 83,부산광역시 사하구 감천동 828,35.0894615716,128.9936916421,2021,한전주,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동005",1,부산광역시 사하구 사하로125번길 16-1,부산광역시 사하구 감천동 830-10,35.09220886,128.9926296851,2021,한전주,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동006",1,부산광역시 사하구 사하로125번길 20-1,부산광역시 사하구 감천동 830-4,35.0922713670,128.9924204260,2021,건축물,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동007",1,부산광역시 사하구 사하로125번길 20-2,부산광역시 사하구 감천동 830-19,35.0922895616,128.9922455483,2021,건축물,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동008",1,부산광역시 사하구 사하로125번길 24,부산광역시 사하구 감천동 828-41,35.0919838,128.9928938503,2021,건축물,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동009",1,부산광역시 사하구 사하로125번길 24-4,부산광역시 사하구 감천동 828-43,35.0919136949,128.9926995366,2021,건축물,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동010",1,부산광역시 사하구 사하로125번길 30,부산광역시 사하구 감천동 828-47,35.09173584,128.9930573,2021,건축물,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동011",1,,부산광역시 사하구 감천동 828-36,35.0917729739,128.9930887752,2021,전용주,051-220-4679,부산광역시 사하구청,2022-12-09
"감천동012",1,부산광역시 사하구 사하로125번길 32,부산광역시 사하구 감천동 828-52,35.09160233,128.9930641348,2021,건축물,051-220-4679,부산광역시 사하구청,2022-12-09
