"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"암남동",1,부산광역시 서구 감천로 287,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 고운들로 150,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 고운들로 196,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 고운들로 90,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 고운들로139번길 49-3,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신4동",1,부산광역시 서구 고운들로155번길 38-20,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신4동",1,부산광역시 서구 구덕령길 57,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로 120,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신1동",1,부산광역시 서구 구덕로 262,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로 275-24,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로 295,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로 299,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로 311,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로114번길 23,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로114번길 29,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로119번길 6,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로119번길 9,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로119번길 9-7,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로120번길 5,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로124번길 28-2,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로134번길 34-13,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"초장동",1,부산광역시 서구 구덕로143번길 19-4,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"초장동",1,부산광역시 서구 구덕로143번길 30,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로148번길 16,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로150번길 15-12,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로150번길 3-1,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"초장동",1,부산광역시 서구 구덕로151번길 31-11,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"초장동",1,부산광역시 서구 구덕로151번길 31-8,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"초장동",1,부산광역시 서구 구덕로157번길 11,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"초장동",1,부산광역시 서구 구덕로163번길 19,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"아미동",1,부산광역시 서구 구덕로165번길 16-8,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"아미동",1,부산광역시 서구 구덕로185번길 34-27,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"충무동",1,부산광역시 서구 구덕로186번길 34,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"부민동",1,부산광역시 서구 구덕로193번길 22-25,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"동대신3동",1,부산광역시 서구 구덕로193번길 22-6,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"부민동",1,부산광역시 서구 구덕로193번길 32-5,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"아미동",1,부산광역시 서구 구덕로193번길 34,,,,,전용주,051-240-4671,부산광역시 서구청,2022-09-16
"부민동",1,부산광역시 서구 구덕로199번길 39,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"부민동",1,부산광역시 서구 구덕로214번길 8,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"부민동",1,부산광역시 서구 구덕로222번길 13,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"부민동",1,부산광역시 서구 구덕로226번길 5,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"부민동",1,부산광역시 서구 구덕로244번길 13,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"부민동",1,부산광역시 서구 구덕로250번길 12,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신1동",1,부산광역시 서구 구덕로268번길 3,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신1동",1,부산광역시 서구 구덕로268번길 37,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신1동",1,부산광역시 서구 구덕로268번길 57-1,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로285번길 14,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로285번길 24-1,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"동대신1동",1,부산광역시 서구 구덕로286번길 43,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신1동",1,부산광역시 서구 구덕로286번길 48,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로295번길 12,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로295번길 17,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신2동",1,부산광역시 서구 구덕로295번길 18-1,,,,,전용주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로295번길 33-1,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로295번길 43-1,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로295번길 9,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로295번길 9-1,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신2동",1,부산광역시 서구 구덕로296번길 16,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신2동",1,부산광역시 서구 구덕로296번길 54,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신2동",1,부산광역시 서구 구덕로296번길 67-6,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신1동",1,부산광역시 서구 구덕로301번길 29-1,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로301번길 30,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로301번길 38,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로301번길 38-5,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로305번길 18,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로305번길 4,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로305번길 47,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로305번길 56-2,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로305번길 57,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로315번길 10-13,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로315번길 17-5,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로315번길 18,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로315번길 20,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로315번길 62-1,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로315번길 69,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로315번길 7,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신3동",1,부산광역시 서구 구덕로321번길 10,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신1동",1,부산광역시 서구 구덕로321번길 13,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신3동",1,부산광역시 서구 구덕로321번길 15,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신3동",1,부산광역시 서구 구덕로321번길 16-8,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"서대신3동",1,부산광역시 서구 구덕로321번길 63,,,,,한전주,051-240-4671,부산광역시 서구청,2022-09-16
"서대신3동",1,부산광역시 서구 구덕로321번길 70,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
"동대신3동",1,부산광역시 서구 구덕로322번길 13-15,,,,,건축물,051-240-4671,부산광역시 서구청,2022-09-16
