"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"광안1동",1,부산광역시 수영구 감포로 5-1,부산광역시 수영구 광안동 131-22,35.1590596,129.1205059,2016,건축물,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 4,부산광역시 수영구 민락동 161-9,35.1592258,129.1210507,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 18,부산광역시 수영구 민락동 161-6,35.1592647,129.1215290,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 20,부산광역시 수영구 민락동 161-31,35.1592650,129.1217677,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길24,부산광역시 수영구 민락동 161-1,35.1592844,129.1220727,2020,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 32,부산광역시 수영구 민락동 160-11,35.1604867,129.1237856,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 34,부산광역시 수영구 민락동 160-10,35.1593554,129.1225217,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 53-7,부산광역시 수영구 민락동 39-12,35.1597845,129.1234903,2016,건축물,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 53-8,부산광역시 수영구 민락동 39-6,35.1595119,129.1236176,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 53-10,부산광역시 수영구 민락동 39-9,35.1599772,129.1235501,2016,건축물,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 59-7,부산광역시 수영구 민락동 39-3,35.1598121,129.1238421,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 59-16,부산광역시 수영구 민락동 280-1,35.1600455,129.1238948,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길59-16(1),부산광역시 수영구 민락동 274-3,35.1601744,129.1238707,2020,건축물,051-610-4671,부산광역시 수영구청,2022-02-17
"민락동",1,부산광역시 수영구 감포로8번길 64,부산광역시 수영구 민락동 38-5,35.1594745,129.1239513,2016,한전주,051-610-4671,부산광역시 수영구청,2022-02-17
