"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"꿈나무길 25 영선1동 주민센터",1,부산광역시 영도구 꿈나무길 25,,35.090245,129.044729,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"선덤산길 20 전주",1,부산광역시 영도구 선덤산길 20,,35.084785,129.071252,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"선덤산길 6 전영주",1,부산광역시 영도구 선덤산길 6,,35.084850,129.072053,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"선덤산길 36-5 뒤편 계단",1,부산광역시 영도구 선덤산길 36-5,,35.084559,129.070218,,전용주,051-419-4671,부산광역시 영도구청,2022-06-03
"태종로750번길 13 측면 벽",1,부산광역시 영도구 태종로750번길 13,,35.069299,129.079360,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"동삼로 56 탑마트 입구 옆",1,부산광역시 영도구 동삼로 56,,35.078407,129.070796,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"웃서발로 89 전주",1,부산광역시 영도구 웃서발로 89,,35.078957,129.071801,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"동삼로74번길 10 전주",1,부산광역시 영도구 동삼로74번길 10,,35.080002,129.070871,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"웃서발로83번길 30 전주",1,부산광역시 영도구 웃서발로83번길 30,,35.080192,129.070742,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"동삼로81번길 23 오른쪽",1,부산광역시 영도구 동삼로81번길 23,,35.081579,129.069861,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"동삼로77번길 25",1,부산광역시 영도구 동삼로77번길 25,,35.080782,129.069248,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"웃서발로31번길 19앞",1,부산광역시 영도구 웃서발로31번길 19,,35.081345,129.067731,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"웃서발로 21-6",1,부산광역시 영도구 웃서발로 21-6,,35.081547,129.067317,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"벚꽃길5번길 9",1,부산광역시 영도구 벚꽃길5번길 9,,35.086364,129.058705,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"조내기로14번길 42 오른쪽",1,부산광역시 영도구 조내기로14번길 42,,35.086076,129.061816,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"벚꽃길1번길 13-16",1,부산광역시 영도구 벚꽃길1번길 13-16,,35.085533,129.058892,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"벚꽃길1번길 13-14",1,부산광역시 영도구 벚꽃길1번길 13-14,,35.085614,129.058959,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"벚꽃길1번길 6 앞",1,부산광역시 영도구 벚꽃길1번길 6,,35.086245,129.058923,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"벚꽃길 42 앞",1,부산광역시 영도구 벚꽃길 42,,35.086958,129.057825,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"와치로3번길 5 앞",1,부산광역시 영도구 와치로3번길 5,,35.090890,129.057634,,한전주,051-419-4671,부산광역시 영도구청,2022-06-03
"청학동로 25-9 뒤쪽 (청학동로27번길 9-6 앞)",1,부산광역시 영도구 청학동로 25-9,,35.090006,129.061823,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"청학북로 52",1,부산광역시 영도구 청학북로 52,,35.093199,129.061601,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"해양로 79-13",1,부산광역시 영도구 해양로 79-13,,35.096444,129.064440,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"해돋이3길 178",1,부산광역시 영도구 해돋이3길 178,,35.090091,129.056220,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"해돋이2길 21",1,부산광역시 영도구 해돋이2길 21,,35.090883,129.056373,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"봉래길 372 왼쪽",1,부산광역시 영도구 봉래길 372,,35.091114,129.056716,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"청학서로45번길 37-16 현관",1,부산광역시 영도구 청학서로45번길 37-16,,35.094539,129.055740,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"봉학새싹길 135 앞 계단",1,부산광역시 영도구 봉학새싹길 135,,35.094141,129.054803,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
"청학북서길 13-4",1,부산광역시 영도구 청학북서길 13-4,,35.096185,129.059282,,건축물,051-419-4671,부산광역시 영도구청,2022-06-03
