"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"부산광역시 중구 대청로53번길23 (광복교회건물뒤 공중전화부스)",1,부산광역시 중구 대청로53번길23 (광복교회건물뒤 공중전화부스),부산광역시 중구 보수동1가 91-3,35.10404935,129.0255071,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로53번길20 (맞은편 광복교회건물뒤)",1,부산광역시 중구 대청로53번길20 (맞은편 광복교회건물뒤),부산광역시 중구 보수동1가 104-8,35.10393024,129.0257322,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로42-2 (계산수석)",1,부산광역시 중구 대청로42-2 (계산수석),부산광역시 중구 부평동3가 78-5,35.10301282,129.0245471,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로40-1",1,부산광역시 중구 대청로40-1,부산광역시 중구 부평동3가 79-6,35.10287878,129.0242682,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로33-1 (세광석유)",1,부산광역시 중구 대청로33-1 (세광석유),부산광역시 중구 보수동3가 70-34,35.1033561,129.0236405,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로33-1 (세광석유 건물뒤)",1,부산광역시 중구 대청로33-1 (세광석유 건물뒤),부산광역시 중구 보수동3가 70-34,35.1033561,129.0236405,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로31 (씽크할인매장건물뒤)",1,부산광역시 중구 대청로31 (씽크할인매장건물뒤),부산광역시 중구 보수동3가 70-72,35.10337253,129.0232971,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로25번길 3-1",1,부산광역시 중구 대청로25번길 3-1,부산광역시 중구 보수동3가 73-6,35.10348995,129.0226659,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로22 (향원부평타워)",1,부산광역시 중구 대청로22 (향원부평타워),부산광역시 중구 부평동4가 45,35.10295131,129.0221858,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로156번길9",1,부산광역시 중구 대청로156번길9,부산광역시 중구 중앙동5가 32,35.10205097,129.0372076,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로155번길3 (순이밥집건물)",1,부산광역시 중구 대청로155번길3 (순이밥집건물),부산광역시 중구 중앙동5가 62,35.1032462,129.0368934,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로141번길7-1 (충무김밥청금건물)",1,부산광역시 중구 대청로141번길7-1 (충무김밥청금건물),부산광역시 중구 중앙동3가 13-7,35.10356302,129.0351712,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로141번길7 (분천청국장건물)",1,부산광역시 중구 대청로141번길7 (분천청국장건물),부산광역시 중구 중앙동3가 13-9,35.1034065,129.0351979,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대영로226번안길11",1,부산광역시 중구 대영로226번안길11,부산광역시 중구 영주동 640-30,35.11021853,129.0359553,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로141번길5 (정덕돼지고기앞)",1,부산광역시 중구 대청로141번길5 (정덕돼지고기앞),부산광역시 중구 중앙동3가 14-10,35.10324902,129.0351941,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로141번길15-1(성포횟집)",1,부산광역시 중구 대청로141번길15-1(성포횟집),부산광역시 중구 중앙동4가 37-7,35.1042442,129.0350819,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로141번길11 (혼마골프건물)",1,부산광역시 중구 대청로141번길11 (혼마골프건물),부산광역시 중구 중앙동3가 12-5,35.10380862,129.0351423,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로138번길3 (갤러리604건물뒤)",1,부산광역시 중구 대청로138번길3 (갤러리604건물뒤),부산광역시 중구 중앙동2가 49-7,35.10257162,129.0351773,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로138번길15-1 (신수대중사우나건물)",1,부산광역시 중구 대청로138번길15-1 (신수대중사우나건물),부산광역시 중구 중앙동2가 21-1,35.10143456,129.0352718,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로138번길14 (월드페이퍼앞)",1,부산광역시 중구 대청로138번길14 (월드페이퍼앞),부산광역시 중구 중앙동2가 53,35.10174289,129.0349418,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로138번길13-2 (감나무집건물)",1,부산광역시 중구 대청로138번길13-2 (감나무집건물),부산광역시 중구 중앙동2가 22-4,35.10160847,129.0352191,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로138번길12 (큰집생선구이)",1,부산광역시 중구 대청로138번길12 (큰집생선구이),부산광역시 중구 중앙동2가 52-1,35.10185327,129.0350235,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로138번길10 (한국산업은행옆/구두수선)",1,부산광역시 중구 대청로138번길10 (한국산업은행옆구두수선),부산광역시 중구 중앙동2가 49-18,35.10202725,129.0349664,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로137번길8-3 (미진각앞)",1,부산광역시 중구 대청로137번길8-3 (미진각앞),부산광역시 중구 중앙동3가 13-8,35.10357206,129.0350618,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로137번길10 (대궁삼계탕건물)",1,부산광역시 중구 대청로137번길10 (대궁삼계탕건물),부산광역시 중구 중앙동3가 13-15,35.10365501,129.0350595,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로136 (한국산업은행후문앞)",1,부산광역시 중구 대청로136 (한국산업은행후문앞),부산광역시 중구 중앙동2가 44-1,35.10253766,129.0348387,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로136 (한국산업은행주차장입구)",1,부산광역시 중구 대청로136 (한국산업은행주차장입구),부산광역시 중구 중앙동2가 44-1,35.10253882,129.0348391,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로136 (한국산업은행옆/박진성한의원)",1,부산광역시 중구 대청로136 (한국산업은행옆박진성한의원),부산광역시 중구 중앙동2가 44-1,35.10253882,129.0348391,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로136 (한국산업은행옆)",1,부산광역시 중구 대청로136 (한국산업은행옆),부산광역시 중구 중앙동2가 44-1,35.10253766,129.0348387,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로135번길8 (신우정판건물)",1,부산광역시 중구 대청로135번길8 (신우정판건물),부산광역시 중구 중앙동3가 18-4,35.1034061,129.0348296,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로135번길36 (중앙동 공영주차장앞)",1,부산광역시 중구 대청로135번길36 (중앙동 공영주차장앞),부산광역시 중구 중앙동4가 52-3,35.10590119,129.0352469,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로135번길20 (고심정사앞)",1,부산광역시 중구 대청로135번길20 (고심정사앞),부산광역시 중구 중앙동4가 37-12,35.10448169,129.0349879,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로134번길22 (효원빌딩앞)",1,부산광역시 중구 대청로134번길22 (효원빌딩앞),부산광역시 중구 동광동2가 2-1,35.10081834,129.0350575,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로134번길16 (하동집옆)",1,부산광역시 중구 대청로134번길16 (하동집옆),부산광역시 중구 동광동3가 15-1,35.1014278,129.0348155,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로134번길 18",1,부산광역시 중구 대청로134번길 18,부산광역시 중구 동광동3가 15-2,35.1013563,129.0348408,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로131번길6-1 (김화남드럼)",1,부산광역시 중구 대청로131번길6-1 (김화남드럼),부산광역시 중구 동광동4가 9-1,35.10327382,129.0343614,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로131번길12-1 (카페별나다)",1,부산광역시 중구 대청로131번길12-1 (카페별나다),부산광역시 중구 동광동4가 12-3,35.10376959,129.0344614,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로131번길10 (까치원색옆)",1,부산광역시 중구 대청로131번길10 (까치원색옆),부산광역시 중구 동광동4가 12-7,35.10368146,129.0344355,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로131-1 (럭키프린텍옆)",1,부산광역시 중구 대청로131-1 (럭키프린텍옆),부산광역시 중구 동광동4가 3-2,35.1029785,129.0343452,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로126번길4 (고려당표구사옆)",1,부산광역시 중구 대청로126번길4 (고려당표구사옆),부산광역시 중구 대청동1가 39-1,35.10258959,129.0336776,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
"부산광역시 중구 대청로126번길35 (연구실혹은)",1,부산광역시 중구 대청로126번길35 (연구실혹은),부산광역시 중구 동광동2가 11-32,35.0997899,129.0344678,2020,건축물,051-600-4696,부산광역시 중구청,2023-01-03
