"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"한전주",1,,부산광역시 해운대구 석대동 산 161,35.2222527576,129.1216507142,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,,부산광역시 해운대구 석대동 산 161,35.2222527576,129.1216507142,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로525번길 93,,35.2215555701,129.1218641908,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로525번길 93,,35.2215555701,129.1218872,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,,부산광역시 해운대구 석대동 600,35.2213305288,129.1219337196,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로525번길 111,,35.2222021637,129.1220889092,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 선수촌로 295,,35.21751404,129.1243208926,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"통신주",1,,부산광역시 해운대구 석대동 499,35.21895981,129.1242989819,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"벽부주",1,부산광역시 해운대구 반송로 565-18,,35.2196000822,129.1245046549,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로571번길 9,,35.2195042501,129.1252289,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로571번길 11,,35.21952057,129.1254272,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로 577,,35.21946335,129.1257019,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로 681-5,,35.2197074742,129.1258087,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로 581-7,,35.2199047613,129.1258026740,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로 581-9,,35.2200808812,129.1259308,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"전용주(강관)",1,부산광역시 해운대구 반송로 581-22,,35.22023773,129.1262817,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"통신주",1,부산광역시 해운대구 반송로616번길 5,,35.2196527666,129.1298327886,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"벽부주",1,부산광역시 해운대구 반송로616번길 8-6,,35.21963882,129.1294708,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"벽부주",1,부산광역시 해운대구 반송로616번길 11,,35.2194930239,129.1298828,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로 622,,35.21974945,129.1302230069,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로616번길 11,,35.2194252,129.1298823115,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로616번길 12,,35.2193050851,129.1297776906,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"전용주(철주)",1,부산광역시 해운대구 반송로616번길 22-13,,35.21925354,129.1304932,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"통신주",1,부산광역시 해운대구 반송로616번길 22-13,,35.2192955,129.1304669579,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"벽부주",1,부산광역시 해운대구 반송로 630,,35.2195980582,129.1311947825,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로 617,,35.2202254574,129.1299598755,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로607번길 15,,35.2206837014,129.1292934266,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,,부산광역시 해운대구 석대동 233,35.2203900387,129.1294113024,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로607번길 7,,35.2204361,129.1289368,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,부산광역시 해운대구 반송로607번길 15,,35.22063828,129.1292934266,,,051-749-4686,부산광역시 해운대구청,2022-06-02
"한전주",1,,부산광역시 해운대구 석대동 248,35.2209096735,129.1287896055,,,051-749-4686,부산광역시 해운대구청,2022-06-02
