"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강남대로1-1",1,,서울특별시 서초구 양재동 352-16,37.46632718,127.042744,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-2",1,,서울특별시 서초구 양재동 352-16,37.46634293,127.042717,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-3",1,,서울특별시 서초구 양재동 352-16,37.46632718,127.042744,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-4",1,,서울특별시 서초구 양재동 351-12,37.46712933,127.0418688,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-5",1,,서울특별시 서초구 양재동 351-12,37.46712933,127.0418688,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-6",1,,서울특별시 서초구 양재동 351-12,37.46719742,127.0418688,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-7",1,,서울특별시 서초구 양재동 351-12,37.46712933,127.0418688,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-8",1,,서울특별시 서초구 양재동 327-21,37.46820746,127.0407100426,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-9",1,,서울특별시 서초구 양재동 327-21,37.46820746,127.0407100426,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-10",1,,서울특별시 서초구 양재동 327-21,37.46820746,127.0407100426,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로1-11",1,,서울특별시 서초구 양재동 327-21,37.46820746,127.0407100426,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-1",1,,서울특별시 서초구 양재동 316-10,37.46986596,127.0394492,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-2",1,,서울특별시 서초구 양재동 316-10,37.46986596,127.0394492,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-3",1,,서울특별시 서초구 양재동 316-11,37.47011082,127.0392738,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-4",1,,서울특별시 서초구 양재동 316-11,37.47011082,127.0392738,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-5",1,,서울특별시 서초구 양재동 316-11,37.47011082,127.0392151,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-6",1,,서울특별시 서초구 양재동 241-11,37.47280323,127.0389557,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-7",1,,서울특별시 서초구 양재동 241-11,37.47280323,127.0389557,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-8",1,,서울특별시 서초구 양재동 241-11,37.47280323,127.0389633,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2-9",1,,서울특별시 서초구 양재동 241-11,37.47280323,127.0389481,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 3",1,,서울특별시 서초구 양재동 353-5,37.4667244,127.0428619,2007,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 7",1,,서울특별시 서초구 양재동 353-3,37.46662443,127.0430923,2007,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 12",1,,서울특별시 서초구 양재동 352-3,37.46628521,127.0430627,2021,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 16",1,,서울특별시 서초구 양재동 352-5,37.46652644,127.0434875,2021,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 26",1,,서울특별시 서초구 양재동 352-8,37.46683121,127.0438404,2021,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 38",1,,서울특별시 서초구 양재동 352-11,37.46710587,127.0442744,2021,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 42",1,,서울특별시 서초구 양재동 352-12,37.46722905,127.044426,2021,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 56",1,,서울특별시 서초구 양재동 362-1,37.46769283,127.0450745,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 59",1,,서울특별시 서초구 양재동 359-7,37.46793365,127.0450506,2021,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 66",1,,서울특별시 서초구 양재동 362-4,37.46796799,127.0454575,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 72",1,,서울특별시 서초구 양재동 362-6,37.46817398,127.0457499,2007,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 76",1,,서울특별시 서초구 양재동 362-7,37.46829069,127.0458963,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 92",1,,서울특별시 서초구 양재동 363-2,37.46873856,127.0465213,2007,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 95",1,,서울특별시 서초구 양재동 349-17,37.46924156,127.0458758,2021,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 104",1,,서울특별시 서초구 양재동 363-5,37.46906281,127.0469126,2012,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 104 (1)",1,,서울특별시 서초구 양재동 363-5,37.46909814,127.0469742,2007,한전주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로2길 104 (2)",1,,서울특별시 서초구 양재동 349-13,37.4695873,127.0465737,2021,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-1",1,,서울특별시 서초구 양재동 105-1,37.47588954,127.0353727,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-2",1,,서울특별시 서초구 양재동 109-3,37.47745132,127.0383148,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-3",1,,서울특별시 서초구 양재동 125-10,37.47652939,127.0383148,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-4",1,,서울특별시 서초구 양재동 125-10,37.47652939,127.0383301,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-5",1,,서울특별시 서초구 양재동 125-10,37.47652939,127.0383301,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-6",1,,서울특별시 서초구 양재동 125-10,37.47652939,127.0383148,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-7",1,,서울특별시 서초구 양재동 125-10,37.47652939,127.0383224,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-8",1,,서울특별시 서초구 양재동 125-10,37.47652939,127.0383224,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
"강남대로3-9",1,,서울특별시 서초구 양재동 125-10,37.47652939,127.0383186,2001,전용주,02-2155-6958,서울특별시 서초구청,2022-11-30
