"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
01-001,1,,서울특별시 양천구 목1동 405-293,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-002,1,,서울특별시 양천구 목1동 404-108,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-004,1,,서울특별시 양천구 목1동 404-28,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-005,1,,서울특별시 양천구 목1동 404-63,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-006,1,,서울특별시 양천구 목1동 404-66,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-007,1,,서울특별시 양천구 목1동 406-125,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-008,1,,서울특별시 양천구 목1동 406-223,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-009,1,,서울특별시 양천구 목1동 404-160,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-010,1,,서울특별시 양천구 목1동 404-160,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-011,1,,서울특별시 양천구 목1동 936 진도아파트 입구,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-012,1,,서울특별시 양천구 목1동 404-78건너,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-013,1,,서울특별시 양천구 목1동 404-81건너,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-014,1,,서울특별시 양천구 목1동 404-83건너(신목길53-1),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-015,1,,서울특별시 양천구 목1동 404-84건너,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-017,1,,서울특별시 양천구 목1동 404-81건너,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-018,1,,서울특별시 양천구 목1동 404-94,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-019,1,,서울특별시 양천구 목1동 404-60(신목길71),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-020,1,,서울특별시 양천구 목1동 408-58,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-021,1,,서울특별시 양천구 목1동 404-130,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-022,1,,서울특별시 양천구 목1동 404-127,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-023,1,,서울특별시 양천구 목1동 404-119,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-024,1,,서울특별시 양천구 목1동 404-137 주차장,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-025,1,,서울특별시 양천구 목1동 404-134(신목길45-9),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-026,1,,서울특별시 양천구 목1동 408-219,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-033,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-034,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-035,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-036,2,,서울특별시 양천구 목1동 947월드메르디앙@ 앞,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-037,1,,서울특별시 양천구 목1동 404-83,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-038,1,,서울특별시 양천구 목1동 405-290,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-041,1,,서울특별시 양천구 목1동 406-25건너,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-042,1,,서울특별시 양천구 목1동 406-203,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-043,1,,서울특별시 양천구 목1동 406-271(목동동로24-4),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-045,1,,서울특별시 양천구 목1동 406-35,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-046,1,,서울특별시 양천구 목1동 406-296,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-047,1,,서울특별시 양천구 목1동 406-180,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-048,2,,서울특별시 양천구 목1동 406-36(오목로40-4),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-049,1,,서울특별시 양천구 목1동 932 목동현대@1차입구,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-050,1,,서울특별시 양천구 목1동 406-70건너,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-051,1,,서울특별시 양천구 목1동 406-69건너,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-052,1,,서울특별시 양천구 목1동 406-66건너,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-054,1,,서울특별시 양천구 목1동 406-112,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-055,1,,서울특별시 양천구 목1동 406-114(목동동로192-4),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-057,1,,서울특별시 양천구 목1동 406-107,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-060,1,,서울특별시 양천구 목1동 810-1옆공원,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-061,1,,서울특별시 양천구 목1동 932목동현대APT1차입구,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-062,1,,서울특별시 양천구 목1동 405-254,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-071,1,,서울특별시 양천구 목1동 404-156(천호지길23),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-072,1,,서울특별시 양천구 목1동 404-156(천호지길23),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-073,1,,서울특별시 양천구 목1동 404-156(천호지길23),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-074,1,,서울특별시 양천구 목1동 405-86,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-075,1,,서울특별시 양천구 목1동 405-102(신목길35-13),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-076,1,,서울특별시 양천구 목1동 405-106 앞,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-078,1,,서울특별시 양천구 목1동 405-253,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-079,1,,서울특별시 양천구 목1동 405대림APT앞,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-080,1,,서울특별시 양천구 목1동 405대림APT옆길,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-081,1,,서울특별시 양천구 목1동 405대림APT옆길,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-082,1,,서울특별시 양천구 목1동 405대림APT옆길,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-083,1,,서울특별시 양천구 목1동 405대림APT옆길,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-084,1,,서울특별시 양천구 목1동 405-241,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-085,1,,서울특별시 양천구 목1동 408-76,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-086,1,,서울특별시 양천구 목1동 405-249,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-087,1,,서울특별시 양천구 목1동 405-238,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-088,1,,서울특별시 양천구 목1동 405-240,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-089,1,,서울특별시 양천구 목1동 927-4,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-090,1,,서울특별시 양천구 목1동 405-284뒤,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-091,1,,서울특별시 양천구 목1동 405-360,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-092,1,,서울특별시 양천구 목1동 405-179(신목1길),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-093,1,,서울특별시 양천구 목1동 405-70(신목2길19),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-094,1,,서울특별시 양천구 목1동 405-334(신목1길16),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-095,1,,서울특별시 양천구 목1동 405-472,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-096,1,,서울특별시 양천구 목1동 405-54,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-097,1,,서울특별시 양천구 목1동 405-72,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-098,1,,서울특별시 양천구 목1동 405-176,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-099,1,,서울특별시 양천구 목1동 405-45(신목길21-3),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-100,1,,서울특별시 양천구 목1동 405-57,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-101,1,,서울특별시 양천구 목1동 405-328,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-102,2,,서울특별시 양천구 목1동 405-340,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-103,1,,서울특별시 양천구 목1동 405-239,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-104,1,,서울특별시 양천구 목1동 405-33,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-105,1,,서울특별시 양천구 목1동 405-478,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-106,1,,서울특별시 양천구 목1동 405-327,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-107,1,,서울특별시 양천구 목1동 405-292,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-109,1,,서울특별시 양천구 목1동 405-165,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-110,1,,서울특별시 양천구 목1동 405-938 꿈나래유치원앞,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-111,1,,서울특별시 양천구 목1동 405-463 꿈나래유치원앞,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-112,1,,서울특별시 양천구 목1동 405-207(목동동로176-1),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-113,1,,서울특별시 양천구 목1동 405-208,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-114,1,,서울특별시 양천구 목1동 405-207(405-314맞은편),,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
01-115,1,,서울특별시 양천구 목1동 405-168,,,,,02-2620-3625,서울특별시 양천구청,2022-11-30
