"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"면목동 294-19 동부시장",20,,서울특별시 중랑구 면목동 294-19 동부시장,,,,전용주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우동 182-34",1,,서울특별시 중랑구 망우동 182-34,,,,전용주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 101",1,,서울특별시 중랑구 망우본동 101,,,,한전주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 110",1,,서울특별시 중랑구 망우본동 110,,,,전용주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 110-4",1,,서울특별시 중랑구 망우본동 110-4,,,,전용주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 122-1",1,,서울특별시 중랑구 망우본동 122-1,,,,한전주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 122-1",1,,서울특별시 중랑구 망우본동 122-1,,,,전용주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 126-85",1,,서울특별시 중랑구 망우본동 126-85,,,,한전주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 126-9",1,,서울특별시 중랑구 망우본동 126-9,,,,한전주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 126-92",1,,서울특별시 중랑구 망우본동 126-92,,,,한전주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 127-18",1,,서울특별시 중랑구 망우본동 127-18,,,,전용주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 127-23",1,,서울특별시 중랑구 망우본동 127-23,,,,한전주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 127-24",1,,서울특별시 중랑구 망우본동 127-24,,,,한전주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 127-26",1,,서울특별시 중랑구 망우본동 127-26,,,,전용주,02-2094-2735,서울특별시 중랑구청,2023-02-15
"망우본동 127-27",1,,서울특별시 중랑구 망우본동 127-27,,,,한전주,02-2094-2735,서울특별시 중랑구청,2023-02-15
