"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"금남면 감성리 64-2",1,,세종특별자치시 금남면 감성리 64-2,36.4432455,127.2876902,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 267",1,,세종특별자치시 금남면 감성리 267,36.44205972,127.2906597,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 40-1",1,,세종특별자치시 금남면 감성리 40-1,36.44419954,127.289261,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 26",1,,세종특별자치시 금남면 감성리 26,36.444455,127.2901824,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 41-3",1,,세종특별자치시 금남면 감성리 41-3,36.44374109,127.2894631,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 11",1,,세종특별자치시 금남면 감성리 11,36.44216674,127.290963,,,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 10-1",1,,세종특별자치시 금남면 감성리 10-1,36.44241784,127.2911598,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 5-2",1,,세종특별자치시 금남면 감성리 5-2,36.44300202,127.2916945,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 152-16",1,,세종특별자치시 금남면 감성리 152-16,36.4417708,127.290956,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 152-5",1,,세종특별자치시 금남면 감성리 152-5,36.44165227,127.2915431,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 158-1",1,,세종특별자치시 금남면 감성리 158-1,36.44148004,127.2917519,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 163",1,,세종특별자치시 금남면 감성리 163,36.441877,127.292171,,,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 169-1",1,,세종특별자치시 금남면 감성리 169-1,36.44091645,127.2925464,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 187-2",1,,세종특별자치시 금남면 감성리 187-2,36.44031763,127.2926289,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 193",1,,세종특별자치시 금남면 감성리 193,36.43975672,127.292222,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 183",1,,세종특별자치시 금남면 감성리 183,36.43981333,127.293717,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 181-2",1,,세종특별자치시 금남면 감성리 181-2,36.43982817,127.294213,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 198-3",1,,세종특별자치시 금남면 감성리 198-3,36.43892522,127.2938235,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 142",1,,세종특별자치시 금남면 감성리 142,36.43946327,127.289797,,,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 141-4",1,,세종특별자치시 금남면 감성리 141-4,36.43955992,127.2888119,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 122-2",1,,세종특별자치시 금남면 감성리 122-2,36.43974139,127.2888409,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 125-1",1,,세종특별자치시 금남면 감성리 125-1,36.44023714,127.2884087,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 119-2",1,,세종특별자치시 금남면 감성리 119-2,36.44061146,127.2892238,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 117-2",1,,세종특별자치시 금남면 감성리 117-2,36.4407603,127.2895625,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 108-2",1,,세종특별자치시 금남면 감성리 108-2,36.44030669,127.288049,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 126-2",1,,세종특별자치시 금남면 감성리 126-2,36.44010968,127.288011,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 268-4",1,,세종특별자치시 금남면 감성리 268-4,36.44009714,127.287599,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 99-4",1,,세종특별자치시 금남면 감성리 99-4,36.44045225,127.287126,,전용주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 131-4",1,,세종특별자치시 금남면 감성리 131-4,36.43862492,127.2876252,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 129-1",1,,세종특별자치시 금남면 감성리 129-1,36.43952358,127.2871243,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 272-7",1,,세종특별자치시 금남면 감성리 272-7,36.43730444,127.2873032,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 272-6",1,,세종특별자치시 금남면 감성리 272-6,36.43518001,127.2883564,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 260-8",1,,세종특별자치시 금남면 감성리 260-8,36.43515792,127.288407,,전용주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 262-1",1,,세종특별자치시 금남면 감성리 262-1,36.43511323,127.2913397,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 감성리 260-3",1,,세종특별자치시 금남면 감성리 260-3,36.43554947,127.2873184,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 84",1,,세종특별자치시 금남면 국곡리 84,36.42943618,127.2717824,,전용주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 81-9",1,,세종특별자치시 금남면 국곡리 81-9,36.430539,127.2715351,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 81-3",1,,세종특별자치시 금남면 국곡리 81-3,36.43101899,127.2711928,,전용주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 81-1",1,,세종특별자치시 금남면 국곡리 81-1,36.4314377479,127.2714780913,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 74-2",1,,세종특별자치시 금남면 국곡리 74-2,36.432184,127.271134,,전용주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 64-1",1,,세종특별자치시 금남면 국곡리 64-1,36.43195752,127.2725967,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 266-1",1,,세종특별자치시 금남면 국곡리 266-1,36.43135671,127.2730678,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 266-33",1,,세종특별자치시 금남면 국곡리 266-33,36.4347053827,127.2749615867,,전용주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 271",1,,세종특별자치시 금남면 국곡리 271,36.42875626,127.2694391,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 270",1,,세종특별자치시 금남면 국곡리 270,36.43631883,127.2685321,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 60-2",1,,세종특별자치시 금남면 국곡리 60-2,36.43597455,127.273942,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 57-1",1,,세종특별자치시 금남면 국곡리 57-1,36.437059,127.272294,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 275",1,,세종특별자치시 금남면 국곡리 275,36.4380117359,127.2724434,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 34",1,,세종특별자치시 금남면 국곡리 34,36.43794854,127.2726404,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 55-1",1,,세종특별자치시 금남면 국곡리 55-1,36.4294748,127.2690936,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 123",1,,세종특별자치시 금남면 국곡리 123,36.42645116,127.2758918,,한전주,044-301-3733,세종특별자치시청,2023-01-27
"금남면 국곡리 100-2",1,,세종특별자치시 금남면 국곡리 100-2,36.42869425,127.2703211,,한전주,044-301-3733,세종특별자치시청,2023-01-27
