"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"달동1",1,울산광역시 남구 달동 삼산로67번길 5,울산광역시 남구 달동 886-10,35.53479087,129.3147122,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"옥동1",1,울산광역시 남구 옥동 법대로14번길 6,울산광역시 남구 옥동 285-8,35.53719394,129.2841646,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"대현동1",1,울산광역시 남구 야음동 대암로 125,울산광역시 남구 야음동 593,35.52984781,129.329032,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"무거동1",1,울산광역시 남구 무거동 대학로1번길 13,울산광역시 남구 무거동 1003-8,35.53689444,129.252501,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"삼산동1",1,울산광역시 남구 삼산동 삼신로6번길 3,울산광역시 남구 삼산동 1377-102,35.54875704,129.324073,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"삼호동1",1,울산광역시 남구 무거동 어은로8번길2,울산광역시 남구 무거동 1187-1,35.54980309,129.2736083,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"선암동1",1,울산광역시 남구 선암동 두왕로174번길 25,울산광역시 남구 선암동 619-17,35.51868651,129.3136702,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"수암동1",1,울산광역시 남구 야음동 신선로84번길 11,울산광역시 남구 야음동 755-10,35.52095494,129.3220077,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"야음장생포동1",1,울산광역시 남구 야음동 수암로274번길 2-1,울산광역시 남구 야음동 388-21,35.52190833,129.3344399,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"달동10",1,울산광역시 남구 달동 삼산로67번길 32,울산광역시 남구 달동 876-8,35.53719656,129.3141379,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"옥동10",1,울산광역시 남구 옥동 법대로8번길 16,울산광역시 남구 옥동 287-5,35.53634912,129.2851713,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"대현동10",1,울산광역시 남구 야음동 대암로 119,울산광역시 남구 야음동 593-15,35.52970761,129.3285514,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"무거동10",1,울산광역시 남구 무거동 대학로1번길 3-35,울산광역시 남구 무거동 1005-55,35.53541641,129.2514857,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"삼산동10",1,울산광역시 남구 삼산동 월평로187번길 17,울산광역시 남구 삼산동 1497-4,35.54703056,129.324665,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"삼호동10",1,울산광역시 남구 무거동 삼호로103번길4,울산광역시 남구 무거동 1212-8,35.54901488,129.2758911,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"선암동10",1,울산광역시 남구 선암동 두왕로190번길 6,울산광역시 남구 선암동 679-2,35.51958274,129.3124378,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"수암동10",1,울산광역시 남구 야음동 신선로84번길 4,울산광역시 남구 야음동 753-6,35.52138302,129.3216063,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"야음장생포동10",1,울산광역시 남구 야음동 신선로184번길 49,울산광역시 남구 야음동 368-12,35.52021667,129.3372163,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"달동100",1,울산광역시 남구 달동 돋질로102번길 15,울산광역시 남구 달동 641-4,35.53774336,129.3175552,,한전주,052-226-5815,울산광역시남구청,2022-03-31
"옥동100",1,울산광역시 남구 옥동 대공원입구로21번길 18,울산광역시 남구 옥동 249-4,35.53433102,129.2924114,,한전주,052-226-5815,울산광역시남구청,2022-03-31
