"º¸¾ÈµîÀ§Ä¡¸í",¼³Ä¡°³¼ö,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,¼ÒÀçÁöÁö¹øÁÖ¼Ò,À§µµ,°æµµ,¼³Ä¡¿¬µµ,¼³Ä¡ÇüÅÂ,°ü¸®±â°üÀüÈ­¹øÈ£,°ü¸®±â°ü¸í,µ¥ÀÌÅÍ±âÁØÀÏÀÚ
"°­µ¿µ¿1",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 7,35.6506139102,129.4491564917,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿2",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 8,35.6507624284,129.448804,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿3",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 14,35.6502897111,129.448879,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿4",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 16,35.650017,129.4486905373,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿5",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 17,35.6497674654,129.4484225938,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿6",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 26,35.6484774691,129.4481546,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿7",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 22,35.649302,129.448192,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿8",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 30,35.6479202879,129.4478142996,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿9",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 35,35.6474508652,129.4468666019,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿10",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 39,35.647027,129.446679,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿11",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 42,35.646913,129.4465164764,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
"°­µ¿µ¿12",1,,¿ï»ê±¤¿ª½Ã ºÏ±¸ ½Å¸íµ¿ 46,35.6465717424,129.446014,,,052-241-7862,¿ï»ê±¤¿ª½Ã ºÏ±¸Ã»,2022-07-05
