"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"충효정",1,,울산광역시 울주군 두동면 구미리 110,35.6766678,129.2181176,2009,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"문화촌입구버스정류소",1,,울산광역시 울주군 두동면 구미리 135-6,35.6706197,129.2278074,2020,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로384-2 부근",1,,울산광역시 울주군 두동면 구미리 40-2,35.6702476,129.2306796,2010,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로384-2",1,,울산광역시 울주군 두동면 구미리 40-8,35.6694698,129.2303512,2008,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로380-1",1,,울산광역시 울주군 두동면 구미리 40-26,35.6691022,129.2305223,2007,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로380-1",1,,울산광역시 울주군 두동면 구미리 40-27,35.6692207,129.2309336,2008,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로380-1 위",1,,울산광역시 울주군 두동면 구미리 40-29,35.6693152,129.2312616,2008,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로380-1 위",1,,울산광역시 울주군 두동면 구미리 40-31,35.6694462,129.2316787,2008,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로350 반석미술관입구건너편",1,,울산광역시 울주군 두동면 구미리 3-4,35.6667499,129.2319187,2007,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로350-5",1,,울산광역시 울주군 두동면 구미리 2-1,35.6667807,129.2322873,2007,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로350-5 위",1,,울산광역시 울주군 두동면 구미리 1,35.6667911,129.2326267,2007,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로350-5 위",1,,울산광역시 울주군 두동면 구미리 1-1,35.6668046,129.2329418,2010,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로345-1 반석미술관입구",1,,울산광역시 울주군 두동면 구미리 4-1,35.6665195,129.2316431,2004,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로345-2 반석미술관입구",1,,울산광역시 울주군 두동면 구미리 4-4,35.6663384,129.2313829,2008,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"반석미술관 내",1,,울산광역시 울주군 두동면 구미리 4-10,35.6662574,129.2311900,2005,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로345-5 반석미술관내",1,,울산광역시 울주군 두동면 구미리 4-8,35.6666958,129.2309785,2007,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"반석미술관내",1,,울산광역시 울주군 두동면 구미리 4-18,35.6662219,129.2300845,2006,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"반석미술관내",1,,울산광역시 울주군 두동면 구미리 4-18,35.6663274,129.2296449,2009,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
"박제상로315-4 입구",1,,울산광역시 울주군 두동면 구미리 284-20,35.6636973,129.2315247,2018,,052-262-7511,울산광역시 울주군 두동면행정복지센터,2022-08-24
