"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"다운동 1[15-04]",1,울산광역시 중구 명정4길 23,,35.55351227,129.2925607,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 2[15-06]",1,울산광역시 중구 명정2길 11-2,,35.55422821,129.2923258,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 3[15-05]",1,울산광역시 중구 명정2길 11-8,,35.55382889,129.2921482,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 4[15-03]",1,울산광역시 중구 명정4길 21,,35.55354985,129.2923843,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 5[15-02]",1,울산광역시 중구 명정4길 16,,35.55350668,129.2917355,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 6[15-01]",1,울산광역시 중구 명정3길 10,,35.55402936,129.2919929,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 7[15-08]",1,울산광역시 중구 명정3길 10-1,,35.55418064,129.2919832,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 8[15-07]",1,울산광역시 중구 명정3길 10-1,,35.55415344,129.2919832,2017,전용주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 9[15-15]",1,울산광역시 중구 명정4길 11,,35.55366655,129.2912937,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 10[15-13]",1,울산광역시 중구 명정3길 7-8,,35.55385629,129.2912567,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 11[15-14]",1,울산광역시 중구 명정3길 7-1,,35.55383314,129.2917356,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 12[15-09]",1,울산광역시 중구 명정3길 18,,35.55423568,129.2910558,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 13[15-10]",1,울산광역시 중구 명정3길 20,,35.55424571,129.2909135,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 14[15-11]",1,울산광역시 중구 명정3길 21,,35.55403504,129.2907607,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 15[15-12]",1,울산광역시 중구 명정3길 7-12,,35.55393505,129.2909629,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 16[15-16]",1,울산광역시 중구 명정5길 8-17,,35.55371648,129.2900606,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 17[15-17]",1,울산광역시 중구 명정5길 8-18,,35.55357091,129.2899464,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 18[15-18]",1,울산광역시 중구 명정5길 8-13,,35.55390565,129.289978,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 19[15-19]",1,울산광역시 중구 명정5길 8-3,,35.55393754,129.289302,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 20[16-30]",1,울산광역시 중구 명정5길 6,,35.55366669,129.2890814,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 21[16-29]",1,울산광역시 중구 명정5길 1,,35.55361469,129.2886651,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 22[14-49]",1,울산광역시 중구 오산7길 25-4,,35.55119583,129.2903423,2021,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 23[16-33]",1,울산광역시 중구 명정5길 17,,35.55439542,129.2885999,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 24[16-32]",1,울산광역시 중구 명정5길 13,,35.55409246,129.2886064,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 25[16-31]",1,울산광역시 중구 명정5길 10,,35.55392387,129.2888011,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 26[16-27]",1,울산광역시 중구 명정6길 11,,35.55354207,129.2878386,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 27[16-26]",1,울산광역시 중구 명정7길 8,,35.55385548,129.2880545,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 28[16-25]",1,울산광역시 중구 명정7길 14,,35.55424341,129.2880389,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 29[16-02]",1,울산광역시 중구 명정7길 25,,35.55475918,129.2876857,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 30[16-03]",1,울산광역시 중구 명정7길 34,,35.55521717,129.2873225,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 31[16-04]",1,울산광역시 중구 명정7길 38,,35.55533989,129.2870283,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 32[16-06]",1,울산광역시 중구 명정11길 30,,35.55553434,129.2867279,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 33[16-05]",1,울산광역시 중구 명정11길 32,,35.55567354,129.2867448,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 34[16-07]",1,울산광역시 중구 명정11길 22,,35.55508436,129.2865529,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 35[16-08]",1,울산광역시 중구 명정8길 38,,35.55510217,129.2867349,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
"다운동 36[16-09]",1,울산광역시 중구 명정8길 34,,35.55500778,129.286961,2017,한전주,052-290-3816,울산광역시 중구,2022-03-25
