"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
20200305-01,1,,인천광역시 강화군 서도면 주문도리 703-3,,,,한전주,032-930-3737,강화군청,2021-09-03
20200305-02,1,,인천광역시 강화군 서도면 볼음도리 564-2,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리001",1,인천광역시 강화군 강화읍 대월로 16,인천광역시 강화군 강화읍 갑곳리 190,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리002",1,인천광역시 강화군 강화읍 대월로 12,인천광역시 강화군 강화읍 갑곳리 189,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리003",1,인천광역시 강화군 강화읍 강화대로 322-1,인천광역시 강화군 강화읍 갑곳리 182-6,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리004",1,인천광역시 강화군 강화읍 강화대로 320-14,인천광역시 강화군 강화읍 갑곳리 180,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리005",1,인천광역시 강화군 강화읍 갑룡길 11,인천광역시 강화군 강화읍 갑곳리 155-1,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리006",1,인천광역시 강화군 강화읍 갑룡길5번길 11,인천광역시 강화군 강화읍 갑곳리 152-1,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리007",1,,인천광역시 강화군 강화읍 갑곳리 150,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리008",1,인천광역시 강화군 강화읍 갑룡길5번길 23,인천광역시 강화군 강화읍 갑곳리 151-3,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리009",1,인천광역시 강화군 강화읍 갑룡길5번길 33,인천광역시 강화군 강화읍 관청리 77,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리010",1,인천광역시 강화군 강화읍 갑룡길5번길 36,인천광역시 강화군 강화읍 갑곳리 137-2,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리011",1,인천광역시 강화군 강화읍 갑룡길5번길 37,인천광역시 강화군 강화읍 관청리 76-1,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리012",1,인천광역시 강화군 강화읍 갑룡길5번길 42,인천광역시 강화군 강화읍 갑곳리 137-1,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리013",1,인천광역시 강화군 강화읍 갑룡길5번길 46,인천광역시 강화군 강화읍 갑곳리 129,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리014",1,,인천광역시 강화군 강화읍 갑곳리 140-6,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리015",1,,인천광역시 강화군 강화읍 갑곳리 146-2,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리016",1,인천광역시 강화군 강화읍 갑룡길73번길 49-4,인천광역시 강화군 강화읍 갑곳리 164,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리017",1,인천광역시 강화군 강화읍 갑룡길 41,인천광역시 강화군 강화읍 갑곳리 170-1,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리018",1,인천광역시 강화군 강화읍 강화대로248번길 16-1,인천광역시 강화군 강화읍 갑곳리 423,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리019",1,인천광역시 강화군 강화읍 갑룡길 39-2,인천광역시 강화군 강화읍 갑곳리 169-3,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리020",1,인천광역시 강화군 강화읍 갑룡길 26,인천광역시 강화군 강화읍 갑곳리 172,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리021",1,인천광역시 강화군 강화읍 강화대로215번길 30,인천광역시 강화군 강화읍 갑곳리 510,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리022",1,인천광역시 강화군 강화읍 갑룡길 75,인천광역시 강화군 강화읍 갑곳리 77-2,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리023",1,인천광역시 강화군 강화읍 갑룡길73번길 2,인천광역시 강화군 강화읍 갑곳리 77-11,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리024",1,인천광역시 강화군 강화읍 강화대로 310,인천광역시 강화군 강화읍 갑곳리 339-2,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리025",1,인천광역시 강화군 강화읍 강화대로312번길 20-4,인천광역시 강화군 강화읍 갑곳리 345,,,,건축물,032-930-3737,강화군청,2021-09-03
"갑곳리026",1,인천광역시 강화군 강화읍 강화대로 294-5,인천광역시 강화군 강화읍 갑곳리 342-4,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리027",1,인천광역시 강화군 강화읍 강화대로312번길 20,인천광역시 강화군 강화읍 갑곳리 346-27,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리028",1,인천광역시 강화군 강화읍 갑룡길 99,인천광역시 강화군 강화읍 갑곳리 24-2,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리029",1,인천광역시 강화군 강화읍 강화대로 280,인천광역시 강화군 강화읍 갑곳리 349,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리030",1,인천광역시 강화군 강화읍 강화대로312번길 22-10,인천광역시 강화군 강화읍 갑곳리 346-8,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리031",1,인천광역시 강화군 강화읍 갑룡길 39-4,인천광역시 강화군 강화읍 갑곳리 169-2,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리032",1,,인천광역시 강화군 강화읍 갑곳리 350-3,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리033",1,인천광역시 강화군 강화읍 갑룡길54번길 5,인천광역시 강화군 강화읍 갑곳리 375-11,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리034",1,인천광역시 강화군 강화읍 강화대로312번길 11,인천광역시 강화군 강화읍 갑곳리 173-1,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리035",1,인천광역시 강화군 강화읍 갑룡길56번길 6,인천광역시 강화군 강화읍 갑곳리 375-12,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리036",1,인천광역시 강화군 강화읍 갑룡길58번길 4,인천광역시 강화군 강화읍 갑곳리 375-17,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리037",1,인천광역시 강화군 강화읍 강화대로312번길 3,인천광역시 강화군 강화읍 갑곳리 175-2,,,,한전주,032-930-3737,강화군청,2021-09-03
"갑곳리038",1,인천광역시 강화군 강화읍 갑룡길62번길 4-2,인천광역시 강화군 강화읍 갑곳리 375-5,,,,한전주,032-930-3737,강화군청,2021-09-03
