"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1000-1번,1,인천광역시 계양구 안남로 596 (이촌데크길),인천광역시 계양구 효성동 산18(안총과납부),37.536050,126.711498,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1000-2번,1,인천광역시 계양구 안남로 596,인천광역시 계양구 효성동 산18,37.536050,126.711498,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1000-3번,1,인천광역시 계양구 안남로 596,인천광역시 계양구 효성동 산18,37.536050,126.711498,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1000-4번,1,인천광역시 계양구 안남로 596,인천광역시 계양구 효성동 산18,37.536050,126.711498,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1000-5번,1,,인천광역시 계양구 효성동 산 7-2,37.534691,126.715659,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1000-6번,1,,인천광역시 계양구 효성동 산 7-2,37.534691,126.715659,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1000-7번,1,,인천광역시 계양구 효성동 산 7-2,37.534691,126.715659,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1000-8번,1,,인천광역시 계양구 효성동 산 7-2,37.534612,126.715659,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1001번,1,인천광역시 계양구 길마로 57,인천광역시 계양구 효성동 24-7,37.534318,126.712766,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1002번,1,인천광역시 계양구 안남로572번길 16,인천광역시 계양구 효성동 24-21,37.534371,126.711834,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1003번,1,인천광역시 계양구 안남로572번길 7,인천광역시 계양구 효성동 26-3,37.534322,126.710853,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1004번,1,인천광역시 계양구 길마로 41,인천광역시 계양구 효성동 25-6,37.533978,126.710418,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1004-1번,1,,인천광역시 계양구 효성동 25-10,37.534127,126.710674,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1004-2번,1,인천광역시 계양구 안남로572번길 3,인천광역시 계양구 효성동 25-14,37.534201,126.710514,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1004-3번,1,인천광역시 계양구 안남로572번길 7-1,인천광역시 계양구 효성동 26-1,37.534405,126.710898,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1006번,1,인천광역시 계양구 안남로 583,인천광역시 계양구 효성동 28,37.535165,126.710526,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1007번,1,인천광역시 계양구 안남로573번길 16,인천광역시 계양구 효성동 99-11,37.537410,126.709123,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1008번,1,인천광역시 계양구 안남로573번길 18,인천광역시 계양구 효성동 33-2,37.537333,126.708905,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1009번,1,인천광역시 계양구 안남로573번길 33-9,인천광역시 계양구 효성동 33-21,37.535020,126.709238,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1010번,1,인천광역시 계양구 안남로573번길 5,인천광역시 계양구 효성동 33-26,37.534701,126.709578,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1011번,1,인천광역시 계양구 안남로573번길 28,인천광역시 계양구 효성동 33-12,37.534484,126.708851,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1012번,1,인천광역시 계양구 안남로573번길 23,인천광역시 계양구 효성동 33-7,37.534847,126.709091,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1012-1번,1,인천광역시 계양구 안남로573번길 21,"인천광역시 계양구 효성동 33-6 (CCTV일체,강관주)",37.535135,126.709112,,전용주,032-450-5559,인천광역시 계양구청,2022-05-02
1013번,1,인천광역시 계양구 안남로573번길 29,인천광역시 계양구 효성동 33-10,37.534562,126.709091,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1014번,1,인천광역시 계양구 길마로 27,인천광역시 계양구 효성동 31-3,37.534202,126.708739,,건축물,032-450-5559,인천광역시 계양구청,2022-05-02
1015번,1,,인천광역시 계양구 효성동 33-15,37.534431,126.709234,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1016번,1,인천광역시 계양구 안남로573번길 34,인천광역시 계양구 효성동 33-28,37.534426,126.709505,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1017번,1,,인천광역시 계양구 효성동 33-15,37.534302,126.709435,,건축물,032-450-5559,인천광역시 계양구청,2022-05-02
1019번,1,인천광역시 계양구 길마로11번길 3,인천광역시 계양구 효성동 101-5,37.534071,126.706567,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1020번,1,인천광역시 계양구 길마로 8,인천광역시 계양구 효성동 101-41,37.533719,126.706384,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1021번,1,인천광역시 계양구 길마로 4,인천광역시 계양구 효성동 101-12,37.533771,126.705623,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1022번,1,인천광역시 계양구 길마로1번길 1,인천광역시 계양구 효성동 101-17,37.533867,126.705177,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1023번,1,,인천광역시 계양구 효성동 101-87,37.534834,126.706290,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1024번,1,,인천광역시 계양구 효성동 101-85,37.534617,126.706583,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1025번,1,인천광역시 계양구 길마로11번길 6-3,인천광역시 계양구 효성동 34-10,37.534710,126.707130,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1026번,1,인천광역시 계양구 길마로11번길 6-20,인천광역시 계양구 효성동 34-29,37.534630,126.707814,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
1027번,1,인천광역시 계양구 길마로11번길 10,인천광역시 계양구 효성동 34-10,37.535010,126.706574,,한전주,032-450-5559,인천광역시 계양구청,2022-05-02
