"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"간석동2003",1,인천광역시 남동구 문화로 253 (간석동),인천광역시 남동구 간석동 543-12,37.46176273,126.7007574,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동001",1,인천광역시 남동구 호구포로888번길 10 (간석동),인천광역시 남동구 간석동 921-18,37.4613716017,126.7206536481,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동002",1,인천광역시 남동구 호구포로888번길 13 (간석동),인천광역시 남동구 간석동 920-15,37.46161917,126.7211353,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동003",1,인천광역시 남동구 호구포로888번길 17 (간석동),인천광역시 남동구 간석동 920-33,37.46157009,126.7213759,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동004",1,인천광역시 남동구 호구포로888번길 9-7 (간석동),인천광역시 남동구 간석동 919-14,37.46189435,126.7209275,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동005",1,인천광역시 남동구 호구포로 894-6 (간석동),인천광역시 남동구 간석동 919-12,37.46199558,126.7207757,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동007",1,인천광역시 남동구 호구포로900번길 12 (간석동),인천광역시 남동구 간석동 920,37.46240796,126.7212643,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동008",1,인천광역시 남동구 호구포로 900 (간석동),인천광역시 남동구 간석동 918-9,37.46273382,126.7207421,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동009",1,인천광역시 남동구 호구포로900번길 5 (간석동),인천광역시 남동구 간석동 918-5,37.4637041978,126.7211512,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동010",1,인천광역시 남동구 호구포로900번길 19 (간석동),인천광역시 남동구 간석동 918-10,37.46255215,126.7216782,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동011",1,인천광역시 남동구 호구포로900번길 20-4 (간석동),인천광역시 남동구 간석동 920-2,37.46233579,126.7214792,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동012",1,인천광역시 남동구 호구포로900번길 20-7 (간석동),인천광역시 남동구 간석동 920-21,37.46215908,126.7215613,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동013",1,인천광역시 남동구 호구포로888번길 9-10 (간석동),인천광역시 남동구 간석동 920-11,37.46196181,126.7212287,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동014",1,인천광역시 남동구 호구포로888번길 9-8 (간석동),인천광역시 남동구 간석동 920-12,37.46183249,126.7211559666,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동015",1,인천광역시 남동구 호구포로888번길 21 (간석동),인천광역시 남동구 간석동 920-36,37.46148661,126.7216926506,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동015s",1,인천광역시 남동구 호구포로888번길 21 (간석동),인천광역시 남동구 간석동 920-36,37.46148661,126.7216926506,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동016",1,인천광역시 남동구 백범로248번길 65 (간석동),인천광역시 남동구 간석동 918-2,37.46380497,126.7217984,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동017",1,인천광역시 남동구 백범로248번길 73 (간석동),인천광역시 남동구 간석동 918-14,37.46381554,126.7214903,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동018",1,인천광역시 남동구 백범로248번길 79-1 (간석동),인천광역시 남동구 간석동 918-13,37.46379829,126.7213592,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동019",1,인천광역시 남동구 백범로248번길 82 (간석동),인천광역시 남동구 간석동 225-225,37.46405882,126.7211864,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동020",1,인천광역시 남동구 호구포로 914 (간석동),인천광역시 남동구 간석동 918,37.46384704,126.7209560464,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동021",1,인천광역시 남동구 호구포로 914 (간석동),인천광역시 남동구 간석동 918,37.46384704,126.7209560464,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동022",1,인천광역시 남동구 호구포로928번길 6 (간석동),인천광역시 남동구 간석동 225-201,37.46513126,126.7216529,,전용주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동023",1,인천광역시 남동구 호구포로928번길 6 (간석동),인천광역시 남동구 간석동 225-201,37.46513126,126.7216529,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동024",1,인천광역시 남동구 호구포로928번길 6-1 (간석동),인천광역시 남동구 간석동 225-301,37.46510002,126.721743,,전용주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동025",1,인천광역시 남동구 호구포로928번길 20-1 (간석동),인천광역시 남동구 간석동 225-299,37.46532217,126.7219472,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동026",1,인천광역시 남동구 호구포로928번길 13 (간석동),인천광역시 남동구 간석동 225-294,37.46534953,126.7215569105,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동027",1,인천광역시 남동구 호구포로928번길 26 (간석동),인천광역시 남동구 간석동 산36-2,37.4656662071,126.7219681217,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동028",1,인천광역시 남동구 호구포로928번길 29 (간석동),인천광역시 남동구 간석동 산36-28,37.4660269465,126.7219079,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동029",1,인천광역시 남동구 호구포로928번길 6-3 (간석동),인천광역시 남동구 간석동 225-219,37.4650448809,126.7219337987,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동030",1,인천광역시 남동구 남동대로837번길 27 (간석동),인천광역시 남동구 간석동 293-2,37.45785024,126.7066463,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동031",1,인천광역시 남동구 만월북로2번길 11-32 (간석동),인천광역시 남동구 간석동 1-277,37.4693628769,126.7202176367,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동032",1,인천광역시 남동구 용천로176번길 109 (간석동),인천광역시 남동구 간석동 934,37.46526894,126.7201539856,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동033",1,인천광역시 남동구 용천로176번길 85-9 (간석동),인천광역시 남동구 간석동 224-731,37.46510665,126.7188776,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동034",1,인천광역시 남동구 용천로176번길 85-17 (간석동),인천광역시 남동구 간석동 224-742,37.46545825,126.7189976731,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동035",1,인천광역시 남동구 용천로176번길 85-17 (간석동),인천광역시 남동구 간석동 224-742,37.46545825,126.7189976731,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동036",1,인천광역시 남동구 용천로176번길 85-23 (간석동),인천광역시 남동구 간석동 224-725,37.46579245,126.7191344,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동037",1,인천광역시 남동구 용천로176번길 83 (간석동),인천광역시 남동구 간석동 224-737,37.4649022,126.7188836,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동038",1,인천광역시 남동구 간석로 104 (간석동),인천광역시 남동구 간석동 37-479,37.4652349,126.7183375086,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동039",1,인천광역시 남동구 간석로 101-4 (간석동),인천광역시 남동구 간석동 37-426,37.46523154,126.7186988,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동040",1,인천광역시 남동구 간석로 101-6 (간석동),인천광역시 남동구 간석동 37-84,37.4653221,126.7187913,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동041",1,인천광역시 남동구 용천로176번길 67-8 (간석동),인천광역시 남동구 간석동 37-401,37.46521345,126.7181352,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동042",1,인천광역시 남동구 용천로176번길 67-8 (간석동),인천광역시 남동구 간석동 37-401,37.46521345,126.7181352,,건축물,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동043",1,인천광역시 남동구 간석로 99-1 (간석동),인천광역시 남동구 간석동 37-81,37.46545843,126.7184958074,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동044",1,인천광역시 남동구 간석로87번길 8-12 (간석동),인천광역시 남동구 간석동 37-242,37.46573635,126.7180564,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동044s",1,인천광역시 남동구 간석로87번길 8-12 (간석동),인천광역시 남동구 간석동 37-242,37.46573635,126.7180564,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동045",1,인천광역시 남동구 호구포로 917 (간석동),인천광역시 남동구 간석동 225-273,37.46444541,126.7204817749,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
"간석동046",1,인천광역시 남동구 호구포로 917 (간석동),인천광역시 남동구 간석동 225-273,37.46444541,126.7204817749,,한전주,032-453-2744,인천광역시 남동구청,2022-03-06
