"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1001,1,인천광역시 동구 석수로 5,인천광역시 동구 만석동 74-15,37.4797358,126.6278267,2019,한전주,032-770-6575,인천광역시 동구,2022-05-11
1002,1,인천광역시 동구 석수로 13-1,,37.4800807,126.6275655,2019,한전주,032-770-6575,인천광역시 동구,2022-05-11
1003,1,인천광역시 동구 석수로 13-1,,37.4799983,126.6273854,2019,건축물,032-770-6575,인천광역시 동구,2022-05-11
1004,1,인천광역시 동구 석수로 13,인천광역시 동구 만석동 72-91,37.4799832,126.6272115,2019,한전주,032-770-6575,인천광역시 동구,2022-05-11
1005,1,인천광역시 동구 석수로 23,인천광역시 동구 만석동 72-13,37.4802052,126.6270565,2019,한전주,032-770-6575,인천광역시 동구,2022-05-11
1006,1,인천광역시 동구 석수로27번길 8-1,인천광역시 동구 만석동 72-70,37.4803738,126.6268963,2019,한전주,032-770-6575,인천광역시 동구,2022-05-11
1007,1,인천광역시 동구 석수로27번길 6,인천광역시 동구 만석동 72-18,37.4804406,126.6269453,2019,건축물,032-770-6575,인천광역시 동구,2022-05-11
1008,1,인천광역시 동구 석수로 21,인천광역시 동구 만석동 72-46,37.4802752,126.6274089,2019,한전주,032-770-6575,인천광역시 동구,2022-05-11
1009,1,인천광역시 동구 석수로 25,인천광역시 동구 만석동 72-15,37.4804777,126.6272514,2019,한전주,032-770-6575,인천광역시 동구,2022-05-11
1010,1,인천광역시 동구 석수로 35,인천광역시 동구 만석동 72-24,37.4808243,126.6269982,2019,한전주,032-770-6575,인천광역시 동구,2022-05-11
1011,1,인천광역시 동구 석수로 41,인천광역시 동구 만석동 18-1,37.4810696,126.6267307,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1012,1,인천광역시 동구 만석로 85,인천광역시 동구 만석동 18-1,37.4811509,126.6264671,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1013,1,인천광역시 동구 만석로 77,인천광역시 동구 만석동 18-1,37.4812957,126.6260388,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1014,1,인천광역시 동구 만석로75번길 1-2,인천광역시 동구 만석동 28-37,37.4813755,126.626076,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1015,1,인천광역시 동구 만석로75번길 6,인천광역시 동구 만석동 28-19,37.4814475,126.6262154,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1016,1,인천광역시 동구 만석로75번길 5-3,인천광역시 동구 만석동 29-17,37.48159283,126.6261585,,전용주,032-770-6575,인천광역시 동구,2022-05-11
1017,1,인천광역시 동구 석수로 47-1,인천광역시 동구 만석동 28-8,37.481377,126.6265779,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1018,1,인천광역시 동구 석수로 43,인천광역시 동구 만석동 27-9,37.4810679,126.6267918,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1019,1,인천광역시 동구 석수로 56,인천광역시 동구 만석동 26-7,37.4816513,126.6265293,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1020,1,인천광역시 동구 화도진로 113,인천광역시 동구 화수동 297-5,37.4816955,126.6266567,,전용주,032-770-6575,인천광역시 동구,2022-05-11
1021,1,인천광역시 동구 화도진로 113,인천광역시 동구 화수동 297-21,37.4817508,126.6267816,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1022,1,인천광역시 동구 화도진로125번길 10,인천광역시 동구 화수동 296-69,37.4818718,126.6270599,2019,전용주,032-770-6575,인천광역시 동구,2022-05-11
1023,1,인천광역시 동구 화도진로 127,인천광역시 동구 화수동 295-9,37.48201082,126.6273469,2019,전용주,032-770-6575,인천광역시 동구,2022-05-11
1024,1,인천광역시 동구 석수로 55,인천광역시 동구 만석동 28-2,37.4816365,126.6263942,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1025,1,인천광역시 동구 석수로 57-1,인천광역시 동구 만석동 29-4,37.4816944,126.6263502,,건축물,032-770-6575,인천광역시 동구,2022-05-11
1026,1,인천광역시 동구 제물량로 386,인천광역시 동구 만석동 30-1,37.4819386,126.6261607,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1027,1,인천광역시 동구 제물량로 386,인천광역시 동구 만석동 30-1,37.4822611,126.6259047,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1028,1,인천광역시 동구 제물량로 386,인천광역시 동구 만석동 30-1,37.48246341,126.625727,2021,한전주,032-770-6575,인천광역시 동구,2022-05-11
1029,1,인천광역시 동구 석수로 80,인천광역시 동구 만석동 25-14,37.48261201,126.6258355,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1030,1,인천광역시 동구 석수로 80-8,인천광역시 동구 만석동 25-11,37.48255222,126.6259123,2021,전용주,032-770-6575,인천광역시 동구,2022-05-11
1031,1,인천광역시 동구 석수로 60,인천광역시 동구 만석동 25-1,37.48271574,126.6260357,2020,건축물,032-770-6575,인천광역시 동구,2022-05-11
1032,1,인천광역시 동구 석수로 60,인천광역시 동구 만석동 25-1,37.48277014,126.6261256,,,032-770-6575,인천광역시 동구,2022-05-11
1033,1,인천광역시 동구 석수로 60,인천광역시 동구 만석동 25-1,37.48301533,126.6263119,,건축물,032-770-6575,인천광역시 동구,2022-05-11
1034,1,인천광역시 동구 석수로 84-10,인천광역시 동구 만석동 24-20,37.4828006,126.6259594,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1035,1,인천광역시 동구 석수로 84-8,인천광역시 동구 만석동 24-21,37.4828343,126.6258293,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1036,1,인천광역시 동구 화도진로 141-5,인천광역시 동구 만석동 20-60,37.4831544,126.6263792,,건축물,032-770-6575,인천광역시 동구,2022-05-11
1037,1,인천광역시 동구 석수로 90,인천광역시 동구 만석동 20-60,37.4831101,126.6262534,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1038,1,인천광역시 동구 화도진로 141-5,인천광역시 동구 만석동 20-60,37.4832687,126.6265829,,전용주,032-770-6575,인천광역시 동구,2022-05-11
1039,1,인천광역시 동구 화도진로 137-6,인천광역시 동구 만석동 21-29,37.4829469,126.6265672,,건축물,032-770-6575,인천광역시 동구,2022-05-11
1040,1,인천광역시 동구 화도진로 137-8,인천광역시 동구 만석동 21-29,37.48285661,126.6264226,,건축물,032-770-6575,인천광역시 동구,2022-05-11
1041,1,인천광역시 동구 화도진로 135-1,인천광역시 동구 만석동 21-73,37.48282306,126.6267229,2021,전용주,032-770-6575,인천광역시 동구,2022-05-11
1042,1,인천광역시 동구 제물량로 386,인천광역시 동구 만석동 30-1,37.48285996,126.6254366,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1043,1,인천광역시 동구 제물량로 386,인천광역시 동구 만석동 30-1,37.4831799,126.6252056,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1044,1,인천광역시 동구 제물량로 386,인천광역시 동구 만석동 30-1,37.48252632,126.625588,2019,건축물,032-770-6575,인천광역시 동구,2022-05-11
1045,1,인천광역시 동구 제물량로 386,인천광역시 동구 만석동 30-1,37.48231543,126.6251951,,건축물,032-770-6575,인천광역시 동구,2022-05-11
1046,1,인천광역시 동구 만석로 51,인천광역시 동구 만석동 30-10,37.48221976,126.6248978,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1047,1,인천광역시 동구 만석로39번길 13,,37.48207005,126.6248373,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1048,1,인천광역시 동구 만석로39번길 11,인천광역시 동구 만석동 31-16,37.48210209,126.6247077,2021,한전주,032-770-6575,인천광역시 동구,2022-05-11
1049,1,인천광역시 동구 만석로39번길 13,,37.4819512,126.624369,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1050,1,인천광역시 동구 만석로39번길 9-1,인천광역시 동구 만석동 31-17,37.4821487,126.624592,2020,건축물,032-770-6575,인천광역시 동구,2022-05-11
1051,1,인천광역시 동구 만석로35번길 8,인천광역시 동구 만석동 31-20,37.4820207,126.6243256,,건축물,032-770-6575,인천광역시 동구,2022-05-11
1052,1,인천광역시 동구 만석로 37,인천광역시 동구 만석동 31-14,37.48194599,126.6240784,2019,건축물,032-770-6575,인천광역시 동구,2022-05-11
1053,1,인천광역시 동구 제물량로 386,인천광역시 동구 만석동 18-1,37.4819288,126.6238671,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1054,1,인천광역시 동구 만석로39번길 13,,37.48186908,126.6241193,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1055,1,인천광역시 동구 만석로 45,인천광역시 동구 만석동 18-1,37.4817526,126.6245193,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1056,1,인천광역시 동구 만석로 51,인천광역시 동구 만석동 18-1,37.4817044,126.6247116,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1057,1,인천광역시 동구 만석로 67,인천광역시 동구 만석동 18-1,37.4815667,126.6250989,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1058,1,인천광역시 동구 만석로 67,인천광역시 동구 만석동 18-1,37.4814788,126.6254295,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1059,1,인천광역시 동구 만석로 71,인천광역시 동구 만석동 18-1,37.4814074,126.6256951,2020,전용주,032-770-6575,인천광역시 동구,2022-05-11
1060,1,인천광역시 동구 만석로36번길 9-1,인천광역시 동구 만석동 67-20,37.4817118,126.6235696,,전용주,032-770-6575,인천광역시 동구,2022-05-11
1061,1,인천광역시 동구 만석로 81,인천광역시 동구 만석동 28-13,37.48122564,126.6262331,,건축물,032-770-6575,인천광역시 동구,2022-05-11
1062,1,인천광역시 동구 만석로36번길 3-3,인천광역시 동구 만석동 67-27,37.48163964,126.6237198,,전용주,032-770-6575,인천광역시 동구,2022-05-11
1063,1,인천광역시 동구 만석로36번길 9-3,인천광역시 동구 만석동 67-33,37.48159399,126.6234533,,건축물,032-770-6575,인천광역시 동구,2022-05-11
