"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"관-001",1,인천광역시 미추홀구 주승로 153-7,인천광역시 미추홀구 관교동 451-38,37.445737,126.6873061177,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-003",1,인천광역시 미추홀구 주승로 153-16,인천광역시 미추홀구 관교동 451-1,37.445936,126.687507,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-004",1,인천광역시 미추홀구 주승로 141-57,인천광역시 미추홀구 관교동 451-2,37.4458819175,126.6870467032,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-005",1,인천광역시 미추홀구 주승로 153-16,인천광역시 미추홀구 관교동 451-1,37.4459037255,126.6875588763,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-006",1,인천광역시 미추홀구 주승로 153-32,인천광역시 미추홀구 관교동 451-44,37.445847,126.6876798672,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-007",1,인천광역시 미추홀구 주승로 153-42,인천광역시 미추홀구 관교동 451-82,37.4457670950,126.6881247080,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-008",1,인천광역시 미추홀구 주승로 153-46,인천광역시 미추홀구 관교동 451-30,37.4458762336,126.688103,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-009",1,인천광역시 미추홀구 주승로 153-60,인천광역시 미추홀구 관교동 451-31,37.4458898742,126.688391,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-010",1,인천광역시 미추홀구 주승로 163-7,인천광역시 미추홀구 관교동 451-33,37.4457185530,126.6885432630,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-012",1,인천광역시 미추홀구 주승로 163-7,인천광역시 미추홀구 관교동 451-33,37.445723,126.6885432630,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-014",1,인천광역시 미추홀구 경원대로 714,인천광역시 미추홀구 관교동 469,37.4462585398,126.6903305100,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
"관-015",1,인천광역시 미추홀구 경원대로716번길 7,인천광역시 미추홀구 관교동 464-1,37.4466016388,126.690651,,,032-880-8708,인천광역시 미추홀구청,2022-05-12
