"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"갈산로1",1,인천광역시 부평구 갈산로 26,,37.52233957,126.7273607,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로10",1,인천광역시 부평구 갈산로 5,,37.5209863,126.728481,2016,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로11",1,인천광역시 부평구 갈산로 2-1,,37.52115088,126.7286307,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로12",1,인천광역시 부평구 갈산로 5번길 6-1,,37.52094075,126.7280926,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로13",1,인천광역시 부평구 갈산로 5번길 11-1,,37.52058564,126.7282674,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로14",1,인천광역시 부평구 갈산로 5번길 11-5,,37.52037652,126.7283451,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로15",1,인천광역시 부평구 갈산로 5번길 10-4,,37.52084159,126.7279895,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로16",1,인천광역시 부평구 갈산로 5번길 14,,37.520533,126.7279395,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로17",1,인천광역시 부평구 갈산로 5번길 17,,37.52045629,126.7280439,2016,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로18",1,인천광역시 부평구 갈산로 5번길 25,,37.5200317,126.7276619,2018,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로19",1,인천광역시 부평구 갈산로 5번길 28-3,,37.5201697,126.7276742,2018,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로2",1,인천광역시 부평구 갈산로 22-1,,37.52212337,126.7273964,2018,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로20",1,인천광역시 부평구 갈산로 5번길 28-4,,37.52025231,126.7275405,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로21",1,인천광역시 부평구 갈산로 5번길 28-22,,37.52061758,126.7271135,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로22",1,인천광역시 부평구 갈산로 5번길 16-5,,37.5205379,126.7275548,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로23",1,인천광역시 부평구 갈산로 9번길 16,,37.52073181,126.727318,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로24",1,인천광역시 부평구 갈산로 9번길 14-5,,37.52090682,126.7271602,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로25",1,인천광역시 부평구 갈산로 9번길 10,,37.52095305,126.7275491,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로26",1,인천광역시 부평구 갈산로 9번길 10-5,,37.52106206,126.7273973,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로27",1,인천광역시 부평구 갈산로 9번길 4-2,,37.5212338,126.7278552,2000,건축물,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로28",1,인천광역시 부평구 갈산로 9번길 4-10,,37.52142122,126.727481,2000,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로29",1,인천광역시 부평구 갈산로 9번길 4-15,,37.52160287,126.7271325,2000,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로3",1,인천광역시 부평구 갈산로 22,,37.52199471,126.7273967,2018,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로30",1,인천광역시 부평구 갈산로 295,,37.52098522,126.7288881,2015,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로31",1,인천광역시 부평구 주부토로 293,,37.52057995,126.7285727,2015,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로32",1,인천광역시 부평구 갈산로26,,37.52237799,126.7273607,2018,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로33",1,인천광역시 부평구 갈산로22-1,,37.52210822,126.7273964,2018,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로4",1,인천광역시 부평구 갈산로 22,,37.52199049,126.7273642,2017,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로5",1,인천광역시 부평구 갈산로19,,37.5217473,126.7271707,2000,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로6",1,인천광역시 부평구 갈산로 16-1,,37.52169905,126.727582,2016,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로7",1,인천광역시 부평구 갈산로 14,,37.52157695,126.727659,2000,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
"갈산로8",1,인천광역시 부평구 갈산로 12,,37.52144391,126.7279428,2000,전용주,032-509-6842,인천광역시 부평구청,2022-09-01
