"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
2020(483-1),1,,인천광역시 서구 경서동413-5,37.5627891833,126.6416281019,2020,한전주,032-560-4170,인천광역시 서구,2022-07-25
2020(483-2),1,,인천광역시 서구 경서동711,37.5620618759,126.6401765523,2020,한전주,032-560-4170,인천광역시 서구,2022-07-25
2020(483-3),1,,인천광역시 서구 경서동372-6,37.5616188272,126.6392605904,2020,한전주,032-560-4170,인천광역시 서구,2022-07-25
2020(483-4),1,,인천광역시 서구 경서동371-2,37.5618955540,126.6424308165,2020,한전주,032-560-4170,인천광역시 서구,2022-07-25
2020(483-5),1,,인천광역시 서구 경서동484-17,37.5636197053,126.6399905118,2020,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-001",1,,인천광역시 서구 가정동494,37.52092361,126.6735140430,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-002",1,,인천광역시 서구 가정동494-18,37.5204259618,126.6742222943,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-003",1,,인천광역시 서구 가정동494-30,37.5200715759,126.6742139937,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-004",1,,인천광역시 서구 가정동494-3,37.52021326,126.6737681750,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-005",1,,인천광역시 서구 가정동494-3,37.52021919,126.6737681750,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-006",1,,인천광역시 서구 가정동494-8,37.5201113370,126.6734518,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-007",1,,인천광역시 서구 가정동504-4,37.5198171266,126.6736892096,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-008",1,,인천광역시 서구 가정동504-13,37.51957321,126.6736524129,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-009",1,,인천광역시 서구 가정동577,37.5193432280,126.6742265762,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-010",1,,인천광역시 서구 가정동504-6,37.51961974,126.6733528691,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-011",1,,인천광역시 서구 가정동577,37.51935959,126.6742265762,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-012",1,,인천광역시 서구 가정동503-34,37.51946259,126.6741327013,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-013",1,,인천광역시 서구 가정동503-29,37.5194887269,126.6743147147,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-014",1,,인천광역시 서구 가정동503-38,37.51939392,126.6748352616,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-015",1,,인천광역시 서구 가정동503-19,37.5198144,126.6748162121,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-017",1,,인천광역시 서구 가정동503-5,37.5197021954,126.6742899188,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-018",1,,인천광역시 서구 가정동503-2,37.5198555,126.6741089463,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-019",1,,인천광역시 서구 가정동495-11,37.5202832399,126.6744156,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-020",1,,인천광역시 서구 가정동495-1,37.5207135663,126.6745184374,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-021",1,,인천광역시 서구 가정동495-20,37.52093126,126.6746692,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-022",1,,인천광역시 서구 가정동495-38,37.52069725,126.6749937,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-023",1,,인천광역시 서구 가정동495-42,37.52048877,126.6747416,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-024",1,,인천광역시 서구 가정동495-32,37.520359,126.6748980086,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-025",1,,인천광역시 서구 가정동495-30,37.52025902,126.6748489,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-026",1,,인천광역시 서구 가정동497-19,37.5203982104,126.6754657161,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-027",1,,인천광역시 서구 가정동496-18,37.52076107,126.6755267104,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-028",1,,인천광역시 서구 가정동496-1,37.52099083,126.6757120927,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-029",1,,인천광역시 서구 가정동496-33,37.52080362,126.6757984,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-030",1,,인천광역시 서구 가정동496-2,37.52097381,126.6758997001,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-031",1,,인천광역시 서구 가정동498-1,37.5208951,126.6763236885,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-032",1,,인천광역시 서구 가정동498,37.52096955,126.6763724,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-033",1,,인천광역시 서구 가정동498-32,37.5208810092,126.6767318,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-034",1,,인천광역시 서구 가정동500-6,37.51979951,126.6754684,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-035",1,,인천광역시 서구 가정동499,37.5197674512,126.6762318879,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-036",1,,인천광역시 서구 가정동498-5,37.52016754,126.6762007,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-037",1,,인천광역시 서구 가정동498-33,37.5203771364,126.6762007,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-038",1,,인천광역시 서구 가정동498-11,37.5206462,126.6762087,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-039",1,,인천광역시 서구 가정동498-12,37.5206337,126.6764296306,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-040",1,,인천광역시 서구 가정동497-28,37.5199807153,126.6759567,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-041",1,,인천광역시 서구 가정동500-28,37.5197866393,126.6760559,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-042",1,,인천광역시 서구 가정동497-5,37.52019501,126.6752661316,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-043",1,,인천광역시 서구 가정동497-21,37.5202615482,126.6755711700,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-044",1,,인천광역시 서구 가정동497-24,37.5203829365,126.6757438310,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-045",1,,인천광역시 서구 가정동499,37.5197674512,126.676239,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-046",1,,인천광역시 서구 가정동499-24,37.5194235316,126.6761703,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-047",1,,인천광역시 서구 가정동500-20,37.5193485,126.6755489,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-048",1,,인천광역시 서구 가정동500-12,37.51965272,126.6751017726,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-049",1,,인천광역시 서구 가정동500-9,37.5196450616,126.6754644533,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-050",1,,인천광역시 서구 가정동500-24,37.51963806,126.6757177190,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-051",1,,인천광역시 서구 가정동495-14,37.52006149,126.6748670577,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-052",1,,인천광역시 서구 가정동498-32,37.5208810092,126.6767654,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-053",1,,인천광역시 서구 가정동497-36,37.5199712558,126.6754434709,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-054",1,,인천광역시 서구 가정동496-8,37.52088872,126.6752057881,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-055",1,,인천광역시 서구 가정동503-13,37.51988983,126.6744337283,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-056",1,,인천광역시 서구 가정동495-15,37.5210195599,126.6746544369,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-01-057",1,,인천광역시 서구 가정동500-27,37.5197839621,126.6758423,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-02-001",1,,인천광역시 서구 가정동510-17,37.51855087,126.6765688782,,한전주,032-560-4170,인천광역시 서구,2022-07-25
"가정1-02-002",1,,인천광역시 서구 가정동510-3,37.51815821,126.6763283094,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-02-003",1,,인천광역시 서구 가정동510-11,37.5177719851,126.6764032,,,032-560-4170,인천광역시 서구,2022-07-25
"가정1-02-004",1,,인천광역시 서구 가정동510-14,37.5176077494,126.6760982409,,건축물,032-560-4170,인천광역시 서구,2022-07-25
"가정1-02-005",1,,인천광역시 서구 가정동510-16,37.5185485715,126.6763934823,,건축물,032-560-4170,인천광역시 서구,2022-07-25
