"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"동춘1동10-1(64-1)",1,인천광역시 연수구 미추홀대로 78,인천광역시 연수구 동춘동 734-15,37.40717755,126.6603217,2016,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동10-2(64-2)",1,인천광역시 연수구 미추홀대로 78,인천광역시 연수구 동춘동 산47,37.40713656,126.6603217,2016,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동10-3(64-3)",1,인천광역시 연수구 미추홀대로 78,인천광역시 연수구 동춘동 734-17,37.40717755,126.6603217,2016,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동10-4(64-4)",1,인천광역시 연수구 미추홀대로 78,인천광역시 연수구 동춘동 산53,37.40717755,126.6603217,2016,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동1-1(55-1)",1,인천광역시 연수구 능허대로267-7,인천광역시 연수구 동춘1동 817-5,37.41305684,126.6540626,2013,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동1-10(55-10)",1,인천광역시 연수구 솔밭로10,인천광역시 연수구 동춘1동 818-10,37.41446929,126.6534993,2013,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동1-11(55-11)",1,인천광역시 연수구 앵고개길87-10,인천광역시 연수구 동춘1동 815-3,37.41289493,126.6550604,2013,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동1-12(55-12)",1,인천광역시 연수구 앵고개길87-10,인천광역시 연수구 동춘1동 815-3,37.4128438,126.6550818,2013,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동1-13(55-13)",1,인천광역시 연수구 앵고개길87-24,인천광역시 연수구 동춘1동 825,37.41331675,126.6547653,2013,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동1-14(55-14)",1,인천광역시 연수구 앵고개길87-34,인천광역시 연수구 동춘1동 828-4,37.41335084,126.6548109,2013,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동1-15(55-15)",1,인천광역시 연수구 앵고개길87-33,인천광역시 연수구 동춘1동 818-4,37.41360435,126.6545749,2013,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
"동춘1동1-16(55-16)",1,인천광역시 연수구 앵고개길87-33,인천광역시 연수구 동춘1동 818-4,37.41392178,126.6543549,2013,전용주,032-749-8563,인천광역시 연수구청,2021-10-25
