"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
8415,1,인천광역시 중구 샛골로43번길 39,,37.46802289,126.6409801,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8416,1,인천광역시 중구 송월로8번길 7-4,,37.47879327,126.622545,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8412,1,인천광역시 중구 제물량로 165-3,,37.47003566,126.6254266,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
812,1,인천광역시 중구 참외전로 149-72,,37.4744721,126.6328803,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1083,1,인천광역시 중구 인중로164번길 24-3,,37.46854119,126.6268325,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1096,1,인천광역시 중구 우현로 19-75,,37.4699201,126.625831,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1100,1,인천광역시 중구 제물량로 165-3,,37.47003566,126.6254266,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1101,1,인천광역시 중구 인중로174번길 15-27,,37.4697978,126.6251368,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1102,1,인천광역시 중구 인중로182번길 14-11,,37.46964512,126.6252818,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1103,1,인천광역시 중구 인중로174번길 15-5,,37.4694672,126.6256512,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1173,1,인천광역시 중구 우현로35번길 4-1,,37.470688,126.6272318,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1225,1,인천광역시 중구 신포로39번길 6-3,,37.4727683,126.6257817,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
1339,1,인천광역시 중구 우현로39번길 5-1,,37.470794,126.6271852,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
2604,1,인천광역시 중구 제물량로166번길 1-5,,37.47041749,126.6252779,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
2619,1,인천광역시 중구 연안부두로107번길 16-14,,37.4498093,126.5991506,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
3379,1,인천광역시 중구 참외전로244번길 15-34,,37.46828412,126.6398705,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
4126,1,인천광역시 중구 참외전로244번길 41-9,,37.46720687,126.6387395,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
4159,1,인천광역시 중구 도원로10번길 43,,37.4666184,126.6383502,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
4160,1,인천광역시 중구 도원로10번길 43,,37.4666184,126.6383502,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
5122,1,인천광역시 중구 율목로 6-1,,37.4687688,126.6350002,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6191,1,인천광역시 중구 참외전로 118-1,,37.4757927,126.6307461,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6270,1,인천광역시 중구 참외전로 131-15,,37.475309,126.6322805,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6271,1,인천광역시 중구 참외전로 131-15,,37.475309,126.6322468,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6272,1,인천광역시 중구 참외전로 131-15,,37.4750371,126.6323101,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6273,1,인천광역시 중구 참외전로 131-15,,37.4750454,126.6323101,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6274,1,인천광역시 중구 참외전로 131-15,,37.4749475,126.6324207,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6300,1,인천광역시 중구 큰우물로20번길 3-4,,37.47370374,126.6323087,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6312,1,인천광역시 중구 개항로96번길 28,,37.47103299,126.6337684,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6415,1,인천광역시 중구 우현로62번길 38-15,,37.47199502,126.6309367,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6432,1,인천광역시 중구 신포로39번길 90,,37.4745802,126.6218183,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
6470,1,인천광역시 중구 우현로62번길 23-65,,37.4727667,126.6306523,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
69,1,인천광역시 중구 차이나타운로26번길 12-17,,37.47746115,126.6184249,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
70,1,인천광역시 중구 우현로62번길 19,,37.47251978,126.6303313,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
7537,1,인천광역시 중구 참외전로 131-4,,37.4747959,126.6319036,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8025,1,인천광역시 중구 자유공원서로37번길 34-15,,37.4780032,126.6200511,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8078,1,인천광역시 중구 제물량로306번길 22,,37.4778745,126.6180724,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8278,1,인천광역시 중구 제물량로335번길 60-13,,37.48267684,126.6186093,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8421,1,인천광역시 중구 제물량로135번길 7,,37.46884452,126.6283793,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8424,1,인천광역시 중구 율목로32번길 29,,37.47070848,126.6342611,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8435,1,인천광역시 중구 차이나타운로 36,,37.47612283,126.6192748,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8436,1,인천광역시 중구 인중로146번길 20-8,,37.46785382,126.6270616,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8439,1,인천광역시 중구 제물량로166번길 17,,37.4708189,126.6257501,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8442,1,인천광역시 중구 우현로49번길 10-5,,37.47187231,126.6276639,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8446,1,인천광역시 중구 개항로96번길 25,,37.47119181,126.6339496,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8447,1,인천광역시 중구 참외전로152번길 15,,37.47244695,126.6325211,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8448,1,인천광역시 중구 개항로96번길 29,,37.4710564,126.6340827,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8449,1,인천광역시 중구 개항로96번길 11,,37.47166001,126.6335053,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8482,1,인천광역시 중구 인중로164번길 48-15,,37.4691576,126.6281087,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8484,1,인천광역시 중구 참외전로 244-1,,37.46854264,126.6416375,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8490,1,인천광역시 중구 차이나타운로44번길 8-7,,37.47602789,126.6189748,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8495,1,인천광역시 중구 차이나타운로 37-22,,37.4762073,126.6199078,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8496,1,인천광역시 중구 전동로 14-13,,37.4762586,126.6253221,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
8511,1,인천광역시 중구 신포로35번길 18,,37.4725896,126.6249258,,전용주,032-760-7834,인천광역시 중구청 건설과,2023-01-17
