"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"문척면 서당길 19(정상)",1,전라남도 구례군 문척면 동해벚꽃로 95,전라남도 구례군 문척면 죽마리 361-4,35.1893306000,127.4733410000,2021,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 101",1,,전라남도 구례군 구례읍 봉북리 600-4,35.2131730000,127.4644333000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 99",1,전라남도 구례군 구례읍 구례2길 78,전라남도 구례군 구례읍 봉북리 271-27,35.2132713600,127.4632490000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 187",1,,전라남도 구례군 구례읍 봉북리 313-1,35.2125700000,127.4630360000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 189",1,전라남도 구례군 구례읍 서당교길 15-4,전라남도 구례군 구례읍 봉북리 311,35.2124600000,127.4627944000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 190",1,,전라남도 구례군 구례읍 봉북리 301,35.2125930000,127.4625341000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 188",1,,전라남도 구례군 구례읍 봉북리 320-2,35.2124072200,127.4630810000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 194",1,,전라남도 구례군 구례읍 봉북리 135-2,35.2115898000,127.4630667000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 192",1,,전라남도 구례군 구례읍 봉북리 140-3,35.2116810000,127.4626891000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 321",1,전라남도 구례군 구례읍 택지길 17,전라남도 구례군 구례읍 백련리 334,35.2121850000,127.4616631000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 326",1,전라남도 구례군 구례읍 백련길 8-6,전라남도 구례군 구례읍 백련리 360-1,35.2120683800,127.4610210000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 325",1,,전라남도 구례군 구례읍 백련리 545-1,35.2122270000,127.4618235000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 323",1,전라남도 구례군 구례읍 택지길 21-7,전라남도 구례군 구례읍 백련리 330,35.2125791800,127.4613950000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 324",1,,전라남도 구례군 구례읍 백련리 545-21,35.2128075900,127.4611718000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 790",1,,전라남도 구례군 구례읍 신월리 558-3,35.1696687700,127.4565914000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 379",1,,전라남도 구례군 구례읍 산성리 233-2,35.2138449400,127.4479622000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 381",1,전라남도 구례군 구례읍 시동길 40-7,전라남도 구례군 구례읍 산성리 207,35.2143234900,127.4475710000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 384(차단기)",1,,전라남도 구례군 구례읍 산성리 231-5,35.2138440000,127.4468840000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 385",1,전라남도 구례군 구례읍 시동길 46-12,전라남도 구례군 구례읍 산성리 218-3,35.2142371600,127.4470629000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 380",1,,전라남도 구례군 구례읍 산성리 199-1,35.2143139300,127.4478840000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 374",1,,전라남도 구례군 구례읍 산성리 183,35.2143156600,127.4489256000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 383",1,,전라남도 구례군 구례읍 산성리 232-8,35.2136970500,127.4472053000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 382",1,,전라남도 구례군 구례읍 산성리 743-2,35.2137260000,127.4471801000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 335",1,전라남도 구례군 구례읍 택지길 5-8,전라남도 구례군 구례읍 백련리 378-8,35.2114114500,127.4613880000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 339",1,,전라남도 구례군 구례읍 백련리 418-2,35.2114549100,127.4598690000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 338",1,,전라남도 구례군 구례읍 백련리 546-21,35.2109530000,127.4597400000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 337",1,전라남도 구례군 구례읍 백련천길 20,전라남도 구례군 구례읍 백련리 444,35.2107050000,127.4596410000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 205",1,,전라남도 구례군 구례읍 봉북리 165-13,35.2106250000,127.4618070000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 206",1,전라남도 구례군 구례읍 북문1길 20,전라남도 구례군 구례읍 봉북리 165-1,35.2107949700,127.4624860000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 200",1,,전라남도 구례군 구례읍 봉북리 159-2,35.2109159400,127.4629234000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 201",1,전라남도 구례군 구례읍 봉북샛길 4,전라남도 구례군 구례읍 봉북리 137-2,35.2112010000,127.4629290000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 202",1,,전라남도 구례군 구례읍 봉북리 620-1,35.2118210200,127.4646163000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 195",1,전라남도 구례군 구례읍 구례2길 60-1,전라남도 구례군 구례읍 봉북리 130,35.2115829900,127.4631258000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 199",1,,전라남도 구례군 구례읍 봉동리 566-1,35.2109357500,127.4636861000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 198",1,,전라남도 구례군 구례읍 봉동리 566-1,35.2109380000,127.4636861000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 780",1,,전라남도 구례군 구례읍 신월리 280-2,35.1716310000,127.4515080000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 787",1,,전라남도 구례군 구례읍 신월리 214-18,35.1695560000,127.4547582000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 788",1,,전라남도 구례군 구례읍 신월리 214-22,35.1697960000,127.4549130000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 911",1,전라남도 구례군 구례읍 신촌1길 18,전라남도 구례군 구례읍 신월리 102-1,35.1676668800,127.4569412000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 904",1,전라남도 구례군 구례읍 신촌강변길 7,전라남도 구례군 구례읍 신월리 346-32,35.1666908700,127.4554418000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 376",1,,전라남도 구례군 구례읍 산성리 266-1,35.2128370000,127.4486080000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 378",1,전라남도 구례군 구례읍 시동길 33-3,전라남도 구례군 구례읍 산성리 184-1,35.2137091000,127.4486127000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 917",1,전라남도 구례군 구례읍 신촌2길 6,전라남도 구례군 구례읍 신월리 78-31,35.1666236700,127.4586260000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 920",1,전라남도 구례군 구례읍 신촌강변길 18,전라남도 구례군 구례읍 신월리 559-2,35.1659647700,127.4551706000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 915",1,,전라남도 구례군 구례읍 신월리 32-7,35.1664120000,127.4573520000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 907",1,전라남도 구례군 구례읍 신촌1길 39,전라남도 구례군 구례읍 신월리 31-7,35.1659849400,127.4564933000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 910",1,전라남도 구례군 구례읍 신촌1길 21,전라남도 구례군 구례읍 신월리 101-1,35.1672019100,127.4570520000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 930",1,전라남도 구례군 구례읍 신촌길 29,전라남도 구례군 구례읍 신월리 78-33,35.1663846500,127.4584604000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 931",1,전라남도 구례군 구례읍 신촌길 40-3,전라남도 구례군 구례읍 신월리 56-4,35.1659302600,127.4591805000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 935",1,,전라남도 구례군 구례읍 신월리 53-1,35.1656950000,127.4601900000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 798",1,,전라남도 구례군 구례읍 신월리 339-5,35.1674366600,127.4552268000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 794",1,,전라남도 구례군 구례읍 신월리 572,35.1685670900,127.4540047000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 936",1,,전라남도 구례군 구례읍 신월리 53-4,35.1651690000,127.4598083000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 944",1,,전라남도 구례군 구례읍 원방리 399-24,35.1668970000,127.4617866000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 945",1,,전라남도 구례군 구례읍 원방리 380-3,35.1669430000,127.4622340000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 946",1,,전라남도 구례군 구례읍 원방리 397-11,35.1673675800,127.4621941000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 913",1,,전라남도 구례군 구례읍 신월리 122-1,35.1703452500,127.4570277000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 903(차단기)",1,전라남도 구례군 구례읍 신촌길 6-1,전라남도 구례군 구례읍 신월리 346-20,35.1670968700,127.4558883000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 75",1,전라남도 구례군 구례읍 택지2길 44,전라남도 구례군 구례읍 백련리 578-9,35.2143020000,127.4597447000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 725",1,전라남도 구례군 구례읍 까막정길 68,전라남도 구례군 구례읍 봉서리 600-42,35.1858224500,127.4637947000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 919",1,전라남도 구례군 구례읍 신촌2길 13,전라남도 구례군 구례읍 신월리 84,35.1672440000,127.4588990000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 927",1,전라남도 구례군 구례읍 신촌강변길 43-7,전라남도 구례군 구례읍 신월리 48-1,35.1653720100,127.4580972000,2015,전용주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 928",1,전라남도 구례군 구례읍 신촌길 34-13,전라남도 구례군 구례읍 신월리 56-37,35.1656530000,127.4585104000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 922",1,전라남도 구례군 구례읍 신촌강변길 18,전라남도 구례군 구례읍 신월리 559-2,35.1659647700,127.4551706000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 924",1,,전라남도 구례군 구례읍 신월리 32-22,35.1657242400,127.4568268000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 923",1,,전라남도 구례군 구례읍 신월리 44,35.1655077500,127.4575433000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 906",1,전라남도 구례군 구례읍 신촌강변길 18,전라남도 구례군 구례읍 신월리 595-1,35.1659647700,127.4551706000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 937",1,,전라남도 구례군 구례읍 신월리 56-60,35.1648730400,127.4596739000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 938",1,,전라남도 구례군 구례읍 신월리 25-10,35.1646190000,127.4599840000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 953",1,,전라남도 구례군 구례읍 원방리 382,35.1665534300,127.4626776000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 955",1,,전라남도 구례군 구례읍 원방리 385-5,35.1664491500,127.4632260000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 956",1,전라남도 구례군 구례읍 병방1길 40,전라남도 구례군 구례읍 원방리 676-4,35.1680559000,127.4647384000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 958",1,전라남도 구례군 구례읍 병방1길 23-6,전라남도 구례군 구례읍 원방리 371-20,35.1669270000,127.4639167000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 959",1,,전라남도 구례군 구례읍 원방리 371-37,35.1672830300,127.4640690000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 964(값수정)",1,,전라남도 구례군 구례읍 원방리 352-3,35.1675840500,127.4643280000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 961",1,,전라남도 구례군 구례읍 원방리 691,35.1709908200,127.4659468000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 948",1,,전라남도 구례군 구례읍 원방리 371-80,35.1674610000,127.4627561000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 947",1,,전라남도 구례군 구례읍 원방리 399-22,35.1676948500,127.4624996000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 341",1,,전라남도 구례군 구례읍 백련리 546-1,35.2115792300,127.4618489000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 228",1,,전라남도 구례군 구례읍 봉동리 300-20,35.2087847500,127.4634320000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 231",1,,전라남도 구례군 구례읍 봉동리 481-12,35.2090390000,127.4632097000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 224",1,,전라남도 구례군 구례읍 봉동리 291-18,35.2083747400,127.4625550000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
"구례읍 212",1,,전라남도 구례군 구례읍 봉동리 476-2,35.2103390000,127.4631685000,2015,한전주,061-780-2397,전라남도 구례군청 건설과,2022-06-10
