"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"전라남도 신안군 압해읍 복룡리 산 379-8",1,전라남도 신안군 압해읍 복룡리 산 379-8,전라남도 신안군 압해읍 복룡리 산 379-8,34.906205,126.317404,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 복룡신대길 6-149",1,전라남도 신안군 압해읍 복룡신대길 6-149,전라남도 신안군 압해읍 복룡신대길 6-149,34.910735,126.3239963,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 복룡리 산 51",1,전라남도 신안군 압해읍 복룡리 산 51,전라남도 신안군 압해읍 복룡리 산 51,34.910058,126.325079,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 복룡리 557-1",1,전라남도 신안군 압해읍 복룡리 557-1,전라남도 신안군 압해읍 복룡리 557-1,34.9001964,126.3279533,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 복룡리 626-3",1,전라남도 신안군 압해읍 복룡리 626-3,전라남도 신안군 압해읍 복룡리 626-3,34.9003293,126.3274239,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 복룡리 557-1",1,전라남도 신안군 압해읍 복룡리 557-1,전라남도 신안군 압해읍 복룡리 557-1,34.9000232,126.3277533,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 복룡신대길 71",1,전라남도 신안군 압해읍 복룡신대길 71,전라남도 신안군 압해읍 복룡신대길 71,34.8997378,126.3271408,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 복룡리 562-1",1,전라남도 신안군 압해읍 복룡리 562-1,전라남도 신안군 압해읍 복룡리 562-1,34.89578969,126.326649,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 동서리 351-1",1,전라남도 신안군 압해읍 동서리 351-1,전라남도 신안군 압해읍 동서리 351-1,34.86578734,126.3051225,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 동서리 348-2",1,전라남도 신안군 압해읍 동서리 348-2,전라남도 신안군 압해읍 동서리 348-2,34.8677358,126.3034626,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 동서리 389-1",1,전라남도 신안군 압해읍 동서리 389-1,전라남도 신안군 압해읍 동서리 389-1,34.8667243,126.3046752,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 동서길 9-22",1,전라남도 신안군 압해읍 동서길 9-22,전라남도 신안군 압해읍 동서길 9-22,34.8662334,126.3047232,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 동서길 20-2",1,전라남도 신안군 압해읍 동서길 20-2,전라남도 신안군 압해읍 동서길 20-2,34.8671665,126.3066834,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 동서리 369-1",1,전라남도 신안군 압해읍 동서리 369-1,전라남도 신안군 압해읍 동서리 369-1,34.8666803,126.3068091,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 동서길 20-2",1,전라남도 신안군 압해읍 동서길 20-2,전라남도 신안군 압해읍 동서길 20-2,34.8671665,126.3066167,,,061-240-4082,전라남도 신안군청,2022-05-02
"전라남도 신안군 압해읍 동서길 22-4",1,전라남도 신안군 압해읍 동서길 22-4,전라남도 신안군 압해읍 동서길 22-4,34.86764292,126.3062885,,,061-240-4082,전라남도 신안군청,2022-05-02
