"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"장성 용강 3",1,전라남도 장성군 장성읍 용강길 14-10,전라남도 장성군 장성읍 용강리 359,35.36507833,126.8096846,2021,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 27",1,,전라남도 장성군 장성읍 유탕리 1468-3,35.32034031,126.801637,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 28",1,,전라남도 장성군 장성읍 유탕리 1361-2,35.3193288,126.8032956,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 29",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 30",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 31",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 148",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,건축물,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 32",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 26",1,,전라남도 장성군 장성읍 유탕리 1382-2,35.3208745,126.8011239,2020,건축물,061-390-7236,전라남도 장성군청,2022-03-17
"동화 남평 55",1,,전라남도 장성군 동화면 남평리 산 1-13,35.2813338,126.7305123,2021,건축물,061-390-7236,전라남도 장성군청,2022-03-17
"장성 청운 11",1,,전라남도 장성군 장성읍 영천리 1050-4,35.3029677,126.7830045,2022,건축물,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 33",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 34",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 45",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 46",1,,전라남도 장성군 장성읍 유탕리 1559-54,35.3161479,126.8062377,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 35",1,전라남도 장성군 장성읍 유탕1길 7-2,전라남도 장성군 장성읍 유탕리 1205-12,35.3166205,126.8098415,2020,건축물,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 37",1,,전라남도 장성군 장성읍 유탕리 707-4,35.315753,126.8110699,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 39",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 48",1,,전라남도 장성군 장성읍 유탕리 1184-3,35.315079,126.813324,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 49",1,전라남도 장성군 장성읍 유탕길 457-9,전라남도 장성군 장성읍 유탕리 1782-1,35.31260703,126.8420281,2020,건축물,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 50",1,,전라남도 장성군 장성읍 유탕리 556-5,35.31511146,126.8149954,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 51",1,,전라남도 장성군 장성읍 유탕리 659-3,35.315384,126.815536,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 65",1,,전라남도 장성군 장성읍 유탕리 1799,35.31674062,126.8138907,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 70",1,,전라남도 장성군 장성읍 유탕리 583-4,35.31370053,126.817178,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 69",1,,전라남도 장성군 장성읍 유탕리 1799,35.31674062,126.8138907,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
"장성 유탕 72",1,,전라남도 장성군 장성읍 유탕리 505-1,35.31353936,126.8183618,2020,한전주,061-390-7236,전라남도 장성군청,2022-03-17
