"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"사평면",1,,전라남도 화순군 사평면 대곡리 458,34.9859866,127.1002223,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 449,34.9863281,127.1005309,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡1길 26,34.9866809,127.1002101,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 475-3,34.9869684,127.1004443,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 650-8,34.9872032,127.1005451,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 438-1,34.9859775,127.1021124,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 481-2,34.9878775,127.1007719,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 509-3,34.9877342,127.1029804,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 515-1,34.9876569,127.1022412,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡2길 1,34.9875384,127.1018495,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 521-3,34.9880185,127.1016558,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 521,34.9884665,127.1015184,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 542,34.9886943,127.101524,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 530-2,34.9890701,127.1014728,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 529-2,34.9891231,127.1016808,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 487-6,34.9884244,127.1011801,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 565,34.9896264,127.1019851,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡길 115-16,34.989474,127.1014292,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 533,34.989108,127.1013536,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 642-6,34.9893331,127.1010793,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 537,34.9889884,127.1010263,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 644-14,34.9886688,127.1006387,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 578,34.9901961,127.1016558,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 대곡리 644-12,34.9890953,127.1000757,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 632,34.9931869,127.0947632,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 1049-135,35.0009474,127.0942559,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 1049-138,35.0010945,127.0945817,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 124-2,35.0012979,127.0947232,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 124-5,35.0015445,127.0948557,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 124-3,35.0017856,127.0949619,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 124-4,35.0019644,127.0950432,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 120-2,35.0022037,127.0951407,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 120-4,35.0025216,127.0952706,,,061-379-3742,전라남도 화순군청,2022-07-06
"사평면",1,,전라남도 화순군 사평면 사평리 120-3,35.0028172,127.0954578,,,061-379-3742,전라남도 화순군청,2022-07-06
