"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"야동교 옆 삼거리",1,전라북도 고창군 흥덕면 선운대로 3714-81,전라북도 고창군 흥덕면 흥덕리 산20-1,35.513142,126.698881,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"아바헤어 앞",1,전라북도 고창군 흥덕면 서삼길 8,전라북도 고창군 흥덕면 흥덕리 602-2,35.518014,126.699397,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"광성빌라 앞",1,전라북도 고창군 흥덕면 서삼길 18,전라북도 고창군 흥덕면 흥덕리 574,35.517411,126.698679,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"광성빌라 앞",1,전라북도 고창군 흥덕면 서삼길 18,전라북도 고창군 흥덕면 흥덕리 549,35.519236,126.699456,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕중학교",3,전라북도 고창군 흥덕면 잿말길 21,전라북도 고창군 흥덕면 흥덕리 436,35.523162,126.701473,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"삼진주택 뒤",1,전라북도 고창군 흥덕면 서일길 25-6,전라북도 고창군 흥덕면 흥덕리 402-3,35.521808,126.698909,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"삼진주택 옆",1,전라북도 고창군 흥덕면 서일길 25-6,전라북도 고창군 흥덕면 흥덕리 401-18,35.521862,126.699407,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"삼진주택 옆",1,전라북도 고창군 흥덕면 서일길 25-6,전라북도 고창군 흥덕면 흥덕리 394-3,35.520717,126.699051,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
CU편의점 옆,2,전라북도 고창군 흥덕면 서이길 1-1,전라북도 고창군 흥덕면 흥덕리 383-3,35.519355,126.699033,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕중학교 진입로",1,전라북도 고창군 흥덕면 중학교길 10-2,전라북도 고창군 흥덕면 흥덕리 31,35.515645,126.699914,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕하나로마트 앞",1,전라북도 고창군 흥덕면 흥덕초등길 3,전라북도 고창군 흥덕면 흥덕리 249-1,35.520318,126.700737,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"동사사거리",1,,전라북도 고창군 흥덕면 흥덕리 24-5,35.521923,126.705635,2017,한전주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕버스터미널 뒤",1,전라북도 고창군 흥덕면 문화1길 21-3,전라북도 고창군 흥덕면 흥덕리 220-2,35.518071,126.700478,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕버스터미널 뒤",1,전라북도 고창군 흥덕면 문화1길 21-3,전라북도 고창군 흥덕면 흥덕리 220-1,35.517984,126.701629,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕도정공장 앞",2,전라북도 고창군 흥덕면 잿말길 40,전라북도 고창군 흥덕면 흥덕리 2,35.523769,126.703486,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕터미널 뒤",1,전라북도 고창군 흥덕면 문화1길 21-3,전라북도 고창군 흥덕면 흥덕리 195-3,35.517666,126.701222,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"검문소 삼거리",1,전라북도 고창군 흥덕면 서삼길 12-5,전라북도 고창군 흥덕면 흥덕리 172-6,35.518041,126.698356,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"동사사거리",1,,전라북도 고창군 흥덕면 흥덕리 16-1,35.522451,126.704821,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕양곡공장 앞",2,전라북도 고창군 흥덕면 잿말길 35,전라북도 고창군 흥덕면 흥덕리 1,35.523826,126.703289,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"대촌마을 진입로",2,전라북도 고창군 흥덕면 후포대촌길 8-11,전라북도 고창군 흥덕면 후포리 78,35.545642,126.689184,2016,한전주,063-560-2418,전라북도_고창군,2020-07-31
"후포마을회관 앞",1,전라북도 고창군 흥덕면 후포로 259,전라북도 고창군 흥덕면 후포리 486-2,35.550675,126.678378,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"후포마을 안길",1,전라북도 고창군 흥덕면 후서길 26-2,전라북도 고창군 흥덕면 후포리 423-1,35.551666,126.676734,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"후포육교 옆 공판장 길",1,전라북도 고창군 흥덕면 공판장길 22,전라북도 고창군 흥덕면 후포리 22,35.548923,126.690494,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"농협농산물간이집합장 앞",1,전라북도 고창군 흥덕면 부안로 343,전라북도 고창군 흥덕면 후포리 19-19,35.550169,126.697291,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"대촌마을 입구",2,전라북도 고창군 흥덕면 후포대촌길 18-1,전라북도 고창군 흥덕면 후포리 105,35.548923,126.690494,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"흥덕용반보건진료소 입구 사거리",1,전라북도 고창군 흥덕면 동림로 5,전라북도 고창군 흥덕면 후포리 1,35.556018,126.698116,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"예촌마을 안길",1,전라북도 고창군 흥덕면 예촌길 59,전라북도 고창군 흥덕면 하남리 270-1,35.565475,126.715689,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"중남마을",1,전라북도 고창군 흥덕면 중남길 37-2,전라북도 고창군 흥덕면 하남리 174-3,35.568918,126.717611,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"행정마을 안길",2,전라북도 고창군 흥덕면 행정길 23-20,전라북도 고창군 흥덕면 하남리 111,35.572111,126.716328,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"사근마을 안길 비닐하우스 옆",2,,전라북도 고창군 흥덕면 치룡리 636,35.535458,126.710818,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"치이삼거리",1,,전라북도 고창군 흥덕면 치룡리 602-30,35.528883,126.707396,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"치일마을회관",2,전라북도 고창군 흥덕면 치일길 41-7,전라북도 고창군 흥덕면 치룡리 574-1,35.526011,126.704471,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"복룡노인회관",1,,전라북도 고창군 흥덕면 치룡리 227,35.528278,126.710993,2016,전용주,063-560-2418,전라북도_고창군,2020-07-31
"복룡노인회관 옆 삼거리",1,전라북도 고창군 흥덕면 치룡복룡길 77,전라북도 고창군 흥덕면 치룡리 196,35.529789,126.714452,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"여곡마을 안길",1,전라북도 고창군 흥덕면 속동길 63-5,전라북도 고창군 흥덕면 제하리 63,35.510751,126.725743,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"제하마을",1,전라북도 고창군 흥덕면 제하길 36-9,전라북도 고창군 흥덕면 제하리 385-1,35.514292,126.718209,2016,한전주,063-560-2418,전라북도_고창군,2020-07-31
"제하경로당",2,전라북도 고창군 흥덕면 제하안길 1,전라북도 고창군 흥덕면 제하리 365-4,35.517941,126.718733,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"용반마을 안길",2,,전라북도 고창군 흥덕면 용반리 99,35.565139,126.706125,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"고창농부의 아침",1,전라북도 고창군 흥덕면 용반길 79,전라북도 고창군 흥덕면 용반리 627-8,35.562245,126.706053,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"남당마을회관 옆",1,전라북도 고창군 흥덕면 남당길 14,전라북도 고창군 흥덕면 용반리 473-1,35.573114,126.707814,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"용반마을 안길",1,,전라북도 고창군 흥덕면 용반리 100,35.565139,126.706125,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"석호마을삼거리",1,,전라북도 고창군 흥덕면 오호리 산23-7,35.523391,126.686181,2017,전용주,063-560-2418,전라북도_고창군,2020-07-31
"케이제이산업 앞",1,전라북도 고창군 흥덕면 선운대로 3619-79,전라북도 고창군 흥덕면 오호리 432-2,35.516286,126.692853,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"석호마을 안길",1,,전라북도 고창군 흥덕면 오호리 286,35.525418,126.682506,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"석호마을 회관 앞",1,전라북도 고창군 흥덕면 석호길 100-55,전라북도 고창군 흥덕면 오호리 227-6,35.528015,126.685168,2014,한전주,063-560-2418,전라북도_고창군,2020-07-31
"오태동경로당 옆",1,전라북도 고창군 흥덕면 오태길 66,전라북도 고창군 흥덕면 오호리 170-1,35.522656,126.691076,2016,한전주,063-560-2418,전라북도_고창군,2020-07-31
"오태동경로당 옆",1,전라북도 고창군 흥덕면 오태길 32,전라북도 고창군 흥덕면 오호리 140,35.522344,126.691206,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
SK주유소 앞,1,전라북도 고창군 흥덕면 부안로 261,전라북도 고창군 흥덕면 신송리 산82 -5,35.541107,126.699207,2017,한전주,063-560-2418,전라북도_고창군,2020-07-31
"제일농산 앞",1,전라북도 고창군 흥덕면 공판장길 5,전라북도 고창군 흥덕면 신송리 493,35.549323,126.697084,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"노동마을 안길",1,전라북도 고창군 흥덕면 신송노동길 27-2,전라북도 고창군 흥덕면 신송리 441,35.547214,126.704594,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"신송마을 진입로 삼거리",1,,전라북도 고창군 흥덕면 신송리 363-19,35.551271,126.698155,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"송내마을 입구 삼거리",1,,전라북도 고창군 흥덕면 신송리 340-25,35.557333,126.704513,2010,전용주,063-560-2418,전라북도_고창군,2020-07-31
"신송마을 안길",1,,전라북도 고창군 흥덕면 신송리 230-8,35.546281,126.707299,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"새터마을 안길",1,전라북도 고창군 흥덕면 새터길 23,전라북도 고창군 흥덕면 신송리 1,35.547214,126.704594,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"신덕삼거리",1,,전라북도 고창군 흥덕면 신덕리 산27-10,35.567777,126.698083,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"신덕삼거리",1,,전라북도 고창군 흥덕면 신덕리 산27-1,35.568354,126.698345,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"신덕노인당 삼거리",1,전라북도 고창군 흥덕면 신덕길 34,전라북도 고창군 흥덕면 신덕리 854,35.566511,126.685735,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"하연경로당 앞",2,전라북도 고창군 흥덕면 후포로 344-3,전라북도 고창군 흥덕면 신덕리 729-1,35.556685,126.682978,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"상연마을회관 앞",1,전라북도 고창군 흥덕면 상하연길 57,전라북도 고창군 흥덕면 신덕리 63,35.561714,126.683511,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"하연마을회관 앞",1,전라북도 고창군 흥덕면 상하연길 32,전라북도 고창군 흥덕면 신덕리 388,35.557839,126.684666,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"순복음교회 뒤",1,,전라북도 고창군 흥덕면 신덕리 250-1,35.567925,126.682689,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"신덕목우길 삼거리",1,,전라북도 고창군 흥덕면 신덕리 234-1,35.566216,126.682589,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"순복음교회 앞",1,전라북도 고창군 흥덕면 신덕목우길 56,전라북도 고창군 흥덕면 신덕리 101,35.561714,126.683666,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"야동마을",1,전라북도 고창군 흥덕면 야동길 41,전라북도 고창군 흥덕면 송암리 614,35.506143,126.704448,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"낮은울타리집 앞",1,전라북도 고창군 흥덕면 빈월산길 62,전라북도 고창군 흥덕면 송암리 431,35.511828,126.717911,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
"송암회관 옆",1,전라북도 고창군 흥덕면 효감천로 246,전라북도 고창군 흥덕면 송암리 343,35.506061,126.721358,2010,한전주,063-560-2418,전라북도_고창군,2020-07-31
