"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"삼례읍",2231,전라북도 완주군 삼례읍 삼봉로 48,전라북도 완주군 삼례읍 삼례리 1691-3,35.9128842,127.0778518,,,063-290-2913,전라북도 완주군청,2022-04-05
"봉동읍",1378,전라북도 완주군 봉동읍 삼봉로 933,전라북도 완주군 봉동읍 장기리 1174-11,35.94172114,127.1658401,,,063-290-2913,전라북도 완주군청,2022-04-05
"용진읍",1151,전라북도 완주군 용진읍 완주로 166,전라북도 완주군 용진읍 용흥리 860-1,35.8800206638,127.1561599635,,,063-290-2913,전라북도 완주군청,2022-04-05
"상관면",730,전라북도 완주군 상관면 신리로 109,전라북도 완주군 상관면 신리 602-2,35.77167821,127.2068344,,,063-290-2913,전라북도 완주군청,2022-04-05
"이서면",794,전라북도 완주군 이서면 이서로 55,전라북도 완주군 이서면 상개리 586,35.82059804,127.0224603,,,063-290-2913,전라북도 완주군청,2022-04-05
"소양면",1180,전라북도 완주군 소양면 소양로 161,전라북도 완주군 소양면 황운리 872-1,35.85412422,127.2258557,,,063-290-2913,전라북도 완주군청,2022-04-05
"구이면",1160,전라북도 완주군 구이면 구이로 1482,전라북도 완주군 구이면 원기리 450,35.73192157,127.1208863,,,063-290-2913,전라북도 완주군청,2022-04-05
"고산면",1034,전라북도 완주군 고산면 고산로 69-13,전라북도 완주군 고산면 읍내리 715-3,35.97644718,127.2052652,,,063-290-2913,전라북도 완주군청,2022-04-05
"비봉면",667,전라북도 완주군 비봉면 비봉소농길 16,전라북도 완주군 비봉면 소농리 497-4,35.99575813,127.1402954,,,063-290-2913,전라북도 완주군청,2022-04-05
"운주면",691,전라북도 완주군 운주면 장선로 124,전라북도 완주군 운주면 장선리 577,36.09247795,127.277449,,,063-290-2913,전라북도 완주군청,2022-04-05
"화산면",836,전라북도 완주군 화산면 화산로 830-14,전라북도 완주군 화산면 화평리 585-1,36.0356499,127.2034967,,,063-290-2913,전라북도 완주군청,2022-04-05
"동상면",525,전라북도 완주군 동상면 동상로 1414,전라북도 완주군 동상면 신월리 544,35.93689953,127.2967494,,,063-290-2913,전라북도 완주군청,2022-04-05
"경천면",350,전라북도 완주군 경천면 대둔산로 259,전라북도 완주군 경천면 경천리 215-9,36.0227123,127.2526108,,,063-290-2913,전라북도 완주군청,2022-04-05
