"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"노송동001",1,전주시 완산구 서노송동 기린대로 242,전주시 완산구 서노송동 663-11,35.827972,,2014,한전주,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동002",1,전주시 완산구 서노송동 기린대로 240-12,전주시 완산구 서노송동 666-29,35.828233,127.144933,2014,한전주,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동003",1,전주시 완산구 서노송동 기린대로 240-11,전주시 완산구 서노송동 666-28,35.828278,127.144833,2014,한전주,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동004",1,전주시 완산구 서노송동 기린대로 248-7,전주시 완산구 서노송동 664-6,35.828519,127.144509,2014,건축물,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동005",1,전주시 완산구 서노송동 반촌로 5-13,전주시 완산구 서노송동 664-1,35.828593,127.144752,2014,건축물,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동006",1,전주시 완산구 서노송동 반촌로 5-13,전주시 완산구 서노송동 669-6,,127.144738,2014,한전주,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동007",1,전주시 완산구 서노송동 반촌로 5-10,전주시 완산구 서노송동 668-19,35.828414,127.144953,2014,건축물,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동008",1,전주시 완산구 서노송동 반촌로 5-8,전주시 완산구 서노송동 668-8,35.828244,127.145176,2014,한전주,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동009",1,전주시 완산구 서노송동 반촌로 5-6,전주시 완산구 서노송동 668-9,35.828137,127.145266,2014,한전주,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동010",1,전주시 완산구 서노송동 반촌로 5-3,전주시 완산구 서노송동 666-1,,127.145312,2014,건축물,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동011",1,전주시 완산구 서노송동 반촌로 8-1,전주시 완산구 서노송동 676-2,,,2014,건축물,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동012",1,전주시 완산구 서노송동 반촌로 8-3,전주시 완산구 서노송동 680-3,35.827699,127.145846,2014,건축물,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동013",1,전주시 완산구 서노송동 기린대로 232,전주시 완산구 서노송동 685-1,35.827403,127.145993,2014,한전주,063-220-5489,전라북도 전주시 완산구청,2021-08-31
"노송동014",1,전주시 완산구 서노송동 권삼득로 59,전주시 완산구 서노송동 689-12,35.827001,127.146584,2014,한전주,063-220-5489,전라북도 전주시 완산구청,2021-08-31
