보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
2산단1길27(015),1,,전라북도 정읍시 하북동 861-2,35.59434945,126.86462480,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
2산단1길29(016),1,,전라북도 정읍시 하북동 861-2,35.59434945,126.86462720,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
2산단1길33(017),1,,전라북도 정읍시 하북동 861-2,35.59434945,126.86462480,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
2산단1길37(018),1,,전라북도 정읍시 하북동 861-1,35.59462070,126.86451350,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
2산단1길39(019),1,,전라북도 정읍시 하북동 861-1,35.59462070,126.86451350,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
2산단1길41(021),1,,전라북도 정읍시 하북동 869,35.59447292,126.87036910,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
2산단1길43(022),1,,전라북도 정읍시 하북동 869,35.59447292,126.87036910,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
2산단3길22(009),1,,전라북도 정읍시 장명동 산88-1,35.56040585,126.89353930,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
3산단3길9(001),1,,전라북도 정읍시 북면 태곡리 938,35.61316038,126.91070520,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가곡길15(002),1,,전라북도 정읍시 영파동 93-3,35.61219239,126.86124010,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가곡길17(003),1,,전라북도 정읍시 영파동 92,35.61225491,126.86094200,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가곡길23(004),1,,전라북도 정읍시 영파동 80-1,35.61232621,126.86046620,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가곡길33(005),1,,전라북도 정읍시 영파동 67,35.61283447,126.86015140,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가곡길39(006),1,,전라북도 정읍시 영파동 50,35.61291487,126.85891560,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가곡길51(007),1,,전라북도 정읍시 영파동 59-1,35.61232493,126.85871430,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가곡길9(001),1,,전라북도 정읍시 영파동 101-1,35.61241793,126.86176450,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대1길1(001),1,,전라북도 정읍시 입암면 하부리 2328-18,35.50508162,126.80353360,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대1길131(004),1,,전라북도 정읍시 입암면 하부리 1011,35.51072253,126.80702180,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대1길141(005),1,,전라북도 정읍시 입암면 하부리 1009,35.51121954,126.80633460,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대1길56(001),1,,전라북도 정읍시 입암면 하부리 395-11,35.50943645,126.80456100,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대1길61(002),1,,전라북도 정읍시 입암면 하부리 1034,35.51002266,126.80548770,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대1길73(003),1,,전라북도 정읍시 입암면 하부리 1038,35.50969961,126.80648730,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대2길19(001),1,,전라북도 정읍시 입암면 하부리 467-14,35.50579129,126.80013360,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대2길31(002),1,,전라북도 정읍시 입암면 하부리 487-2,35.50758263,126.79966400,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대2길31(003),1,,전라북도 정읍시 입암면 하부리 488-3,35.50704837,126.79946490,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대2길31(004),1,,전라북도 정읍시 입암면 하부리 2323-2,35.50675379,126.80000160,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대2길37(005),1,,전라북도 정읍시 입암면 하부리 2323-2,35.50675379,126.80000160,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가리대2길47(006),1,,전라북도 정읍시 입암면 하부리 2316-1,35.50829429,126.80050830,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길1(001),1,,전라북도 정읍시 북면 한교리 35-8,35.60943645,126.90326850,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길101(012),1,,전라북도 정읍시 북면 화해리 산34,35.61272814,126.88118440,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길102(013),1,,전라북도 정읍시 북면 화해리 산34,35.61272814,126.88118440,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길108(014),1,,전라북도 정읍시 북면 화해리 570-5,35.61408126,126.88129680,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길109(015),1,,전라북도 정읍시 북면 화해리 203-3,35.61298703,126.88049990,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길114(016),1,,전라북도 정읍시 북면 화해리 567,35.61504590,126.88157730,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길114(017),1,,전라북도 정읍시 북면 화해리 542-31,35.61423880,126.88065670,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길114(018),1,,전라북도 정읍시 북면 화해리 542-1,35.61415276,126.88068240,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길114(019),1,,전라북도 정읍시 북면 화해리 209-2,35.61348782,126.87998400,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길114(020),1,,전라북도 정읍시 북면 화해리 215-1,35.61323560,126.87976160,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길119(021),1,,전라북도 정읍시 북면 화해리 217-1,35.61328158,126.87950630,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길120(022),1,,전라북도 정읍시 북면 화해리 451-1,35.61424164,126.87906570,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길120(023),1,,전라북도 정읍시 북면 화해리 523-1,35.61396911,126.87960180,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길120(024),1,,전라북도 정읍시 북면 화해리 208-2,35.61366203,126.87979920,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길121(025),1,,전라북도 정읍시 북면 화해리 362-1,35.61267956,126.87936800,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길123(026),1,,전라북도 정읍시 북면 화해리 461-1,35.61292277,126.87905270,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길129(027),1,,전라북도 정읍시 북면 화해리 376-1,35.61266041,126.87860990,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길21(002),1,,전라북도 정읍시 북면 화해리 46-6,35.60736596,126.88681890,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길22(003),1,,전라북도 정읍시 북면 화해리 58-1,35.60845171,126.88624500,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길22(004),1,,전라북도 정읍시 북면 화해리 62,35.60825300,126.88690540,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길31(005),1,,전라북도 정읍시 북면 화해리 산55-2,35.60799868,126.88538860,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길37(006),1,,전라북도 정읍시 북면 화해리 산54,35.60827759,126.88496440,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길43(007),1,,전라북도 정읍시 북면 화해리 53-1,35.60886840,126.88523260,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길47(008),1,,전라북도 정읍시 북면 화해리 산38-1,35.60894302,126.88415060,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길67(009),1,,전라북도 정읍시 북면 화해리 247-22,35.61062548,126.88318370,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길88(011-1),1,,전라북도 정읍시 북면 화해리 233-1,35.61148827,126.88095350,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길93(010),1,,전라북도 정읍시 북면 화해리 227,35.61212848,126.87991190,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가전길93(011),1,,전라북도 정읍시 북면 화해리 산34,35.61272814,126.88118440,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가정1길1(001),1,,전라북도 정읍시 덕천면 하학리 산73-5,35.63346293,126.82194610,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가정1길15(002),1,,전라북도 정읍시 덕천면 하학리 산17-3,35.63287073,126.82367260,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가정1길31(003),1,,전라북도 정읍시 덕천면 하학리 186,35.63121069,126.82324640,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
가정2길13(001),1,,전라북도 정읍시 덕천면 하학리 39-1,35.62957186,126.82442630,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
각목길11(003),1,,전라북도 정읍시 이평면 오금리 244-1,35.66549363,126.85210160,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
각목길14(005),1,,전라북도 정읍시 이평면 오금리 850-2,35.66520568,126.85124880,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
각목길15(006),1,,전라북도 정읍시 이평면 오금리 1134-21,35.66528314,126.85381850,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
각목길3(001),1,,전라북도 정읍시 이평면 오금리 242-1,35.66583728,126.85235870,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
각목길7(002),1,,전라북도 정읍시 이평면 오금리 244-1,35.66549363,126.85210160,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈마길17(004),1,,전라북도 정읍시 태인면 박산리 583,35.68986489,126.92106260,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈마길19(005),1,,전라북도 정읍시 태인면 박산리 583,35.68986489,126.92106260,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈마길25(006),1,,전라북도 정읍시 태인면 박산리 574,35.68891643,126.92160110,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈마길33(007),1,,전라북도 정읍시 태인면 박산리 688-1,35.68836924,126.92130610,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈마길7(001),1,,전라북도 정읍시 태인면 박산리 597-1,35.68994244,126.91977910,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈마길9(002),1,,전라북도 정읍시 태인면 박산리 788,35.68994244,126.91977910,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈마길9(003),1,,전라북도 정읍시 태인면 박산리 788,35.68994244,126.91977910,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선1길11(002),1,,전라북도 정읍시 영원면 은선리 690-1,35.65205030,126.77693880,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선1길15(003),1,,전라북도 정읍시 영원면 은선리 644,35.65231322,126.77750210,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선1길17(004),1,,전라북도 정읍시 영원면 은선리 900,35.64971201,126.78171960,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선1길17(005),1,,전라북도 정읍시 영원면 은선리 730-1,35.65256981,126.77755790,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선1길17(006),1,,전라북도 정읍시 영원면 은선리 644,35.65234315,126.77750210,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선1길21(007),1,,전라북도 정읍시 영원면 은선리 638-4,35.65188251,126.77740360,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선1길33(008),1,,전라북도 정읍시 영원면 은선리 727-2,35.65273759,126.77881750,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선1길9(001),1,,전라북도 정읍시 영원면 은선리 651,35.65232880,126.77670280,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길13(002),1,,전라북도 정읍시 영원면 은선리 713-2,35.65552711,126.78361340,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길15(003),1,,전라북도 정읍시 영원면 은선리 713-2,35.65552711,126.78361340,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길21(004),1,,전라북도 정읍시 영원면 은선리 723-1,35.65431353,126.78324280,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길33(005),1,,전라북도 정읍시 영원면 은선리 724-12,35.65321677,126.78205960,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길49(006),1,,전라북도 정읍시 영원면 은선리 726-3,35.65301249,126.78081960,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길5(001),1,,전라북도 정읍시 영원면 은선리 713-2,35.65552711,126.78361340,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길83(007),1,,전라북도 정읍시 영원면 은선리 55-1,35.64518385,126.79303330,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길92(008),1,,전라북도 정읍시 영원면 앵성리 104,35.65503871,126.77719970,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
갈선2길92(009),1,,전라북도 정읍시 영원면 앵성리 128-1,35.65478140,126.77713540,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡동서로201(005),1,,전라북도 정읍시 감곡면 오주리 산17,35.72427013,126.91401590,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡동서로53(004),1,,전라북도 정읍시 감곡면 유정리 607-4,35.73083087,126.90360010,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로142(009),1,,전라북도 정읍시 신태인읍 백산리 819-2,35.69779183,126.90556630,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로142(010),1,,전라북도 정읍시 신태인읍 백산리 796-2,35.69880643,126.90477910,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로163(012),1,,전라북도 정읍시 신태인읍 백산리 791-6,35.70042314,126.90629310,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로170(013),1,,전라북도 정읍시 신태인읍 백산리 698-1,35.69971454,126.90766990,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로268-1(021),1,,전라북도 정읍시 신태인읍 백산리 736-44,35.70461866,126.91588970,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로335(022),1,,전라북도 정읍시 감곡면 방교리 690-1,35.70951186,126.91984410,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로59(003),1,,전라북도 정읍시 신태인읍 연정리 산17,35.69707689,126.89639480,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로59(004),1,,전라북도 정읍시 신태인읍 연정리 38-10,35.69761813,126.89643930,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로65(006),1,,전라북도 정읍시 신태인읍 연정리 38-1,35.69908098,126.89695470,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로65(007),1,,전라북도 정읍시 신태인읍 연정리 38-2,35.69802241,126.89714520,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로709(038),1,,전라북도 정읍시 감곡면 화봉리 47-1,35.71852256,126.95681610,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로709(039),1,,전라북도 정읍시 감곡면 화봉리 36,35.71899516,126.95765800,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로709(040),1,,전라북도 정읍시 감곡면 화봉리 42-1,35.71894481,126.95680960,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡로797(041),1,,전라북도 정읍시 감곡면 계룡리 135-1,35.72187850,126.96479170,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산1길21(002),1,,전라북도 정읍시 감곡면 진흥리 718-26,35.70072930,126.92596760,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산1길7(001),1,,전라북도 정읍시 감곡면 진흥리 718-14,35.70044983,126.92632040,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산2길13(002),1,,전라북도 정읍시 감곡면 진흥리 772-3,35.69816932,126.92149920,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산2길18(003),1,,전라북도 정읍시 신태인읍 백산리 11-2,35.69796029,126.92050370,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산2길25(004),1,,전라북도 정읍시 감곡면 진흥리 970,35.69870958,126.92908580,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산2길3(001),1,,전라북도 정읍시 감곡면 진흥리 산241,35.69867909,126.92094550,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산3길35(001),1,,전라북도 정읍시 감곡면 진흥리 산138-1,35.69389549,126.93119050,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산3길43(002),1,,전라북도 정읍시 감곡면 진흥리 655-16,35.69510667,126.93142040,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산3길47(003),1,,전라북도 정읍시 감곡면 진흥리 655-28,35.69494967,126.93174930,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감곡진산3길55(004),1,,전라북도 정읍시 감곡면 진흥리 655-46,35.69566731,126.93297330,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감산1길10(003),1,,전라북도 정읍시 감곡면 화봉리 산38-2,35.71815504,126.95385610,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감산1길10(004),1,,전라북도 정읍시 감곡면 화봉리 산41,35.71818813,126.95325570,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감산1길3(001),1,,전라북도 정읍시 감곡면 화봉리 84-1,35.71733100,126.95246600,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감산1길9(002),1,,전라북도 정읍시 감곡면 화봉리 118,35.71788347,126.95295910,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감산2길1(001),1,,전라북도 정읍시 감곡면 화봉리 765,35.71745540,126.95975610,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감산2길11(003),1,,전라북도 정읍시 감곡면 화봉리 136,35.71901375,126.95651800,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감산2길12(004),1,,전라북도 정읍시 감곡면 화봉리 43-1,35.71910196,126.95678490,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
감산2길15(005),1,,전라북도 정읍시 감곡면 화봉리 156-1,35.71923785,126.95638850,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감산2길21(006),1,,전라북도 정읍시 감곡면 화봉리 151,35.71940450,126.95606890,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
감산2길5(002),1,,전라북도 정읍시 감곡면 화봉리 132-3,35.71829716,126.95631340,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
강고길17(002),1,,전라북도 정읍시 고부면 강고리 산19,35.59097965,126.74770050,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
강고길25(003),1,,전라북도 정읍시 고부면 강고리 58-2,35.59177087,126.74785860,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
강고길28(004),1,,전라북도 정읍시 고부면 강고리 산17,35.59227020,126.74851200,,전용주,063-539-5804,전라북도 정읍시청,2022-05-25
강고길28(005),1,,전라북도 정읍시 고부면 강고리 65-3,35.59189131,126.74823350,,한전주,063-539-5804,전라북도 정읍시청,2022-05-25
