"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"하예로 1-30-1",1,,제주특별자치도 서귀포시 하예동 1125-5,33.2437715,126.3830047,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"선반로 96-12",1,,제주특별자치도 서귀포시 강정동 2281-1,33.2420867,126.4958973,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"동홍로 286-5",1,,제주특별자치도 서귀포시 동홍동 928-14,33.2737569,126.568191,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"동홍로 286-7",1,,제주특별자치도 서귀포시 동홍동 928-14,33.2737569,126.568191,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"예래로 426-3",1,,제주특별자치도 서귀포시 하예동 1850-1,33.2361852,126.3723301,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"토평서로 24-9",1,,제주특별자치도 서귀포시 토평동 2011-3,33.2765045,126.5837316,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"돈내코로 295-113",1,,제주특별자치도 서귀포시 상효동 1629-2,33.3085026,126.5594305,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"월평하원로 43-2",1,,제주특별자치도 서귀포시 월평동 1878-4,33.240982,126.4586964,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"하신상로 362-2",1,,제주특별자치도 서귀포시 상효동 1064-14,33.2865894,126.5992848,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"보목포로1번길 6-3",1,,제주특별자치도 서귀포시 보목동 479,33.241804,126.6054931,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"하신상로9번길 4-11",1,,제주특별자치도 서귀포시 하효동 165-16,33.2623718,126.6169717,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
516로436번길 18,1,,제주특별자치도 서귀포시 상효동 1340-1,33.2894761,126.5946225,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
516로436번길 187,1,,제주특별자치도 서귀포시 상효동 654-29,33.2747156,126.5993135,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
516로436번길 2,1,,제주특별자치도 서귀포시 상효동 1340-8,33.2898582,126.5949277,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"남성중로 128",1,,제주특별자치도 서귀포시 서홍동 581-19,33.2440233,126.5550599,,전용주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
"동상효로 1",1,,제주특별자치도 서귀포시 상효동 447-13,33.2804873,126.6074653,,한전주,064-760-3073,제주특별자치도 서귀포시청,2022-12-15
