"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"건입동 1000-8",1,제주특별자치도 제주시 만덕로3길 16-5,제주특별자치도 제주시 건입동 1000-8,33.51538086,126.5333481,,전용주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1000-8",1,제주특별자치도 제주시 만덕로3길 16-5,제주특별자치도 제주시 건입동 1000-8,33.51538086,126.5333481,,전용주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1004-3",1,,제주특별자치도 제주시 건입동 1004-3,33.51623535,126.5336227,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1004-3",1,,제주특별자치도 제주시 건입동 1004-3,33.51623535,126.5336227,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1004-4",1,제주특별자치도 제주시 만덕로3길 19,제주특별자치도 제주시 건입동 1004-4,33.51604843,126.533371,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1004-4",1,제주특별자치도 제주시 만덕로3길 19,제주특별자치도 제주시 건입동 1004-4,33.51604843,126.533371,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1010-10",1,제주특별자치도 제주시 연무정길 32,제주특별자치도 제주시 건입동 1010-10,33.51643753,126.5353851,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1010-10",1,제주특별자치도 제주시 연무정길 32,제주특별자치도 제주시 건입동 1010-10,33.51643753,126.5353851,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1030-2",1,제주특별자치도 제주시 동대1길 26,제주특별자치도 제주시 건입동 1030-2,33.51808929,126.5378723,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1030-2",1,제주특별자치도 제주시 동대1길 26,제주특별자치도 제주시 건입동 1030-2,33.51808929,126.5378723,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1031-1",1,제주특별자치도 제주시 동대1길 25,제주특별자치도 제주시 건입동 1031-1,33.51778793,126.5376968,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1031-1",1,제주특별자치도 제주시 동대1길 25,제주특별자치도 제주시 건입동 1031-1,33.51778793,126.5376968,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1031-2",1,제주특별자치도 제주시 동대북길 14,제주특별자치도 제주시 건입동 1031-2,33.5180397,126.5373993,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1031-2",1,제주특별자치도 제주시 동대북길 14,제주특별자치도 제주시 건입동 1031-2,33.5180397,126.5373993,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1032-1",1,제주특별자치도 제주시 동대2길 23,제주특별자치도 제주시 건입동 1032-1,33.51804733,126.5372314,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1032-1",1,제주특별자치도 제주시 동대2길 23,제주특별자치도 제주시 건입동 1032-1,33.51804733,126.5372314,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1033-1",1,제주특별자치도 제주시 동대3길 19,제주특별자치도 제주시 건입동 1033-1,33.5177803,126.5363235,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1033-1",1,제주특별자치도 제주시 동대3길 19,제주특별자치도 제주시 건입동 1033-1,33.5177803,126.5363235,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1033-12",1,제주특별자치도 제주시 동대3길 15,제주특별자치도 제주시 건입동 1033-12,33.51733398,126.5363388,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1033-12",1,제주특별자치도 제주시 동대3길 15,제주특별자치도 제주시 건입동 1033-12,33.51733398,126.5363388,,한전주,064-728-3705,제주시 건설과,2021-10-21
"건입동 1033-4",1,제주특별자치도 제주시 칠머리길 10,제주특별자치도 제주시 건입동 1033-4,33.51765823,126.5357132,,한전주,064-728-3705,제주시 건설과,2021-10-21
