보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
난계로 24 ,1,,충청북도 영동군 심천면 각계길 입구 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 25 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 26 ,1,,충청북도 영동군 심천면 난계 1로 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 27 ,1,,충청북도 영동군 심천면 난계로_SK심천주유소 인근 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 28 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 29 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 30 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 31 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 32 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 33 ,1,,충청북도 영동군 심천면 난계로_과적검문소 가기전 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 34 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 35 ,1,,충청북도 영동군 심천면 난계로 ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 36 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 37 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 38 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 39 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 40 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 41 ,1,,충청북도 영동군 심천면 각계리 난계로 42 - 8  ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 41-R1  ,1,,충청북도 영동군 심천면 난계로 ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 42 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 43 ,1,,충청북도 영동군 심천면 난계로  ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 44 ,1,,충청북도 영동군 영동읍 난계로 45 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 45 ,1,,충청북도 영동군 영동읍 난계로 46 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 46 ,1,,충청북도 영동군 영동읍 난계로 47 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 47 ,1,,충청북도 영동군 영동읍 난계로 48 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 48 ,1,,충청북도 영동군 영동읍 난계로 ,,36.1712698805,127.829874282,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 49 ,1,,충청북도 영동군 영동읍 난계로 50 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 50 ,1,,충청북도 영동군 영동읍 난계로 1120-4 ,,36.1780275245,127.769618715,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 51 ,1,,충청북도 영동군 영동읍 난계로 1120-10 ,,36.1777415647,127.769242432,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 51-R1 ,1,,충청북도 영동군 영동읍 난계로 1120-20 ,,36.1772639291,127.768401873,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 51-R2 ,1,,충청북도 영동군 영동읍 난계로 1120-29앞 ,,36.1766692483,127.767262287,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 51-R3 ,1,,충청북도 영동군 영동읍 난계로 52 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 52 ,1,,충청북도 영동군 영동읍 난계로 53 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 53 ,1,,충청북도 영동군 영동읍 난계로 54 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 54 ,1,,충청북도 영동군 영동읍 난계로1145-2 ,,36.1773866237,127.772302416,한전주,043-740-3503,충청북도 영동군청,2016-09-23
난계로 54-L1 ,1,,충청북도 영동군 영동읍 난계로 55_대성세차장 앞 ,,,,한전주,043-740-3503,충청북도 영동군청,2016-09-23
