Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title
0,3,male,22.0,1,0,7.25,F,S,Mr.
1,1,female,38.0,1,0,71.2833,C,C,Mrs.
1,3,female,26.0,0,0,7.925,F,S,Miss.
1,1,female,35.0,1,0,53.1,C,S,Mrs.
0,3,male,35.0,0,0,8.05,F,S,Mr.
0,3,male,37.0,0,0,8.4583,F,Q,Mr.
0,1,male,54.0,0,0,51.8625,E,S,Mr.
0,3,male,2.0,3,1,21.075,F,S,Master.
1,3,female,27.0,0,2,11.1333,F,S,Mrs.
1,2,female,14.0,1,0,30.0708,E,C,Mrs.
1,3,female,4.0,1,1,16.7,F,S,Miss.
1,1,female,58.0,0,0,26.55,C,S,Miss.
0,3,male,20.0,0,0,8.05,F,S,Mr.
0,3,male,39.0,1,5,31.275,F,S,Mr.
0,3,female,14.0,0,0,7.8542,F,S,Miss.
1,2,female,55.0,0,0,16.0,E,S,Mrs.
0,3,male,2.0,4,1,29.125,F,Q,Master.
1,2,male,34.0,0,0,13.0,E,S,Mr.
0,3,female,31.0,1,0,18.0,F,S,Mrs.
1,3,female,30.0,0,0,7.225,F,C,Mrs.
0,2,male,35.0,0,0,26.0,E,S,Mr.
1,2,male,34.0,0,0,13.0,D,S,Mr.
1,3,female,15.0,0,0,8.0292,F,Q,Miss.
1,1,male,28.0,0,0,35.5,A,S,Mr.
0,3,female,8.0,3,1,21.075,F,S,Miss.
1,3,female,38.0,1,5,31.3875,F,S,Mrs.
0,3,male,27.0,0,0,7.225,F,C,Mr.
0,1,male,19.0,3,2,263.0,C,S,Mr.
1,3,female,26.0,0,0,7.8792,F,Q,Miss.
0,3,male,30.0,0,0,7.8958,F,S,Mr.
0,1,male,40.0,0,0,27.7208,C,C,etc
1,1,female,39.0,1,0,146.5208,B,C,Mrs.
1,3,female,26.0,0,0,7.75,F,Q,Miss.
0,2,male,66.0,0,0,10.5,E,S,Mr.
0,1,male,28.0,1,0,82.1708,C,C,Mr.
0,1,male,42.0,1,0,52.0,C,S,Mr.
1,3,male,27.0,0,0,7.2292,F,C,Mr.
0,3,male,21.0,0,0,8.05,F,S,Mr.
0,3,female,18.0,2,0,18.0,F,S,Miss.
1,3,female,14.0,1,0,11.2417,F,C,Miss.
0,3,female,40.0,1,0,9.475,F,S,Mrs.
0,2,female,27.0,1,0,21.0,E,S,Mrs.
0,3,male,27.0,0,0,7.8958,F,C,Mr.
1,2,female,3.0,1,2,41.5792,E,C,Miss.
1,3,female,19.0,0,0,7.8792,F,Q,Miss.
0,3,male,30.0,0,0,8.05,F,S,Mr.
0,3,male,35.0,1,0,15.5,F,Q,Mr.
1,3,female,26.0,0,0,7.75,F,Q,Miss.
0,3,male,23.0,2,0,21.6792,F,C,Mr.
0,3,female,18.0,1,0,17.8,F,S,Mrs.
0,3,male,7.0,4,1,39.6875,F,S,Master.
0,3,male,21.0,0,0,7.8,F,S,Mr.
1,1,female,49.0,1,0,76.7292,D,C,Mrs.
1,2,female,29.0,1,0,26.0,E,S,Mrs.
0,1,male,65.0,0,1,61.9792,B,C,Mr.
1,1,male,42.0,0,0,35.5,C,S,Mr.
1,2,female,21.0,0,0,10.5,E,S,Miss.
0,3,male,28.5,0,0,7.2292,F,C,Mr.
1,2,female,5.0,1,2,27.75,E,S,Miss.
0,3,male,11.0,5,2,46.9,F,S,Master.
0,3,male,22.0,0,0,7.2292,F,C,Mr.
1,1,female,38.0,0,0,80.0,B,S,Miss.
0,1,male,45.0,1,0,83.475,C,S,Mr.
0,3,male,4.0,3,2,27.9,F,S,Master.
0,1,male,39.0,0,0,27.7208,C,C,Mr.
1,3,male,2.0,1,1,15.2458,F,C,Master.
1,2,female,29.0,0,0,10.5,F,S,Mrs.
0,3,male,19.0,0,0,8.1583,F,S,Mr.
1,3,female,17.0,4,2,7.925,F,S,Miss.
0,3,male,26.0,2,0,8.6625,F,S,Mr.
0,2,male,32.0,0,0,10.5,E,S,Mr.
0,3,female,16.0,5,2,46.9,F,S,Miss.
0,2,male,21.0,0,0,73.5,E,S,Mr.
0,3,male,26.0,1,0,14.4542,F,C,Mr.
1,3,male,32.0,0,0,56.4958,F,S,Mr.
0,3,male,25.0,0,0,7.65,F,S,Mr.
0,3,male,30.0,0,0,7.8958,F,S,Mr.
0,3,male,30.0,0,0,8.05,F,S,Mr.
1,2,male,0.83,0,2,29.0,E,S,Master.
1,3,female,30.0,0,0,12.475,F,S,Miss.
0,3,male,22.0,0,0,9.0,F,S,Mr.
1,3,male,29.0,0,0,9.5,F,S,Mr.
1,3,female,26.0,0,0,7.7875,F,Q,Miss.
0,1,male,28.0,0,0,47.1,C,S,Mr.
1,2,female,17.0,0,0,10.5,E,S,Miss.
1,3,female,33.0,3,0,15.85,F,S,Mrs.
0,3,male,16.0,1,3,34.375,F,S,Mr.
0,3,male,30.0,0,0,8.05,F,S,Mr.
1,1,female,23.0,3,2,263.0,C,S,Miss.
0,3,male,24.0,0,0,8.05,F,S,Mr.
0,3,male,29.0,0,0,8.05,F,S,Mr.
0,3,male,20.0,0,0,7.8542,F,S,Mr.
0,1,male,46.0,1,0,61.175,E,S,Mr.
0,3,male,26.0,1,2,20.575,F,S,Mr.
0,3,male,59.0,0,0,7.25,F,S,Mr.
0,3,male,30.0,0,0,8.05,F,S,Mr.
0,1,male,71.0,0,0,34.6542,A,C,Mr.
1,1,male,23.0,0,1,63.3583,D,C,Mr.
1,2,female,34.0,0,1,23.0,E,S,Mrs.
0,2,male,34.0,1,0,26.0,E,S,Mr.
0,3,female,28.0,0,0,7.8958,F,S,Miss.
0,3,male,30.0,0,0,7.8958,F,S,Mr.
0,1,male,21.0,0,1,77.2875,D,S,Mr.
0,3,male,33.0,0,0,8.6542,F,S,Mr.
0,3,male,37.0,2,0,7.925,F,S,Mr.
0,3,male,28.0,0,0,7.8958,F,S,Mr.
1,3,female,21.0,0,0,7.65,F,S,Miss.
1,3,male,30.0,0,0,7.775,F,S,Mr.
0,3,male,38.0,0,0,7.8958,F,S,Mr.
1,3,female,23.0,1,0,24.15,F,Q,Miss.
